credit_score,income,loan_amount,employment_years,debt_to_income,previous_defaults,default
541,246188.41,132438.16,30.76,0.48,0,0
840,144263.15,75927.5,32.39,0.6,0,0
600,193137.81,115269.69,15.85,0.75,0,0
627,45989.17,12033.16,6.73,0.49,0,0
421,238373.81,377553.79,2.88,0.47,0,0
608,227028.15,547657.85,2.78,0.76,0,0
683,183709.76,303435.78,6.29,0.46,0,0
370,174317.33,217428.21,16.09,0.49,0,0
333,143001.02,23517.83,5.35,0.12,0,0
703,35484.76,90736.55,1.49,0.71,0,0
578,186204.19,226007.75,20.3,0.21,0,1
474,212202.88,187852.64,21.56,0.65,0,0
368,163414.61,140036.77,19.78,0.67,3,1
552,218844.23,494005.82,1.09,0.59,0,0
762,132027.12,11628.49,11.9,0.65,0,0
440,86953.13,107855.2,30.77,0.13,0,0
440,33109.12,70649.23,9.99,0.69,0,1
653,211063.78,273372.39,1.75,0.47,0,1
364,32553.59,61209.2,12.82,0.65,0,1
703,211876.35,584637.09,7.52,0.61,0,0
579,90719.77,255610.18,5.11,0.1,0,0
769,88601.18,156039.63,4.51,0.48,0,0
598,231386.56,134143.53,30.84,0.12,0,0
734,206921.58,226137.94,1.01,0.77,0,0
785,238740.44,714281.62,34.29,0.73,1,0
605,23335.07,50743.84,6.86,0.6,0,0
494,128642.88,308855.62,24.8,0.6,0,1
373,167403.24,310746.47,21.32,0.1,0,0
331,131402.11,140094.6,6.92,0.17,0,0
786,113225.26,177261.59,1.61,0.46,0,0
443,36944.32,45876.37,21.5,0.45,3,0
419,28991.24,30172,8.9,0.5,0,0
479,72333.58,167370.45,19.99,0.45,0,1
441,34372.87,55097.52,25.29,0.07,0,1
609,99906.13,28018.79,3.59,0.6,0,0
543,40435.1,60022.99,17.91,0.29,0,0
457,129660,277079.94,11.15,0.69,0,1
784,43411.84,88493.8,10,0.59,0,0
537,184623.24,339614.33,24.99,0.33,0,0
738,184393.83,126967.18,33.34,0.47,0,0
401,101268.22,108788.38,3.48,0.07,0,0
560,212941.49,487913.13,16.9,0.16,0,0
633,247265.36,155299.22,27.91,0.36,0,0
634,69733.82,201040.7,29.22,0.09,0,0
364,197746,553586.16,4.52,0.07,0,1
601,79343.46,156178.04,4.13,0.53,0,1
678,130762.99,37974.92,30.91,0.7,0,0
747,165524.74,322412.03,2.49,0.53,0,0
510,22780.72,42175.01,4.06,0.19,0,0
786,128087.87,213491.39,13.18,0.76,2,0
552,57843.3,157916.75,22.5,0.28,0,0
343,207554.12,6326.23,13.04,0.67,0,0
558,65305.94,35385.51,20.27,0.45,0,1
423,248333.55,547435.72,21.83,0.78,0,0
707,89815.88,78628.85,10.46,0.19,0,0
568,150835.78,170588,3.74,0.5,0,0
454,183757.65,213243.43,29.4,0.44,0,0
337,121503.56,117284.61,5.91,0.31,0,1
839,111991.87,163609.94,26.92,0.66,0,0
647,241684.06,171446.56,9.17,0.06,0,0
352,239095.52,511344.56,28.5,0.12,0,0
838,224360.67,626813.12,17,0.73,0,1
810,39561.99,38831.48,28.16,0.25,0,0
830,114356.65,83050.24,0.77,0.22,0,0
812,186204.77,130570.82,7.07,0.27,1,1
377,41231.46,23638.68,19.51,0.13,0,1
441,91162.95,23083.5,16.51,0.69,2,1
639,170639.45,20142.59,28.36,0.42,0,0
366,88221.1,118344.2,10.92,0.52,0,1
355,164129.57,281154.78,25.21,0.23,0,1
806,23898.33,68721.74,29.13,0.34,0,0
741,53562.15,17998.95,32.78,0.07,3,0
489,171444.92,379410.13,15.36,0.07,0,0
459,107372.55,66881.32,23.95,0.6,0,0
829,133985.51,271969.23,26.36,0.23,0,0
721,187863.06,221751.39,1.08,0.46,0,0
462,241788.18,555583.76,13.75,0.49,0,0
765,36886.6,58327.31,22.72,0.7,3,1
307,237801.83,38866.05,19.04,0.21,1,0
782,57302.22,7252.67,28.14,0.31,0,0
674,237007.07,29268.72,5.09,0.62,0,1
396,95064.98,127264.53,15.12,0.32,1,0
782,150226.71,433562.24,25.29,0.13,0,0
495,191614.29,413497.61,23.91,0.55,0,1
384,155838.27,399545.69,11.72,0.7,0,0
376,147292.1,225055.81,30.97,0.73,3,0
795,91068.01,153305.6,6.31,0.16,3,1
393,30954.87,56238.95,4.69,0.75,0,1
701,165830.41,466048.4,8.36,0.25,3,0
518,127408.13,122948.15,8.78,0.66,0,0
801,83178.63,101515.26,25.12,0.6,0,0
495,158137.63,467386.21,8.57,0.69,0,1
792,134271.63,353715.46,8.13,0.51,0,0
714,131407.89,38402.17,4.79,0.7,0,0
531,58720.64,152440.85,6.01,0.36,2,1
545,88177.88,29978.15,12.52,0.33,0,1
488,159748.81,467553.17,11.15,0.1,0,0
623,20070.88,53959.22,34.35,0.45,1,0
327,230738.58,156876.85,22.13,0.22,0,0
731,34036.06,51778.76,29.51,0.13,0,0
794,113371.21,284941.63,4.59,0.79,0,0
832,23636.59,13661.3,6.77,0.16,0,0
349,71098.98,142102.26,12.29,0.46,0,0
387,71743.23,147283.76,19.21,0.09,3,0
368,219157.69,61529.09,25.98,0.23,0,0
719,135508.01,181960.19,22.76,0.8,0,1
731,43305.8,24843.14,1.95,0.18,0,0
496,29274.24,24886.9,6.41,0.76,0,1
583,129385.48,130683,33.98,0.41,0,0
685,76987.71,149516.5,14.29,0.25,0,0
611,141403.63,258478.3,4.89,0.24,0,0
503,52588.5,119364.86,13.8,0.14,0,0
378,175751.62,5733.67,9.07,0.56,0,1
774,40493.05,76546.75,9.76,0.4,0,0
727,29083.58,9888.35,0.92,0.37,3,0
771,242666.85,261640.25,8.39,0.41,0,0
801,59885.29,34507.62,34.08,0.49,0,0
370,179816.57,40769.7,9.73,0.66,0,0
622,132155.1,276853.57,21.22,0.66,0,0
396,210892.14,197024.74,7.85,0.44,0,0
773,230152.25,24665.92,33.45,0.69,0,0
595,21724.82,45588.09,8.19,0.3,1,0
741,90764.57,112151.26,2.32,0.54,0,0
683,174687.01,334362.97,17.8,0.26,0,0
744,219684.95,33951.22,2.86,0.51,2,0
848,210565.82,420600.63,34.19,0.64,0,0
810,118232.84,184959.92,23.15,0.58,0,0
378,192059.18,406310.17,5.84,0.21,0,1
449,126693.3,198326.78,0.35,0.23,0,0
332,24225.84,43240.17,13.48,0.51,0,0
506,58179.26,113637.44,22.16,0.09,0,0
838,82397.86,172629.21,25.49,0.72,0,0
470,234902.86,516812.42,21.56,0.47,0,1
487,84335.43,195274.88,20.83,0.76,0,0
461,121371.38,27411.42,30.64,0.19,0,0
487,165717.4,235282.93,22.89,0.24,0,0
489,238273.1,228507.4,27.93,0.54,0,1
595,116530.31,307648.16,23.17,0.12,0,1
392,107999.2,91078.89,26.89,0.14,0,0
592,213117.19,25720.99,29.86,0.12,0,0
720,153010.04,227819.87,1,0.12,0,0
338,71897.11,204870.92,7,0.65,0,0
605,231167.07,183108.14,24.94,0.7,0,0
767,233530.64,351211.61,8.75,0.3,0,0
722,154969.14,351619.87,25.62,0.1,3,0
415,20621.16,41385.14,4.69,0.76,0,1
389,191735.22,229152.27,3.76,0.33,1,1
548,237326.62,192120.98,2.35,0.59,0,0
337,247762.87,64988.73,33.32,0.32,0,1
427,201374.5,50351.74,34.75,0.22,0,0
842,218838.32,25055.56,21.49,0.46,0,0
775,92833.05,144668.12,17.9,0.53,0,0
405,247905.19,623823.11,13.52,0.61,0,1
344,165219.53,371216.64,27.03,0.38,0,0
558,217846.85,569906.49,26.36,0.7,0,1
431,193996.12,161876.48,4,0.06,0,0
751,52212.71,41433.7,24.58,0.47,0,1
489,210651.7,286518.18,13.18,0.51,0,1
300,105668.77,9772.72,10.18,0.61,0,1
476,179085.37,321189.84,16.02,0.06,0,0
570,223137.68,145523.92,6.24,0.2,0,0
504,211222.07,29394.24,4.53,0.09,0,1
458,232949.86,620737.3,1.46,0.4,0,0
589,21008.38,48502.02,0.06,0.31,0,0
551,83769.11,242410.98,29.42,0.76,0,1
642,190868.46,159341.91,21.56,0.6,0,0
738,57255.11,25353.5,23.97,0.19,0,0
815,149694.37,380851.29,31.39,0.74,0,0
782,233763.93,677637.43,23.91,0.65,0,0
305,132513.28,370148.63,10.11,0.16,0,1
514,118506.6,187580.27,9.82,0.2,0,0
432,61325.32,169798.26,6.52,0.75,0,0
746,176839.77,108565.24,7.49,0.37,0,0
760,52087.2,61407.99,23.25,0.31,0,0
615,164727.76,249909.21,12.83,0.43,0,1
409,53118.29,100100.1,21.9,0.51,0,0
670,241019.36,163527.17,20.55,0.49,0,0
818,128187.65,132637.83,7.1,0.66,0,0
318,28955.62,31894.93,34.14,0.29,0,0
491,123189.88,8228.09,30.17,0.56,0,0
304,192939.44,282489.57,1.53,0.57,0,1
826,186421.38,514475.38,30.25,0.25,0,0
468,163977,445449.18,7.79,0.49,0,1
671,170116.61,450488.52,18.58,0.74,0,0
703,186257.07,331431.83,23.69,0.69,0,0
447,24931.75,13869.42,30.06,0.55,1,1
692,55961.24,133345.83,29.4,0.44,0,0
411,28404.89,12225.42,3.82,0.74,0,0
646,215208.87,433795.1,21.94,0.77,0,1
585,92027.91,248319.74,11.24,0.63,0,0
755,246059.21,559165.72,27.93,0.69,0,0
833,72896.99,92024.45,16.99,0.3,0,0
396,109965.67,190455.61,22.17,0.21,0,0
785,76084.96,29267.12,19.19,0.5,0,0
676,238927.65,379909.15,5.18,0.53,0,0
845,180214.89,271875.33,5.04,0.6,0,0
589,180450.97,275406.03,15.42,0.24,0,0
418,174695.78,441303.14,12.48,0.75,0,0
800,182315.5,381160.36,10.06,0.39,0,1
413,62724.07,68334.7,23.84,0.3,0,0
317,145954.15,396233.28,24.23,0.75,0,0
361,67622.34,145299.45,21.95,0.05,0,0
389,232447.18,534440.14,7.19,0.11,0,1
529,62646.06,58614.65,34.67,0.32,0,0
444,213308.54,356166.61,5.11,0.61,0,0
811,46485.08,18525.39,1.77,0.48,0,0
666,33522.22,92223.78,32.83,0.29,0,0
680,191638.3,21604.94,26.55,0.24,0,0
651,236036.76,144321.53,17.21,0.54,0,0
519,166066.57,416533.4,12.3,0.75,0,1
331,182774.81,85989.93,21.23,0.38,1,0
546,222785.34,341776.9,16.49,0.11,3,1
805,211252.72,348235.9,28.59,0.17,0,0
667,171419.36,443292.38,31.54,0.26,0,0
410,158518.17,377123.6,26.93,0.43,0,1
611,236896.93,438336.85,23.66,0.74,0,0
528,45304.88,98050.84,8.27,0.51,0,1
670,50408.55,143583.36,1.23,0.51,0,0
717,20639.15,8780.33,30.2,0.53,0,0
339,77273.33,152918.71,18.61,0.25,0,0
343,42000.38,21085.67,5.02,0.77,0,0
385,62104.6,73903.29,29.63,0.14,0,1
733,130627.52,228909.63,26.02,0.52,0,1
748,101461.82,271685.94,5.17,0.5,0,0
421,149269.58,158377.6,29.54,0.22,0,0
400,50434.88,129781.99,12.92,0.45,0,0
482,187182.55,469632.27,5.26,0.15,2,0
433,207147.37,620351.81,7.9,0.06,0,0
813,161818.82,22487.19,26.48,0.34,0,0
369,187806.3,84932.77,34.99,0.72,0,0
425,201811.98,417639.12,17.12,0.39,0,1
656,205432.05,395093.36,6.12,0.25,0,0
542,71488.24,74625.42,20.84,0.17,0,0
304,100424.94,56889.74,18.64,0.62,0,1
330,128205.66,170173.87,0.27,0.71,0,1
630,224768.11,190209.07,25.23,0.52,0,0
398,194146.61,432858.12,8.76,0.38,0,1
717,59542.11,13905.96,8.29,0.5,0,0
713,158584.95,443608.23,9.52,0.7,0,0
672,198224.36,217649.83,18.21,0.76,2,0
436,88640.7,147068.44,8.6,0.72,0,1
511,161926.8,126589.92,34.99,0.16,0,0
518,68519.45,108178.57,13.29,0.7,0,0
604,67747.89,5420.63,31,0.22,0,0
390,163684.59,308728.8,9.75,0.36,0,0
374,122553.85,230345.34,17.85,0.34,0,0
847,186064.38,284017.23,6.03,0.1,0,0
580,195954.51,560447.35,8.88,0.3,0,0
453,203099.15,562830.82,1.64,0.47,0,0
361,231057.04,492749.02,3.31,0.14,0,0
488,111037.39,235627.03,18.36,0.53,0,1
453,231606.12,97736.47,25.27,0.7,0,0
595,150777.68,316325.96,23.34,0.61,0,0
769,92718.22,199500.1,1.55,0.53,0,1
324,146411.75,23963.21,27.35,0.17,0,1
806,29420.7,51377.74,21.86,0.09,0,0
772,79080.66,221907.88,10.18,0.12,0,0
463,216970.4,440776.22,3.36,0.54,0,0
443,141385.59,57412.23,26.93,0.11,0,1
432,147493.36,359381.66,13.01,0.65,0,1
579,221631.58,442908.71,34.32,0.77,0,1
806,59004.92,84942.43,25.84,0.6,1,1
750,163482.57,5440.58,33.59,0.16,0,0
502,185214.41,364393.47,29.72,0.49,0,0
836,54054.99,48361.51,24.31,0.28,0,0
414,56479.44,96884.85,10.31,0.14,0,0
343,94472.51,144571.99,21.97,0.52,0,0
370,196137.02,202297.83,9.87,0.78,3,1
551,38829.6,80959.29,30.43,0.09,0,0
467,124559.15,68406.17,29.2,0.09,0,0
309,111450.92,197656.34,32.44,0.35,0,0
456,37381.4,85473.28,3.43,0.37,0,1
659,197233.37,513022.02,4.59,0.61,0,0
463,169068.05,290485.57,30.89,0.18,0,1
389,78011.6,64349.3,29.8,0.33,0,1
803,175438.27,378428.49,29.86,0.14,0,1
537,105105.79,12180.85,1.88,0.46,0,0
406,198782.79,484720.79,20.35,0.16,0,1
617,108684.51,168086.3,19.31,0.29,0,1
351,70603.33,8717.93,24.85,0.63,0,1
364,29762.21,22952.49,17.34,0.41,0,0
479,229218.95,468792.57,33.89,0.66,0,1
475,218014.78,513449.63,18.26,0.31,0,0
331,68451.1,204548.19,33.63,0.7,0,1
635,74854.59,14508.7,23.91,0.09,0,0
720,59947.73,64910.69,21.04,0.13,1,0
442,112974.75,216643.41,11.13,0.75,0,0
477,55352.23,102076.6,3.72,0.19,0,1
648,176574.54,291506.01,5.48,0.16,0,0
366,47465.11,17641.04,26.68,0.48,0,0
367,139734.92,387952.42,31.01,0.15,3,1
573,100529.74,181588.46,8.73,0.45,0,1
345,149118.52,180208.99,9.89,0.74,0,0
832,33049.04,7534.71,3.22,0.19,0,0
685,45981.61,137306.59,25.17,0.66,0,1
484,233511.77,416080.34,24.92,0.77,0,0
536,96120.32,139449.13,1.58,0.78,0,0
371,209783.01,393304.33,18.37,0.19,0,0
467,141824.61,274612.03,33.56,0.77,3,1
785,186000.18,419906.62,33.6,0.29,0,0
561,68620.5,194311.05,0.89,0.45,0,0
369,98441.91,245565.39,21.12,0.6,0,0
344,89047.73,32060.83,30.85,0.76,0,1
375,115848.25,212053.78,8.26,0.22,0,1
805,118528.68,108741.15,29.57,0.46,0,0
483,167700.96,117904.15,7.33,0.73,0,1
478,227548.33,641853.71,15.45,0.13,0,1
620,167930.17,274472.84,13.1,0.06,0,0
753,230630.12,485875.24,7.04,0.07,0,0
472,23113.97,32673.98,8.17,0.23,0,0
704,206260.59,239613.23,10.8,0.77,0,1
738,162533.91,121021.67,18.84,0.11,0,0
797,152095.83,257480.38,31.71,0.54,0,0
437,206217.05,413582.19,2.69,0.35,1,0
357,30357.8,40308.84,17.95,0.73,0,1
831,58475.84,26098.79,14.48,0.48,0,0
806,49599.47,32857.41,21.48,0.57,0,0
730,215728.7,95215.73,7.55,0.1,0,0
405,135295.92,227982.4,22.88,0.43,0,0
660,22460.73,12640.3,1.34,0.55,0,0
456,237635.49,168208.03,14.54,0.65,0,1
672,62423.06,71505.74,22.69,0.52,0,0
455,80807.03,212297.28,18.59,0.53,0,0
441,120894.6,321312.1,34.65,0.05,0,0
825,164727.44,280619.2,25.51,0.69,1,0
518,196657.64,150717.34,24.88,0.75,0,0
827,158332.03,423175.08,30.33,0.21,0,0
415,162560.24,364963.39,29.76,0.76,0,1
406,96950.34,125223.98,16.15,0.35,0,1
386,202195.25,405637.68,5.87,0.23,0,0
798,133126.88,357744.88,30.82,0.1,0,0
439,96464.76,273584.01,19.92,0.57,0,1
438,214071.81,636805.9,26.5,0.48,0,0
605,186528.6,523474.28,28.06,0.09,0,0
424,86130.5,242927.81,14.92,0.28,0,1
490,60950.75,48037.7,3.86,0.42,0,0
553,196844.71,262500.53,27.81,0.24,0,0
455,34827.21,72483.08,28.66,0.14,0,1
310,58133.15,145011.19,4.94,0.29,0,1
564,99178.85,134654.47,32.45,0.8,0,1
615,41754.91,21916.11,7.53,0.45,0,0
522,237814.69,56103.38,17.22,0.4,1,0
526,85155.88,38096.8,21.19,0.64,0,1
528,121108.91,250880.42,4.2,0.27,0,1
827,47672.02,84093.7,29.53,0.31,0,0
390,143074.72,315731.09,25.71,0.78,3,1
524,240241.05,70885.83,20.56,0.57,0,1
612,58945,49429.47,17.03,0.78,1,1
835,99005.08,78957.45,9.06,0.49,0,0
416,216167.08,625801.52,8.89,0.43,0,1
325,229935.87,283263.46,18.83,0.57,0,0
787,108428.71,275036.78,14.75,0.45,3,1
426,247317.05,741181.5,20.51,0.4,0,0
793,140279.91,317603.73,32.84,0.28,0,0
783,203479.53,265420.35,4.36,0.17,0,0
369,82440.37,61054.31,15.27,0.21,2,1
666,162517.15,335543.95,30.44,0.59,0,0
605,40754.57,52774.98,10.96,0.5,0,0
556,197050.9,263152.61,31.77,0.34,0,0
793,180189.89,228402.76,4.66,0.65,0,0
571,217948.55,453247.53,33.93,0.59,3,1
594,194781.44,202632.02,2.11,0.66,0,0
842,172800.18,398810.73,14.68,0.55,0,0
799,54120.85,70826.85,11.92,0.66,0,1
400,182303.35,375410.1,22.45,0.38,1,0
472,116445.1,206050.71,24.15,0.31,0,0
571,100885.6,266346.04,8.74,0.33,0,0
318,73977.01,213641.82,27.12,0.1,0,0
622,166494.26,52744.97,20.39,0.32,0,0
790,56297.26,149292.25,20.1,0.61,0,0
644,34685.56,73120.94,30.22,0.34,0,0
427,179327.74,429224.1,10.5,0.11,0,1
774,212529.33,471076.23,24.31,0.3,0,1
681,52273.41,122932.34,7.31,0.65,0,1
534,154176.71,114346.07,32.82,0.41,0,0
371,95408.31,107915.98,1.71,0.27,2,0
395,69888.44,106872.47,6.99,0.57,0,1
330,183820.62,471554.15,0.26,0.49,0,1
741,146358.5,175994.63,5.46,0.2,0,0
746,54687.83,5033.94,8.84,0.66,0,0
511,222337.17,23354.69,12.77,0.24,0,1
428,168786.23,503835.55,20.91,0.4,0,0
714,149601.96,352528.92,28.52,0.31,0,0
546,52874.4,83038.46,6.38,0.3,3,1
451,126390.63,259298.98,6.61,0.62,0,1
607,220595.32,321767.6,33.74,0.62,0,1
831,87770.2,54773.46,13.97,0.71,2,1
567,186918.4,293331.79,12.4,0.74,2,1
636,177351.15,367560.39,14.86,0.41,0,0
497,96539.77,280155.62,16.42,0.21,0,0
465,215699.39,375832.51,25.79,0.63,0,1
821,157337.36,454914.97,19.81,0.46,0,0
437,25671.12,43423.89,19.38,0.4,0,0
381,138680.66,94792.42,2.77,0.45,0,0
679,49945.11,31983.15,24.29,0.67,0,0
469,93193.69,123162.92,18.94,0.12,0,0
563,93902.12,246691.19,17.72,0.21,0,1
625,81094.32,223435.73,13.58,0.42,0,0
710,87894.34,117587.71,25.37,0.47,0,0
682,157041.96,241535.22,19.81,0.21,0,0
582,90825.02,75419.52,33.87,0.78,0,1
830,189971.26,48088.88,30.35,0.72,3,0
588,91839.11,75114.56,26.39,0.62,0,1
714,103844.98,148136.14,9.39,0.19,0,0
440,171677.88,403919.19,26.28,0.21,0,0
378,176213.01,401190.81,16.46,0.77,0,0
746,155705.76,74087.45,19.05,0.14,0,0
758,231237.55,417709.6,31.43,0.66,0,0
635,222290.23,287722.73,34.5,0.12,1,1
790,243383.36,470829.23,32.6,0.22,0,0
625,204707.61,283932.56,28.12,0.63,0,1
377,136581.33,406091.35,21.5,0.35,0,1
563,92985.3,207099.41,8.77,0.09,0,1
809,122083.5,340889.45,9.08,0.68,0,0
507,53885.83,71121.5,0.14,0.46,0,0
314,228113.26,127061.48,13.09,0.75,0,1
626,244238.71,354559.07,32.09,0.71,0,1
569,54077.02,82129.03,28.49,0.4,0,0
509,53972.32,86453.28,6.07,0.45,0,0
301,95003.59,108857.94,20.61,0.69,2,1
545,160872.41,416669.11,0.8,0.73,0,1
586,64035.25,18380.59,24.88,0.57,0,0
695,241119.5,217540.87,27.07,0.49,0,0
692,110356.85,280667.19,16.01,0.72,0,0
819,113048.7,77775.22,20.63,0.15,0,0
355,79052.6,121238.64,30.28,0.68,0,0
316,119857.54,336835.1,28.91,0.61,3,1
362,111486.08,254805.14,10.34,0.51,0,1
778,99138.58,87827.51,22.43,0.47,0,0
706,40640.38,52602.1,34.04,0.38,0,0
811,97561.84,119670.14,4.91,0.66,0,0
407,210003.95,589083.33,18.16,0.28,0,0
525,244754.23,407711.1,28.86,0.13,0,1
540,108691.92,94450.29,12.34,0.46,0,0
327,210447.48,562193.31,24.53,0.17,0,0
495,213676.32,220917.23,13.58,0.49,0,1
666,167197.23,87765.98,0.21,0.26,0,1
670,228145.7,27899.47,0.1,0.45,0,0
507,226455.36,42550.22,1.48,0.74,3,1
604,48759.62,144597.74,17.75,0.12,0,1
619,130371.74,38219.93,1.21,0.18,0,0
324,52352.53,87311.77,10.75,0.5,0,1
791,189442.64,290326.19,34.22,0.43,0,0
514,75046.59,176514.68,15.28,0.56,0,0
728,213092.13,323609.11,0.15,0.36,0,0
392,219063.47,170169.61,23.21,0.28,0,0
440,129883.39,141040.21,30.69,0.68,0,0
677,180462.94,125485.96,1.89,0.66,2,0
452,36916.7,76661.87,23.75,0.49,0,1
416,198374.27,507824.53,30.45,0.79,0,1
499,38943.41,65334.05,29.53,0.07,0,0
736,209742.68,565273.64,7,0.27,0,0
815,221992.45,321589.42,13.23,0.78,0,0
743,243690.26,46821.02,7.81,0.39,0,0
382,173681.72,439635.12,18.46,0.37,0,1
584,93973.65,157540.84,0.91,0.52,0,0
674,204295.11,92560.03,31.95,0.57,0,0
459,27322.39,31155.1,19.35,0.62,3,1
411,167999.45,413173.03,16.93,0.57,0,1
531,182801.73,237165.13,11.7,0.35,0,0
398,30206.56,56694.74,19.21,0.56,0,0
520,148556.06,282907.84,1.59,0.32,0,1
753,111042.98,293615.32,14.61,0.75,0,1
309,160420.44,108233.95,13.33,0.51,0,1
651,123052.32,297151.49,15.3,0.23,0,0
752,248758.82,281810.85,18.3,0.42,0,0
304,121226.99,116156.41,1.21,0.6,0,1
362,196429.45,494762.25,12.01,0.28,0,0
506,174221.82,14998.83,22.61,0.29,0,0
838,74492.02,98049.62,14.34,0.61,3,1
627,183279.81,302841.81,13.58,0.45,0,1
841,28710.8,82192.72,32.3,0.76,2,0
423,99857.62,158659,12.63,0.74,0,0
814,117850.43,151592.3,0.92,0.48,0,1
796,33649.95,37178.41,11.37,0.73,0,0
372,241218.72,411705.34,11.02,0.54,0,0
627,226152.67,245580.35,30.08,0.13,0,0
543,145796.2,267553.45,11.17,0.17,3,0
491,168004.42,135301,32.02,0.48,0,0
621,245287.32,593275.5,25.99,0.1,0,0
807,80460.5,235973.65,0.83,0.45,0,0
722,249264.16,449212.22,13.33,0.19,0,0
453,190312.63,396507.08,11.87,0.13,0,0
732,178384.4,239197.42,16.66,0.8,0,0
756,148781.73,119514,22.16,0.5,0,0
538,99569.37,23728.42,7.98,0.43,0,1
766,197155.16,455906.75,10.1,0.56,0,0
803,78630.8,104038.39,16.95,0.45,0,0
457,37958.37,90064.26,32.27,0.26,0,0
506,43531.8,80760.67,15.16,0.19,0,0
468,116758.86,119692.23,6.1,0.43,0,1
746,156737.71,429118.83,15.33,0.39,0,0
783,221211.7,473591.78,19.5,0.54,0,0
657,167737.13,289407.34,34.08,0.3,0,0
584,208514.52,345011.98,17.18,0.64,0,0
710,223339.2,134015.2,10.49,0.28,2,0
775,232410.1,466067.11,31.78,0.79,1,1
850,160950.54,445011.37,31.4,0.37,0,0
595,164446.49,355793.42,26.9,0.13,0,1
365,226628.86,262046.83,14.99,0.08,0,0
454,166594.97,112446.35,28.52,0.16,0,0
645,102588.12,72340.76,24,0.52,0,0
444,23432.22,51343.18,16.38,0.73,0,0
565,229382.26,301232.69,28.11,0.49,0,0
680,166280.77,263029.54,18.9,0.27,0,0
673,249997.95,90136.58,32.04,0.45,1,0
638,129682.96,364043.65,27.41,0.56,0,0
594,210601.5,318085.44,33.68,0.55,0,0
728,43596.5,85220.95,19.88,0.3,0,0
609,189065.01,507811.47,26.54,0.68,1,1
828,238301.35,420373.16,29.84,0.44,0,0
770,111180.68,224242.96,29.2,0.18,0,1
726,244385.07,288169.9,31.92,0.25,0,0
814,197286.76,199279.59,12.58,0.18,0,0
742,85821.24,84266.86,3.16,0.67,0,1
423,236359.31,455961.24,17.56,0.42,0,1
746,60100.5,60684.82,12.43,0.54,0,0
