transaction_id,amount,hour_of_day,distance_from_home_km,transactions_last_24h,is_foreign_transaction,is_online,used_chip,merchant_category,is_fraud
txn_000041,28.5,7,29.3,1,0,1,1,online_shopping,0
txn_000042,22.92,21,28.0,5,0,1,1,entertainment,0
txn_000043,18.23,20,9.0,4,0,0,1,online_shopping,0
txn_000044,48.97,18,3.7,5,0,0,1,grocery,0
txn_000045,10.22,15,18.4,4,0,1,1,gas_station,0
txn_000046,102.66,12,12.4,4,0,0,1,grocery,0
txn_000047,16.71,21,27.2,3,0,0,1,travel,0
txn_000048,13.11,10,18.6,4,0,0,1,travel,0
txn_000049,50.9,19,12.8,3,0,1,1,online_shopping,0
txn_000050,2.51,12,3.1,4,0,0,0,retail,0
txn_000051,21.11,11,1.8,5,0,1,0,travel,0
txn_000052,20.51,13,8.0,5,1,1,1,retail,0
txn_000053,20.18,11,28.9,3,0,0,1,online_shopping,0
txn_000054,20.06,22,22.2,5,0,0,1,online_shopping,0
txn_000055,77.07,16,23.8,1,0,0,1,travel,0
txn_000056,92.79,22,27.0,2,0,0,1,gas_station,0
txn_000057,16.24,12,18.3,2,0,0,1,grocery,0
txn_000058,52.64,6,9.8,4,0,0,1,gas_station,0
txn_000059,90.01,17,17.3,2,0,0,1,grocery,0
txn_000060,69.74,12,24.5,1,0,0,1,travel,0
txn_000061,70.42,13,23.1,3,0,0,0,gas_station,0
txn_000062,42.09,3,486.0,6,1,1,0,online_shopping,1
txn_000063,4.26,10,26.0,3,0,1,1,retail,0
txn_000064,117.59,13,24.3,3,0,0,0,online_shopping,0
txn_000065,63.45,23,243.8,13,1,1,0,gas_station,1
txn_000066,31.57,14,4.9,1,0,1,1,online_shopping,0
txn_000067,13.45,12,20.1,5,0,0,1,retail,0
txn_000068,6.88,9,21.4,2,1,0,1,gas_station,0
txn_000069,74.17,10,25.4,2,0,1,1,entertainment,0
txn_000070,33.57,12,9.1,2,0,0,1,online_shopping,0
txn_000071,65.91,14,12.3,5,0,0,0,gas_station,0
txn_000072,12.08,22,23.8,1,1,1,1,online_shopping,0
txn_000073,41.55,16,18.8,1,0,0,1,restaurant,0
txn_000074,15.04,6,3.6,5,0,1,0,travel,0
txn_000075,14.01,10,24.8,1,0,1,0,travel,0
txn_000076,151.87,19,5.0,4,0,1,1,gas_station,0
txn_000077,45.64,8,16.2,3,0,0,1,restaurant,0
txn_000078,19.52,14,3.2,2,0,0,1,grocery,0
txn_000079,17.57,16,17.0,4,0,0,1,online_shopping,0
txn_000080,10.71,20,3.2,5,0,1,1,restaurant,0
txn_000081,145.1,18,26.7,2,0,1,1,gas_station,0
txn_000082,48.05,13,2.8,3,0,0,1,grocery,0
txn_000083,14.05,22,7.4,5,0,1,1,grocery,0
txn_000084,27.24,13,20.1,4,0,0,1,restaurant,0
txn_000085,14.88,6,3.6,5,0,1,1,grocery,0
txn_000086,45.99,15,18.8,1,0,1,1,retail,0
txn_000087,9.26,19,22.6,3,0,0,1,travel,0
txn_000088,14.99,14,1.4,4,0,0,1,travel,0
txn_000089,25.61,22,8.3,5,0,0,1,entertainment,0
txn_000090,22.2,22,2.3,3,0,1,1,entertainment,0
txn_000091,257.11,13,12.3,1,0,0,1,retail,0
txn_000092,45.66,20,19.3,2,0,0,1,grocery,0
txn_000093,41.39,6,3.9,1,0,0,1,restaurant,0
txn_000094,35.48,11,10.2,1,1,0,1,grocery,0
txn_000095,71.58,6,11.4,2,0,1,1,gas_station,0
txn_000096,64.89,12,17.3,2,0,0,1,gas_station,0
txn_000097,9.68,16,1.8,4,0,1,1,retail,0
txn_000098,69.05,16,5.8,3,0,0,1,restaurant,0
txn_000099,21.78,14,21.0,4,0,1,1,travel,0
txn_000100,132.7,22,9.7,2,0,0,1,gas_station,0
txn_000101,94.29,20,3.2,5,0,1,1,grocery,0
txn_000102,77.95,1,271.4,7,1,0,0,retail,1
txn_000103,69.45,10,4.3,4,0,0,0,entertainment,0
txn_000104,56.47,16,25.4,1,0,1,1,gas_station,0
txn_000105,20.57,15,10.7,2,0,0,0,restaurant,0
txn_000106,58.13,8,19.9,2,1,1,0,retail,0
txn_000107,298.82,13,8.0,4,0,0,1,gas_station,0
txn_000108,34.05,17,22.0,1,0,1,0,travel,0
txn_000109,25.56,12,17.4,4,0,0,1,travel,0
txn_000110,693.59,0,242.6,13,0,0,1,grocery,1
txn_000111,502.16,0,265.5,5,1,0,0,travel,1
txn_000112,29.46,11,25.5,4,1,0,1,restaurant,0
txn_000113,6.66,19,0.0,1,0,0,1,grocery,0
txn_000114,22.79,18,20.1,3,1,1,1,grocery,0
txn_000115,92.75,16,12.6,3,0,1,1,grocery,0
txn_000116,21.89,22,21.3,4,0,1,0,grocery,0
txn_000117,51.66,15,22.0,5,0,0,1,restaurant,0
txn_000118,111.91,8,14.0,3,0,1,1,gas_station,0
txn_000119,19.46,13,16.3,2,0,1,1,restaurant,0
txn_000120,25.28,12,11.3,3,0,0,1,online_shopping,0
txn_000121,86.55,16,11.7,3,0,1,1,online_shopping,0
txn_000122,4.53,11,2.2,3,0,0,1,online_shopping,0
txn_000123,221.16,17,1.2,4,0,0,1,grocery,0
txn_000124,7.86,13,16.8,1,0,0,0,online_shopping,0
txn_000125,59.76,17,0.0,5,1,0,1,online_shopping,0
txn_000126,52.09,16,6.1,4,0,1,0,entertainment,0
txn_000127,23.35,15,8.4,1,0,0,1,travel,0
txn_000128,9.01,13,3.6,5,0,0,1,retail,0
txn_000129,116.6,11,4.9,1,1,1,0,entertainment,0
txn_000130,59.8,16,1.3,3,0,1,1,grocery,0
txn_000131,25.71,13,10.6,4,0,1,1,online_shopping,0
txn_000132,16.36,11,23.0,2,0,0,1,restaurant,0
txn_000133,56.92,7,11.7,5,0,1,0,retail,0
txn_000134,8.98,19,18.1,4,0,0,0,retail,0
txn_000135,10.25,11,16.0,3,0,1,1,entertainment,0
txn_000136,69.64,6,13.4,1,0,0,1,online_shopping,0
txn_000137,217.74,7,9.9,2,0,1,0,restaurant,0
txn_000138,19.25,9,26.8,5,0,1,1,retail,0
txn_000139,59.88,20,5.7,1,0,1,1,retail,0
txn_000140,66.94,14,15.5,5,0,1,0,restaurant,0
txn_000141,56.87,6,7.0,1,0,0,0,entertainment,0
txn_000142,16.53,12,20.4,5,0,0,0,retail,0
txn_000143,32.14,21,7.0,5,0,1,0,restaurant,0
txn_000144,68.35,14,4.6,4,0,1,0,travel,0
txn_000145,26.75,22,22.9,2,0,1,1,grocery,0
txn_000146,43.39,10,15.7,3,0,1,1,gas_station,0
txn_000147,50.29,21,21.4,4,0,1,1,online_shopping,0
txn_000148,88.7,13,9.6,3,0,1,1,gas_station,0
txn_000149,35.95,14,22.7,3,0,1,1,online_shopping,0
txn_000150,4.75,21,27.8,5,0,1,0,restaurant,0
txn_000151,41.04,6,24.4,2,0,1,0,retail,0
txn_000152,51.85,13,5.6,1,0,0,1,grocery,0
txn_000153,61.37,18,9.8,4,1,1,0,grocery,0
txn_000154,95.19,12,22.5,5,0,1,1,entertainment,0
txn_000155,201.16,10,18.4,3,0,1,1,restaurant,0
txn_000156,24.3,22,6.6,1,0,0,1,travel,0
txn_000157,35.15,11,27.7,5,0,0,1,entertainment,0
txn_000158,5.4,16,23.5,3,0,0,1,entertainment,0
txn_000159,81.1,12,6.6,2,0,0,1,gas_station,0
txn_000160,19.96,13,15.2,2,0,1,1,grocery,0
txn_000161,746.96,0,376.9,10,1,1,1,retail,1
txn_000162,27.92,6,10.0,2,0,0,1,restaurant,0
txn_000163,39.97,18,18.7,1,0,0,1,retail,0
txn_000164,55.01,19,11.3,2,0,0,1,restaurant,0
txn_000165,15.1,9,18.8,4,0,1,1,retail,0
txn_000166,414.68,1,357.3,18,0,1,0,entertainment,1
txn_000167,96.77,10,15.7,2,0,1,1,entertainment,0
txn_000168,61.96,13,4.0,2,0,1,1,grocery,0
txn_000169,32.61,22,1.8,5,0,1,1,travel,0
txn_000170,27.67,11,27.0,2,1,1,1,grocery,0
txn_000171,20.95,11,23.6,5,0,0,1,gas_station,0
txn_000172,670.39,3,463.9,17,1,0,1,entertainment,1
txn_000173,3547.93,0,426.5,18,1,1,1,gas_station,1
txn_000174,27.71,17,18.7,3,0,1,1,gas_station,0
txn_000175,344.82,0,110.3,8,1,1,0,grocery,1
txn_000176,16.74,13,14.8,1,1,0,1,entertainment,0
txn_000177,276.07,6,23.3,4,0,0,1,grocery,0
txn_000178,30.18,12,14.3,3,0,0,1,grocery,0
txn_000179,46.43,18,9.4,2,1,1,1,gas_station,0
txn_000180,67.9,1,77.9,7,1,1,1,restaurant,1
txn_000181,35.13,17,0.1,2,0,0,1,restaurant,0
txn_000182,130.88,16,2.0,3,0,1,1,retail,0
txn_000183,4.61,18,28.6,5,1,1,1,travel,0
txn_000184,22.21,7,24.6,5,0,0,0,entertainment,0
txn_000185,60.56,19,14.6,3,0,0,1,grocery,0
txn_000186,10.32,8,29.8,5,0,0,1,online_shopping,0
txn_000187,161.31,12,25.8,1,0,1,1,retail,0
txn_000188,111.93,17,18.2,3,1,0,1,restaurant,0
txn_000189,203.57,17,28.6,5,0,1,1,restaurant,0
txn_000190,47.79,22,26.2,2,0,1,1,gas_station,0
txn_000191,14.01,19,17.7,4,0,1,1,grocery,0
txn_000192,2359.98,1,429.4,19,0,0,1,restaurant,1
txn_000193,38.09,12,13.2,4,0,1,1,travel,0
txn_000194,23.8,7,0.6,5,1,1,1,online_shopping,0
txn_000195,9.38,17,7.3,1,0,0,1,restaurant,0
txn_000196,593.83,3,285.5,7,1,1,0,grocery,1
txn_000197,4.71,13,9.4,1,0,1,1,online_shopping,0
txn_000198,51.94,8,8.9,2,0,1,1,restaurant,0
txn_000199,51.18,15,9.0,2,0,1,1,retail,0
txn_000200,57.41,22,12.3,2,0,0,0,online_shopping,0
txn_000201,153.6,22,22.9,1,0,1,1,grocery,0
txn_000202,1612.48,2,406.2,14,1,1,0,online_shopping,1
txn_000203,11.18,10,25.3,3,1,1,1,gas_station,0
txn_000204,46.11,15,5.8,5,0,0,0,entertainment,0
txn_000205,28.29,10,17.4,3,0,1,1,online_shopping,0
txn_000206,23.88,21,7.9,3,0,1,1,grocery,0
txn_000207,40.77,22,4.0,5,0,1,1,grocery,0
txn_000208,2.83,6,7.9,2,0,0,1,entertainment,0
txn_000209,137.49,19,27.3,4,0,0,1,gas_station,0
txn_000210,54.04,10,28.6,3,0,0,1,online_shopping,0
txn_000211,10.67,21,6.5,3,0,1,1,restaurant,0
txn_000212,46.25,10,28.8,5,0,1,0,retail,0
txn_000213,3649.75,2,337.8,5,0,1,0,grocery,1
txn_000214,232.51,0,477.9,13,1,1,1,online_shopping,1
txn_000215,270.65,3,148.9,13,1,1,0,retail,1
txn_000216,7.44,11,5.9,4,0,1,1,online_shopping,0
txn_000217,88.75,19,24.2,4,0,0,1,restaurant,0
txn_000218,8.06,13,9.3,3,0,1,0,entertainment,0
txn_000219,64.2,21,13.6,5,0,1,1,gas_station,0
txn_000220,89.46,20,8.5,2,0,0,1,travel,0
txn_000221,91.34,6,4.3,4,0,1,1,travel,0
txn_000222,17.49,12,11.3,4,0,0,1,retail,0
txn_000223,25.07,16,14.4,4,0,0,1,retail,0
txn_000224,33.74,12,11.1,1,0,1,1,grocery,0
txn_000225,12.8,20,26.9,2,0,0,1,entertainment,0
txn_000226,23.97,15,9.3,2,1,0,0,gas_station,0
txn_000227,8.54,12,15.3,2,0,1,1,travel,0
txn_000228,22.68,7,9.7,5,0,1,1,travel,0
txn_000229,26.27,14,18.5,2,1,1,0,online_shopping,0
txn_000230,35.43,8,27.0,3,0,0,1,entertainment,0
txn_000231,79.21,17,20.5,5,1,1,1,online_shopping,0
txn_000232,54.28,22,17.7,2,0,0,1,online_shopping,0
txn_000233,22.47,6,25.5,5,0,1,1,gas_station,0
txn_000234,47.91,17,26.4,3,0,0,1,grocery,0
txn_000235,36.12,19,6.0,4,0,0,1,gas_station,0
txn_000236,102.09,6,14.7,1,0,1,1,gas_station,0
txn_000237,8.14,12,10.5,5,0,1,1,retail,0
txn_000238,11.1,18,4.8,5,0,0,1,entertainment,0
txn_000239,3.17,8,1.7,4,0,0,1,entertainment,0
txn_000240,7.98,12,24.7,5,0,1,1,gas_station,0
txn_000241,16.91,16,11.6,4,1,1,1,online_shopping,0
txn_000242,919.88,2,395.9,9,1,0,1,gas_station,1
txn_000243,38.71,11,5.0,5,0,0,1,grocery,0
txn_000244,22.32,20,23.2,1,0,0,0,entertainment,0
txn_000245,119.9,19,11.4,5,1,0,1,entertainment,0
txn_000246,10.81,7,0.6,2,0,1,1,grocery,0
txn_000247,16.74,16,23.8,4,0,0,0,grocery,0
txn_000248,39.19,15,18.4,5,0,0,1,retail,0
txn_000249,57.38,9,29.7,5,0,0,1,online_shopping,0
txn_000250,11.04,10,23.6,2,0,0,1,grocery,0
txn_000251,90.51,16,8.5,2,0,1,1,travel,0
txn_000252,76.25,7,11.3,2,0,1,0,grocery,0
txn_000253,55.25,14,23.8,4,0,1,1,grocery,0
txn_000254,5.16,15,15.2,4,0,1,1,gas_station,0
txn_000255,6.45,8,5.6,4,0,0,1,gas_station,0
txn_000256,550.89,0,350.7,13,0,1,1,entertainment,1
txn_000257,36.5,11,8.2,1,0,0,1,gas_station,0
txn_000258,43.79,11,9.0,1,0,0,1,grocery,0
txn_000259,24.85,6,14.1,1,0,0,1,grocery,0
txn_000260,31.69,9,7.5,3,1,0,1,gas_station,0
txn_000261,43.7,19,12.2,2,0,0,1,entertainment,0
txn_000262,29.54,14,22.6,2,0,0,1,gas_station,0
txn_000263,99.89,12,24.4,3,0,1,1,grocery,0
txn_000264,45.23,17,15.7,3,0,0,1,grocery,0
txn_000265,22.66,17,13.3,2,0,0,1,entertainment,0
txn_000266,27.49,3,385.3,10,1,1,1,entertainment,1
txn_000267,109.37,3,323.0,14,0,1,1,gas_station,1
txn_000268,156.53,15,16.0,1,0,0,0,grocery,0
txn_000269,28.35,7,17.4,1,0,1,1,restaurant,0
txn_000270,6.67,11,9.7,3,0,0,1,gas_station,0
txn_000271,434.09,3,378.4,15,1,1,0,restaurant,1
txn_000272,13.02,13,20.7,1,0,0,1,travel,0
txn_000273,430.65,16,6.3,4,0,1,1,restaurant,0
txn_000274,137.05,13,2.7,1,0,0,0,gas_station,0
txn_000275,48.95,12,0.6,3,0,0,1,retail,0
txn_000276,47.03,3,333.3,15,0,0,1,gas_station,1
txn_000277,198.72,22,20.0,4,0,1,1,retail,0
txn_000278,55.34,21,0.2,5,0,1,1,online_shopping,0
txn_000279,50.52,17,3.2,1,0,1,1,grocery,0
txn_000280,10.16,17,3.2,1,1,1,0,online_shopping,0
txn_000281,66.4,22,21.9,3,0,1,1,travel,0
txn_000282,14.0,13,20.3,3,0,0,1,online_shopping,0
txn_000283,24.2,22,0.4,4,1,1,1,gas_station,0
txn_000284,60.71,18,25.6,2,0,1,1,gas_station,0
txn_000285,127.81,22,18.4,3,0,1,1,entertainment,0
txn_000286,103.86,9,26.8,2,0,1,1,retail,0
txn_000287,32.69,21,0.3,3,0,1,0,entertainment,0
txn_000288,65.04,6,21.4,4,0,0,1,grocery,0
txn_000289,199.9,17,17.9,1,0,0,1,retail,0
txn_000290,8.95,7,4.9,2,0,0,1,travel,0
txn_000291,28.82,15,3.5,2,0,0,1,travel,0
txn_000292,123.63,15,29.8,5,1,0,1,restaurant,0
txn_000293,11.55,10,27.0,2,0,0,1,online_shopping,0
txn_000294,28.99,15,10.5,5,0,1,0,grocery,0
txn_000295,72.37,7,18.7,5,0,0,1,gas_station,0
txn_000296,76.23,23,270.3,8,0,1,0,grocery,1
txn_000297,35.6,21,28.4,4,0,0,1,retail,0
txn_000298,89.45,14,20.5,1,0,0,1,restaurant,0
txn_000299,22.63,21,9.3,2,0,0,1,travel,0
txn_000300,30.8,12,22.1,2,0,1,1,grocery,0
txn_000301,283.39,16,4.8,1,0,1,1,gas_station,0
txn_000302,19.05,17,17.6,2,0,1,1,retail,0
txn_000303,56.36,22,338.8,10,1,1,0,online_shopping,1
txn_000304,217.12,9,24.3,4,0,0,1,gas_station,0
txn_000305,33.49,12,8.5,3,0,1,1,travel,0
txn_000306,54.98,20,15.2,2,0,0,1,retail,0
txn_000307,64.81,15,4.9,3,1,1,1,entertainment,0
txn_000308,30.26,8,28.8,4,0,1,0,entertainment,0
txn_000309,15.81,21,17.4,4,1,1,1,entertainment,0
txn_000310,15.03,18,28.1,4,0,1,1,retail,0
txn_000311,52.08,7,19.5,4,0,0,1,gas_station,0
txn_000312,50.32,13,25.1,4,0,0,1,grocery,0
txn_000313,32.08,3,344.3,11,1,1,1,restaurant,1
txn_000314,30.67,9,12.6,1,0,1,1,gas_station,0
txn_000315,27.92,9,27.6,2,0,0,0,travel,0
txn_000316,49.09,17,13.7,1,0,1,1,retail,0
txn_000317,2.68,7,0.1,1,0,0,1,restaurant,0
txn_000318,9.98,13,15.3,1,0,1,1,online_shopping,0
txn_000319,52.31,9,2.1,2,0,0,1,grocery,0
txn_000320,7.76,13,5.4,1,0,0,1,gas_station,0
txn_000321,15.31,10,6.7,4,0,0,1,travel,0
txn_000322,45.65,8,1.8,1,0,0,1,online_shopping,0
txn_000323,6.24,8,11.7,5,0,1,1,entertainment,0
txn_000324,158.07,12,12.1,3,0,1,1,gas_station,0
txn_000325,8.19,6,15.8,2,0,0,1,retail,0
txn_000326,40.32,17,1.6,3,0,0,1,grocery,0
txn_000327,28.65,7,2.8,4,0,1,1,gas_station,0
txn_000328,47.18,8,4.4,2,0,1,0,online_shopping,0
txn_000329,14.08,9,16.4,1,0,0,1,restaurant,0
txn_000330,61.42,11,24.5,2,0,0,1,grocery,0
txn_000331,49.87,20,12.4,5,0,1,1,grocery,0
txn_000332,107.32,7,9.2,1,0,1,0,online_shopping,0
txn_000333,16.63,10,26.0,3,0,1,1,retail,0
txn_000334,42.23,20,10.6,1,0,1,1,gas_station,0
txn_000335,7.89,11,3.5,2,0,0,1,restaurant,0
txn_000336,129.33,20,24.2,3,0,0,1,online_shopping,0
txn_000337,73.12,22,18.6,1,0,0,1,retail,0
txn_000338,90.23,14,24.9,5,0,0,0,entertainment,0
txn_000339,37.01,18,11.3,1,0,1,1,travel,0
txn_000340,113.27,19,28.4,5,0,0,1,retail,0
txn_000341,11.38,21,15.1,2,0,1,1,gas_station,0
txn_000342,4.94,20,0.7,4,0,1,1,online_shopping,0
txn_000343,16.82,7,12.5,1,0,1,1,travel,0
txn_000344,37.31,12,20.3,1,0,0,0,grocery,0
txn_000345,18.34,0,143.6,19,1,1,0,travel,1
txn_000346,171.3,19,27.2,3,0,0,1,travel,0
txn_000347,67.98,9,3.7,1,0,1,1,gas_station,0
txn_000348,107.64,0,396.1,15,1,1,1,gas_station,1
txn_000349,51.2,16,2.4,2,0,1,0,grocery,0
txn_000350,34.21,9,26.8,2,1,0,1,retail,0
txn_000351,38.61,8,29.9,1,0,0,0,retail,0
txn_000352,12.2,21,29.0,1,0,0,1,restaurant,0
txn_000353,23.5,22,8.1,4,0,0,1,retail,0
txn_000354,66.6,13,26.2,4,0,0,1,online_shopping,0
txn_000355,9.16,16,7.5,1,0,1,1,online_shopping,0
txn_000356,18.42,18,6.6,4,0,0,1,entertainment,0
txn_000357,111.99,22,11.9,3,0,1,1,gas_station,0
txn_000358,18.09,20,11.9,5,0,1,1,travel,0
txn_000359,4.45,16,27.4,5,1,0,1,grocery,0
txn_000360,17.21,6,3.0,5,0,0,0,restaurant,0
txn_000361,36.24,14,26.4,5,0,0,1,entertainment,0
txn_000362,131.56,20,9.1,2,1,1,1,retail,0
txn_000363,92.4,6,13.2,2,0,1,0,travel,0
txn_000364,11.95,18,7.6,1,0,0,1,entertainment,0
txn_000365,4.2,12,18.0,5,0,1,1,entertainment,0
txn_000366,180.69,9,15.7,5,0,0,1,grocery,0
txn_000367,58.56,12,22.5,3,0,1,1,entertainment,0
txn_000368,23.79,21,21.4,5,0,0,1,online_shopping,0
txn_000369,48.8,22,29.0,3,1,1,1,travel,0
txn_000370,75.27,12,11.5,5,0,1,0,gas_station,0
txn_000371,286.58,13,5.8,4,0,1,1,travel,0
txn_000372,11.5,16,21.8,1,0,0,1,gas_station,0
txn_000373,2.29,21,3.8,1,0,0,0,grocery,0
txn_000374,19.4,6,16.4,5,0,0,1,retail,0
txn_000375,15.35,9,17.5,5,0,1,1,retail,0
txn_000376,116.45,0,399.4,18,1,1,0,grocery,1
txn_000377,115.47,10,4.5,5,0,1,0,entertainment,0
txn_000378,1170.11,0,460.8,16,1,1,0,online_shopping,1
txn_000379,97.29,19,29.9,1,0,0,1,online_shopping,0
txn_000380,28.13,13,3.6,4,0,0,1,gas_station,0
txn_000381,20.13,16,15.8,4,0,1,0,restaurant,0
txn_000382,38.45,12,26.2,3,0,1,0,retail,0
txn_000383,29.09,18,4.5,4,0,1,1,travel,0
txn_000384,15.6,15,10.4,5,0,1,1,travel,0
txn_000385,322.42,16,20.5,5,0,1,1,entertainment,0
txn_000386,75.93,21,19.1,5,0,0,1,retail,0
txn_000387,16.69,17,24.0,3,0,0,1,online_shopping,0
txn_000388,125.54,17,14.1,2,0,0,1,retail,0
txn_000389,286.31,20,25.8,3,0,1,1,gas_station,0
txn_000390,20.94,7,28.9,5,0,0,0,retail,0
txn_000391,56.83,21,26.3,1,0,0,1,retail,0
txn_000392,24.65,22,26.3,4,0,0,1,online_shopping,0
txn_000393,4.31,14,25.8,4,0,0,1,online_shopping,0
txn_000394,62.24,11,4.5,5,0,0,1,grocery,0
txn_000395,60.67,19,6.5,2,0,0,0,retail,0
txn_000396,28.26,8,25.4,3,0,0,1,online_shopping,0
txn_000397,47.26,20,14.2,3,1,0,1,gas_station,0
txn_000398,75.99,16,9.2,2,0,0,1,entertainment,0
txn_000399,2606.35,0,115.5,8,1,1,0,gas_station,1
txn_000400,28.99,6,12.5,4,0,0,1,online_shopping,0
txn_000401,15.0,13,2.3,4,0,0,1,travel,0
txn_000402,15.93,13,13.3,5,0,1,1,retail,0
txn_000403,13.77,22,3.1,3,0,1,1,retail,0
txn_000404,3.1,12,16.2,2,0,0,1,online_shopping,0
txn_000405,30.2,21,12.8,1,0,0,1,gas_station,0
txn_000406,26.71,9,23.7,1,0,0,1,retail,0
txn_000407,17.53,15,17.2,1,0,0,0,online_shopping,0
txn_000408,307.73,14,22.2,4,0,1,0,online_shopping,0
txn_000409,46.23,19,19.0,4,0,1,1,restaurant,0
txn_000410,19.62,14,19.4,1,0,1,1,retail,0
txn_000411,31.06,16,11.8,5,0,0,1,online_shopping,0
txn_000412,4.93,14,8.0,3,0,1,0,grocery,0
txn_000413,20.23,12,16.7,5,0,1,1,entertainment,0
txn_000414,99.74,21,0.3,5,0,1,1,online_shopping,0
txn_000415,3.5,17,25.9,3,0,1,1,restaurant,0
txn_000416,29.47,18,11.0,1,0,1,0,grocery,0
txn_000417,10379.87,4,101.0,12,1,1,0,retail,1
txn_000418,36.87,11,1.0,5,0,0,1,gas_station,0
txn_000419,4.61,9,22.1,4,0,1,1,travel,0
txn_000420,15.83,10,2.6,3,0,1,1,gas_station,0
txn_000421,12.06,10,7.0,3,0,1,1,restaurant,0
txn_000422,57.68,14,28.8,4,0,1,1,online_shopping,0
txn_000423,51.37,21,18.9,3,0,0,1,gas_station,0
txn_000424,43.35,14,25.8,3,0,1,0,online_shopping,0
txn_000425,4.03,13,7.2,2,0,1,1,restaurant,0
txn_000426,31.21,8,24.4,2,0,1,1,online_shopping,0
txn_000427,9.98,11,16.6,3,0,0,1,gas_station,0
txn_000428,25.0,16,25.2,3,0,0,1,gas_station,0
txn_000429,60.46,9,1.5,2,0,0,0,grocery,0
txn_000430,202.35,8,6.2,2,0,1,1,grocery,0
txn_000431,11.54,21,5.2,5,0,1,1,online_shopping,0
txn_000432,18.39,4,87.0,16,0,1,0,online_shopping,1
txn_000433,1025.88,1,225.6,13,0,1,0,gas_station,1
txn_000434,83.95,7,4.5,4,0,0,1,entertainment,0
txn_000435,126.73,7,19.7,2,0,0,1,online_shopping,0
txn_000436,389.86,0,402.9,5,0,1,0,grocery,1
txn_000437,5.67,12,9.9,3,0,1,1,entertainment,0
txn_000438,72.21,6,14.4,3,0,0,0,retail,0
txn_000439,113.08,9,28.6,1,0,1,1,online_shopping,0
txn_000440,11.69,10,17.4,5,0,0,1,travel,0
txn_000441,23.9,16,10.5,1,0,0,1,travel,0
txn_000442,288.12,7,19.9,3,0,0,1,online_shopping,0
txn_000443,105.31,20,4.4,2,0,0,1,grocery,0
txn_000444,32.46,7,21.4,5,0,0,1,travel,0
txn_000445,24.73,18,28.1,3,1,1,1,online_shopping,0
txn_000446,13.99,6,17.7,5,0,0,1,restaurant,0
txn_000447,11.39,11,29.0,2,0,0,1,travel,0
txn_000448,78.08,3,308.9,17,1,0,0,gas_station,1
txn_000449,72.08,16,18.4,3,0,1,1,retail,0
txn_000450,73.58,9,10.4,2,0,0,1,online_shopping,0
txn_000451,106.48,21,11.5,5,1,0,1,restaurant,0
txn_000452,53.29,21,24.9,5,1,0,0,gas_station,0
txn_000453,13.34,15,12.3,3,0,1,0,online_shopping,0
txn_000454,107.99,22,23.6,1,0,1,1,entertainment,0
txn_000455,53.4,21,21.1,2,0,0,1,grocery,0
