order_id,customer_id,restaurant_id,order_value,distance_km,estimated_delivery_min,hour_of_day,day_of_week,is_weekend,rain,surge_pricing_multiplier,promo_applied,prep_delay_min,was_cancelled
ord_000050,cust_02493,rest_0112,199,4.96,32,17,Sunday,1,0,1.8,0,0,0
ord_000051,cust_03787,rest_0223,129,1.77,17,22,Sunday,1,0,1.0,0,0,0
ord_000052,cust_04001,rest_0872,276,2.95,29,11,Wednesday,0,0,1.0,0,0,0
ord_000053,cust_04415,rest_0760,203,9.12,47,13,Saturday,1,0,1.0,1,1,0
ord_000054,cust_01988,rest_0633,176,12.05,51,14,Tuesday,0,0,1.0,0,4,0
ord_000055,cust_04946,rest_0214,311,14.44,75,9,Thursday,0,0,1.0,0,4,0
ord_000056,cust_01669,rest_0169,231,8.66,47,14,Thursday,0,0,2.0,0,0,1
ord_000057,cust_04652,rest_0776,309,10.38,57,19,Friday,0,0,1.0,0,10,0
ord_000058,cust_04145,rest_0503,116,13.25,73,20,Wednesday,0,0,1.0,0,10,0
ord_000059,cust_04318,rest_0549,274,3.17,32,23,Sunday,1,0,1.5,1,3,0
ord_000060,cust_01719,rest_0716,248,14.74,60,11,Monday,0,0,1.5,0,3,0
ord_000061,cust_02259,rest_1413,232,1.41,21,20,Thursday,0,0,1.5,0,0,0
ord_000062,cust_02332,rest_0049,300,3.74,30,12,Friday,0,1,1.8,0,0,0
ord_000063,cust_03413,rest_1391,188,1.12,24,13,Tuesday,0,1,1.8,0,0,0
ord_000064,cust_00092,rest_0457,204,1.33,16,11,Wednesday,0,0,1.2,1,2,1
ord_000065,cust_01981,rest_1162,206,0.56,18,12,Wednesday,0,0,1.0,0,6,0
ord_000066,cust_04761,rest_1277,236,14.86,62,9,Sunday,1,0,1.0,0,0,0
ord_000067,cust_03670,rest_0332,666,10.54,53,13,Saturday,1,0,1.0,1,0,0
ord_000068,cust_03833,rest_0024,106,9.1,52,21,Friday,0,0,1.8,0,0,0
ord_000069,cust_02253,rest_1196,292,11.73,46,20,Sunday,1,0,1.0,0,0,0
ord_000070,cust_02694,rest_0802,374,14.78,65,21,Saturday,1,0,1.0,0,1,0
ord_000071,cust_04292,rest_1027,173,7.72,43,20,Sunday,1,0,1.0,1,6,0
ord_000072,cust_04817,rest_1369,217,10.11,54,20,Thursday,0,0,1.0,0,0,0
ord_000073,cust_01351,rest_1301,237,12.02,50,15,Wednesday,0,0,1.0,0,3,0
ord_000074,cust_03138,rest_1145,209,14.3,59,12,Saturday,1,0,1.5,0,0,0
ord_000075,cust_02967,rest_1195,185,12.89,44,13,Monday,0,1,1.8,1,1,0
ord_000076,cust_04278,rest_1405,270,13.68,67,12,Monday,0,0,1.0,1,9,0
ord_000077,cust_03740,rest_0356,110,4.95,28,21,Friday,0,1,1.0,1,2,0
ord_000078,cust_00277,rest_1053,278,4.12,31,19,Thursday,0,0,1.0,0,0,0
ord_000079,cust_02993,rest_0825,311,14.07,65,10,Sunday,1,0,1.0,0,0,0
ord_000080,cust_02147,rest_0302,297,10.72,44,14,Sunday,1,0,1.0,0,1,0
ord_000081,cust_00141,rest_0276,147,7.84,51,8,Thursday,0,0,1.0,0,0,1
ord_000082,cust_02881,rest_1432,248,15.0,58,19,Friday,0,0,1.0,0,6,1
ord_000083,cust_03497,rest_1010,431,7.29,34,19,Wednesday,0,0,1.0,0,4,0
ord_000084,cust_03830,rest_0383,212,10.31,48,20,Thursday,0,0,1.0,1,0,1
ord_000085,cust_00314,rest_1108,375,0.85,14,20,Tuesday,0,0,1.0,1,0,0
ord_000086,cust_01631,rest_0446,220,6.63,41,18,Sunday,1,0,1.0,1,0,0
ord_000087,cust_03966,rest_0373,231,13.16,60,21,Sunday,1,0,1.0,1,7,1
ord_000088,cust_04068,rest_0967,152,14.39,68,21,Tuesday,0,0,1.8,1,4,0
ord_000089,cust_02995,rest_0382,204,13.32,74,20,Tuesday,0,0,1.0,1,2,1
ord_000090,cust_00933,rest_1410,476,4.4,36,10,Saturday,1,1,1.0,0,0,0
ord_000091,cust_03572,rest_0734,235,5.06,42,20,Friday,0,0,1.0,0,0,0
ord_000092,cust_00638,rest_0317,217,12.4,44,19,Sunday,1,1,1.8,0,0,0
ord_000093,cust_03168,rest_0612,158,12.76,61,8,Tuesday,0,0,1.0,1,0,0
ord_000094,cust_01956,rest_0701,305,9.15,46,8,Friday,0,0,1.0,0,12,0
ord_000095,cust_02888,rest_0872,242,5.0,41,15,Tuesday,0,0,1.0,0,7,0
ord_000096,cust_04661,rest_1091,168,7.11,35,17,Tuesday,0,0,1.0,0,0,0
ord_000097,cust_00420,rest_1276,377,12.74,63,5,Tuesday,0,0,1.0,1,0,0
ord_000098,cust_02926,rest_0331,348,11.51,59,20,Sunday,1,0,1.0,0,0,1
ord_000099,cust_02297,rest_1153,150,7.61,40,17,Thursday,0,0,1.0,0,0,0
ord_000100,cust_00105,rest_0873,137,8.61,36,18,Saturday,1,1,1.5,1,9,0
ord_000101,cust_01219,rest_0704,370,4.32,30,17,Saturday,1,1,1.0,1,0,0
ord_000102,cust_01311,rest_0340,147,4.36,31,12,Thursday,0,0,1.0,1,0,0
ord_000103,cust_00915,rest_1064,386,7.25,41,6,Wednesday,0,0,1.5,0,0,0
ord_000104,cust_01824,rest_0870,127,4.47,30,16,Wednesday,0,0,1.0,0,0,0
ord_000105,cust_04427,rest_1124,470,4.53,32,16,Monday,0,0,1.0,0,0,0
ord_000106,cust_03406,rest_1020,282,3.0,30,9,Monday,0,1,1.2,1,2,1
ord_000107,cust_03410,rest_0620,874,5.79,38,14,Friday,0,0,1.2,1,0,0
ord_000108,cust_02599,rest_0232,239,11.14,50,19,Sunday,1,1,1.2,1,3,0
ord_000109,cust_02474,rest_1430,221,7.11,37,15,Thursday,0,1,1.2,0,0,0
ord_000110,cust_00022,rest_0803,161,10.21,51,21,Wednesday,0,0,1.0,0,0,0
ord_000111,cust_02831,rest_1085,254,1.27,19,20,Tuesday,0,0,1.0,1,7,0
ord_000112,cust_01882,rest_0852,96,7.44,40,9,Wednesday,0,0,1.2,0,0,0
ord_000113,cust_01843,rest_0430,106,12.53,54,19,Friday,0,0,1.0,0,0,1
ord_000114,cust_04044,rest_0501,572,4.75,37,21,Sunday,1,0,1.0,0,0,0
ord_000115,cust_01548,rest_1234,423,5.38,31,11,Friday,0,0,1.5,0,0,0
ord_000116,cust_02308,rest_0878,327,6.09,35,7,Saturday,1,0,1.0,1,0,0
ord_000117,cust_00806,rest_1386,319,2.4,22,18,Sunday,1,0,1.0,1,0,0
ord_000118,cust_02885,rest_1138,207,12.03,43,11,Monday,0,0,1.0,1,0,0
ord_000119,cust_02536,rest_0269,168,7.48,39,18,Sunday,1,0,1.0,1,6,0
ord_000120,cust_04878,rest_0013,196,3.55,25,23,Wednesday,0,1,1.8,0,0,0
ord_000121,cust_03078,rest_1309,177,14.23,60,9,Thursday,0,0,1.0,0,0,1
ord_000122,cust_00046,rest_0132,205,1.16,18,18,Saturday,1,0,1.0,0,8,1
ord_000123,cust_01180,rest_1103,89,7.31,46,18,Monday,0,0,1.5,0,7,0
ord_000124,cust_04540,rest_1200,108,0.7,18,19,Saturday,1,1,1.0,0,2,1
ord_000125,cust_00293,rest_0873,357,7.38,35,20,Monday,0,0,1.0,0,2,0
ord_000126,cust_02668,rest_0097,364,2.33,17,13,Sunday,1,0,2.0,1,1,0
ord_000127,cust_03439,rest_1255,79,0.73,23,16,Tuesday,0,0,1.0,1,0,0
ord_000128,cust_03134,rest_0311,207,10.17,43,10,Tuesday,0,0,1.0,0,0,0
ord_000129,cust_02924,rest_1163,143,6.12,39,22,Sunday,1,0,1.0,1,0,0
ord_000130,cust_03604,rest_0653,271,6.47,39,8,Wednesday,0,0,1.0,0,8,0
ord_000131,cust_02238,rest_0386,341,8.62,47,15,Sunday,1,0,1.2,1,2,0
ord_000132,cust_00064,rest_0487,340,10.59,58,18,Wednesday,0,0,1.5,1,0,0
ord_000133,cust_02984,rest_0799,76,8.06,52,10,Sunday,1,1,1.0,0,2,0
ord_000134,cust_02519,rest_0677,309,8.48,42,21,Friday,0,1,1.0,0,2,0
ord_000135,cust_02739,rest_0784,92,14.18,59,19,Tuesday,0,0,1.0,1,8,0
ord_000136,cust_00894,rest_0233,83,11.39,66,18,Sunday,1,0,1.0,1,0,0
ord_000137,cust_03584,rest_1380,281,3.94,37,17,Monday,0,1,1.0,1,0,0
ord_000138,cust_03417,rest_0852,208,13.42,61,12,Tuesday,0,0,1.0,0,1,1
ord_000139,cust_03376,rest_0652,462,8.02,46,17,Monday,0,1,1.0,0,4,0
ord_000140,cust_03741,rest_1309,674,13.35,60,14,Sunday,1,0,1.0,0,0,0
ord_000141,cust_03562,rest_0123,159,8.7,45,19,Thursday,0,0,1.0,0,0,0
ord_000142,cust_03661,rest_0274,178,9.34,54,20,Saturday,1,0,1.8,0,0,1
ord_000143,cust_02433,rest_0786,171,12.99,61,14,Monday,0,0,1.0,0,8,1
ord_000144,cust_03473,rest_0665,179,8.09,41,23,Wednesday,0,0,2.0,1,1,0
ord_000145,cust_03413,rest_0841,242,0.95,19,17,Thursday,0,1,1.5,1,0,0
ord_000146,cust_01779,rest_1021,252,4.39,34,22,Tuesday,0,0,1.0,0,1,0
ord_000147,cust_02489,rest_0318,132,2.68,22,9,Wednesday,0,1,1.0,0,0,0
ord_000148,cust_04721,rest_0740,262,9.14,44,21,Tuesday,0,0,1.0,0,0,0
ord_000149,cust_02880,rest_0973,184,10.89,59,20,Sunday,1,1,1.0,0,0,0
ord_000150,cust_01676,rest_0002,649,12.2,57,20,Sunday,1,0,1.0,0,3,0
ord_000151,cust_02057,rest_1308,399,11.29,46,1,Tuesday,0,0,1.0,1,2,0
ord_000152,cust_00119,rest_1415,206,2.09,19,12,Monday,0,0,1.2,0,2,0
ord_000153,cust_03364,rest_0189,317,9.89,58,17,Saturday,1,1,1.0,0,0,0
ord_000154,cust_02632,rest_1175,358,7.94,39,12,Wednesday,0,1,1.0,0,1,0
ord_000155,cust_04421,rest_0255,353,11.53,55,17,Thursday,0,1,1.5,0,1,0
ord_000156,cust_03930,rest_0043,473,5.09,34,6,Friday,0,0,1.0,0,0,0
ord_000157,cust_02099,rest_0334,167,3.26,31,12,Sunday,1,0,1.0,1,3,0
ord_000158,cust_03650,rest_0692,248,6.73,41,4,Friday,0,0,1.0,1,0,0
ord_000159,cust_02220,rest_1262,124,10.61,52,8,Friday,0,0,1.0,0,1,0
ord_000160,cust_04803,rest_0883,190,9.83,47,13,Saturday,1,1,1.0,1,2,1
ord_000161,cust_01371,rest_0657,187,2.49,34,19,Friday,0,0,1.2,0,5,0
ord_000162,cust_03345,rest_1075,203,6.24,38,20,Saturday,1,0,2.0,0,0,0
ord_000163,cust_04081,rest_1043,216,6.71,36,19,Saturday,1,0,1.0,0,7,0
ord_000164,cust_00976,rest_0695,248,2.99,27,22,Tuesday,0,0,1.0,0,6,0
ord_000165,cust_00367,rest_0130,320,6.96,40,21,Monday,0,0,1.2,0,3,0
ord_000166,cust_00022,rest_0372,265,1.05,21,9,Sunday,1,0,1.0,1,0,0
ord_000167,cust_01453,rest_1410,606,7.11,47,21,Monday,0,0,1.0,0,0,0
ord_000168,cust_03167,rest_1363,326,12.85,55,16,Saturday,1,0,1.0,0,0,1
ord_000169,cust_02909,rest_0189,299,7.79,52,18,Thursday,0,0,1.8,0,0,0
ord_000170,cust_01520,rest_0198,176,7.71,51,23,Sunday,1,0,1.2,0,0,0
ord_000171,cust_01400,rest_1283,122,12.28,60,19,Thursday,0,1,1.0,1,0,1
ord_000172,cust_02825,rest_0119,381,5.42,26,20,Saturday,1,1,1.0,1,18,0
ord_000173,cust_00785,rest_1394,452,4.49,34,17,Saturday,1,0,1.2,1,0,0
ord_000174,cust_03769,rest_0953,177,2.43,27,13,Sunday,1,1,1.0,0,5,0
ord_000175,cust_01234,rest_0238,226,12.86,56,9,Sunday,1,1,1.0,1,7,1
ord_000176,cust_01414,rest_0210,441,1.89,26,18,Friday,0,0,1.2,1,0,0
ord_000177,cust_03471,rest_0475,181,14.4,67,18,Thursday,0,0,1.0,1,1,0
ord_000178,cust_02777,rest_1209,451,11.83,57,7,Saturday,1,0,1.0,1,3,0
ord_000179,cust_00713,rest_1500,156,8.29,35,18,Monday,0,1,1.2,0,0,1
ord_000180,cust_01700,rest_0859,175,4.82,35,9,Friday,0,0,1.0,0,4,0
ord_000181,cust_03829,rest_0726,247,5.59,32,8,Friday,0,1,1.0,0,1,1
ord_000182,cust_04238,rest_0959,410,3.14,32,12,Saturday,1,0,1.5,0,0,0
ord_000183,cust_01665,rest_1428,281,13.96,64,0,Thursday,0,0,1.0,1,0,0
ord_000184,cust_00791,rest_0060,263,9.62,52,10,Saturday,1,0,1.0,0,0,0
ord_000185,cust_01609,rest_0762,921,8.26,39,6,Saturday,1,0,1.0,1,6,0
ord_000186,cust_00139,rest_0064,282,14.44,73,11,Monday,0,0,1.2,1,4,1
ord_000187,cust_01781,rest_1479,194,11.27,63,18,Friday,0,0,1.2,0,0,0
ord_000188,cust_01208,rest_0817,559,12.82,50,17,Saturday,1,0,1.0,1,1,1
ord_000189,cust_03777,rest_0450,223,8.13,36,9,Sunday,1,0,1.0,1,1,0
ord_000190,cust_04389,rest_0116,149,4.04,31,19,Monday,0,0,1.0,0,0,0
ord_000191,cust_01896,rest_1029,392,11.96,58,15,Wednesday,0,0,1.0,0,0,1
ord_000192,cust_03982,rest_1373,139,13.26,57,7,Thursday,0,0,1.0,0,0,0
ord_000193,cust_03378,rest_0198,99,11.56,45,20,Sunday,1,0,1.0,0,5,0
ord_000194,cust_04991,rest_1166,222,7.67,45,20,Monday,0,0,1.0,1,0,0
ord_000195,cust_03048,rest_0582,56,3.39,31,12,Saturday,1,0,1.0,0,0,1
ord_000196,cust_01881,rest_0097,138,11.54,57,18,Sunday,1,0,1.5,0,0,1
ord_000197,cust_00547,rest_0679,399,4.14,26,22,Thursday,0,0,1.0,0,0,0
ord_000198,cust_01636,rest_0777,175,11.15,47,12,Sunday,1,0,1.0,0,0,0
ord_000199,cust_01830,rest_0192,97,3.88,23,13,Sunday,1,0,1.0,0,5,0
ord_000200,cust_03931,rest_0266,356,9.56,48,11,Friday,0,0,1.0,0,0,0
ord_000201,cust_02356,rest_0721,408,3.83,21,12,Friday,0,1,1.0,1,2,0
ord_000202,cust_00957,rest_0365,181,8.62,48,9,Sunday,1,0,1.0,0,8,0
ord_000203,cust_01379,rest_1487,386,8.14,50,9,Saturday,1,0,1.0,0,0,1
ord_000204,cust_02684,rest_0996,319,8.3,39,17,Sunday,1,0,1.0,1,0,0
ord_000205,cust_04955,rest_0553,343,11.73,61,13,Friday,0,1,1.0,0,6,1
ord_000206,cust_03748,rest_0009,348,9.91,41,1,Saturday,1,1,1.0,0,0,0
ord_000207,cust_01083,rest_0638,418,13.58,67,18,Friday,0,0,1.0,0,0,1
ord_000208,cust_03657,rest_0812,379,6.96,35,22,Friday,0,0,1.0,0,5,0
ord_000209,cust_00437,rest_0476,324,2.48,20,10,Sunday,1,0,1.0,0,5,0
ord_000210,cust_03040,rest_1442,122,1.14,17,18,Monday,0,1,1.0,0,2,0
ord_000211,cust_00090,rest_0657,183,13.47,55,17,Sunday,1,0,1.0,0,0,0
ord_000212,cust_00791,rest_1460,241,3.01,24,14,Thursday,0,1,1.0,1,7,0
ord_000213,cust_00592,rest_1408,390,13.59,64,10,Monday,0,0,1.2,0,0,0
ord_000214,cust_02631,rest_0621,221,11.81,59,20,Saturday,1,0,1.2,0,0,0
ord_000215,cust_03507,rest_0358,101,3.41,36,18,Sunday,1,0,1.2,0,0,0
ord_000216,cust_03230,rest_1004,337,0.85,13,14,Saturday,1,0,1.0,0,0,0
ord_000217,cust_04400,rest_0877,292,6.0,41,12,Tuesday,0,1,1.0,1,0,0
ord_000218,cust_00341,rest_0552,191,7.58,43,21,Wednesday,0,0,1.0,1,5,0
ord_000219,cust_04456,rest_1283,296,7.64,36,20,Friday,0,0,1.0,1,0,0
ord_000220,cust_01922,rest_0576,239,0.94,14,17,Thursday,0,0,1.5,0,0,0
ord_000221,cust_04231,rest_0042,231,6.96,36,17,Friday,0,0,1.0,0,0,0
ord_000222,cust_03507,rest_0945,449,12.43,55,15,Monday,0,1,1.0,0,0,0
ord_000223,cust_02227,rest_0701,284,3.11,27,21,Friday,0,0,1.0,0,0,0
ord_000224,cust_00940,rest_1246,265,13.89,64,9,Wednesday,0,0,1.0,0,0,0
ord_000225,cust_01561,rest_0312,189,5.71,31,20,Wednesday,0,0,1.0,0,6,0
ord_000226,cust_01721,rest_0029,134,1.04,13,20,Saturday,1,0,1.0,1,2,0
ord_000227,cust_04118,rest_1076,165,9.44,54,12,Wednesday,0,0,1.0,1,0,0
ord_000228,cust_03994,rest_0504,356,14.14,61,12,Sunday,1,0,1.0,0,4,0
ord_000229,cust_03766,rest_1281,181,8.26,46,19,Thursday,0,1,1.0,0,0,0
ord_000230,cust_04640,rest_0869,562,8.65,46,10,Saturday,1,1,1.5,1,0,0
ord_000231,cust_04558,rest_0703,218,7.77,45,12,Sunday,1,0,1.0,1,0,0
ord_000232,cust_00277,rest_0494,331,10.09,52,12,Tuesday,0,1,1.0,1,7,0
ord_000233,cust_02197,rest_0743,249,9.59,50,11,Saturday,1,1,1.8,0,0,0
ord_000234,cust_02297,rest_0936,267,14.89,60,19,Tuesday,0,0,1.5,0,0,0
ord_000235,cust_02497,rest_1289,113,4.99,32,10,Sunday,1,0,1.0,0,0,1
ord_000236,cust_01503,rest_1201,119,5.98,41,9,Monday,0,0,1.0,0,0,0
ord_000237,cust_03466,rest_0649,306,9.97,39,20,Saturday,1,0,1.2,1,0,0
ord_000238,cust_04532,rest_1344,76,14.7,68,23,Tuesday,0,0,1.0,0,1,1
ord_000239,cust_02898,rest_0825,347,14.9,69,12,Monday,0,0,1.0,1,0,1
ord_000240,cust_02286,rest_0879,182,4.21,25,21,Wednesday,0,0,1.0,0,0,0
ord_000241,cust_03665,rest_1355,468,2.28,16,13,Saturday,1,1,1.0,0,0,0
ord_000242,cust_02452,rest_1021,273,7.05,40,19,Tuesday,0,0,1.0,0,3,0
ord_000243,cust_01759,rest_0770,92,2.07,26,1,Monday,0,0,1.0,0,0,0
ord_000244,cust_01130,rest_0615,72,9.63,51,12,Friday,0,0,1.0,1,5,0
ord_000245,cust_03592,rest_0869,324,2.32,20,21,Friday,0,0,1.0,0,1,0
ord_000246,cust_04081,rest_0140,264,4.86,34,22,Friday,0,0,1.0,0,0,0
ord_000247,cust_03637,rest_1341,348,7.08,43,20,Sunday,1,0,1.0,0,0,0
ord_000248,cust_04506,rest_0693,78,14.71,75,21,Friday,0,0,1.0,0,4,0
ord_000249,cust_04761,rest_0227,252,4.69,30,13,Sunday,1,0,2.0,1,0,0
ord_000250,cust_03252,rest_0360,75,8.12,38,6,Tuesday,0,1,1.2,0,0,0
ord_000251,cust_01292,rest_0948,136,12.43,58,12,Saturday,1,0,1.0,1,0,0
ord_000252,cust_00972,rest_1013,260,1.02,27,19,Wednesday,0,0,1.0,1,8,0
ord_000253,cust_03596,rest_1272,276,3.75,25,0,Wednesday,0,0,1.0,0,0,0
ord_000254,cust_00104,rest_1178,703,4.04,31,13,Saturday,1,1,1.8,0,5,0
ord_000255,cust_02267,rest_1365,154,8.03,46,13,Sunday,1,1,1.5,0,0,0
ord_000256,cust_02936,rest_0700,114,10.48,59,12,Wednesday,0,0,1.0,1,0,0
ord_000257,cust_00464,rest_1469,318,3.02,26,11,Friday,0,0,1.8,0,0,0
ord_000258,cust_00141,rest_0437,631,11.85,59,22,Sunday,1,1,1.0,0,0,1
ord_000259,cust_04853,rest_1403,103,11.63,50,19,Sunday,1,0,1.0,0,0,0
ord_000260,cust_03600,rest_0902,333,3.3,33,19,Saturday,1,0,1.0,1,8,0
ord_000261,cust_01039,rest_1125,283,13.08,50,14,Wednesday,0,1,1.0,0,0,0
ord_000262,cust_03169,rest_1229,463,3.11,20,19,Saturday,1,0,1.0,1,0,0
ord_000263,cust_00444,rest_0658,188,14.33,60,18,Saturday,1,1,1.0,0,0,0
ord_000264,cust_04069,rest_0550,157,13.72,63,19,Saturday,1,1,1.8,0,0,1
ord_000265,cust_03636,rest_0433,166,2.39,20,12,Saturday,1,0,1.0,1,0,0
ord_000266,cust_04264,rest_0931,179,11.04,55,22,Saturday,1,0,1.0,0,10,0
ord_000267,cust_01388,rest_0633,105,14.49,61,22,Friday,0,1,1.0,1,0,0
ord_000268,cust_02154,rest_0492,369,11.47,47,12,Monday,0,0,1.0,1,4,0
ord_000269,cust_00431,rest_0363,191,3.31,21,20,Saturday,1,0,1.0,0,0,0
ord_000270,cust_01397,rest_0714,402,11.26,42,11,Friday,0,0,1.0,0,1,0
ord_000271,cust_03740,rest_1330,217,10.73,44,8,Tuesday,0,0,1.0,0,6,1
ord_000272,cust_03004,rest_1211,537,2.94,28,14,Wednesday,0,0,1.0,0,0,0
ord_000273,cust_02783,rest_0687,140,7.26,41,11,Monday,0,0,1.0,1,2,0
ord_000274,cust_00301,rest_0208,210,13.55,72,17,Monday,0,0,1.0,0,0,0
ord_000275,cust_00345,rest_1436,747,1.99,29,13,Thursday,0,0,1.2,1,3,0
ord_000276,cust_03047,rest_0228,177,8.3,51,11,Tuesday,0,0,1.0,0,0,0
ord_000277,cust_04504,rest_1210,208,6.81,34,16,Tuesday,0,0,1.0,0,0,0
ord_000278,cust_00405,rest_0289,251,2.07,23,18,Tuesday,0,0,1.0,0,0,0
ord_000279,cust_03441,rest_1275,192,2.06,22,20,Friday,0,1,1.0,0,8,0
ord_000280,cust_02280,rest_1123,214,10.38,63,12,Sunday,1,0,1.0,0,0,1
ord_000281,cust_02386,rest_0523,281,4.35,35,14,Friday,0,0,1.2,0,8,0
ord_000282,cust_04743,rest_0235,177,7.43,35,22,Sunday,1,0,1.0,0,3,0
ord_000283,cust_01526,rest_0150,249,4.92,37,19,Sunday,1,0,1.0,1,0,0
ord_000284,cust_02265,rest_0234,214,9.32,49,9,Thursday,0,0,1.0,0,2,0
ord_000285,cust_03421,rest_0703,312,2.67,22,17,Monday,0,0,1.8,0,0,0
ord_000286,cust_01488,rest_0278,137,10.81,47,16,Saturday,1,1,1.0,1,0,0
ord_000287,cust_03692,rest_0381,338,11.2,42,8,Tuesday,0,0,1.0,1,0,0
ord_000288,cust_00805,rest_0491,272,12.58,65,7,Friday,0,0,1.0,1,7,0
ord_000289,cust_02965,rest_0372,131,1.42,15,21,Saturday,1,1,1.0,1,3,0
ord_000290,cust_00310,rest_0327,432,7.36,44,12,Thursday,0,0,1.0,0,0,0
ord_000291,cust_03053,rest_0159,137,5.25,28,19,Saturday,1,0,1.0,0,0,0
ord_000292,cust_01706,rest_1420,392,10.96,52,19,Monday,0,0,1.0,0,10,1
ord_000293,cust_01447,rest_0025,299,12.09,55,11,Thursday,0,1,1.0,0,1,0
ord_000294,cust_04758,rest_1370,172,13.58,70,19,Wednesday,0,0,1.2,0,0,0
