restaurant_id,name,cuisine,zone,avg_rating,num_reviews,avg_order_value,avg_delivery_time_min,prep_time_min,distance_km,is_promoted,monthly_orders,active_hours
rest_0029,Wok Delight,North_Indian,MG_Road,3.0,486,171,36,19,3.57,0,1685,9
rest_0030,Empire Express,Healthy_Bowls,Rajajinagar,4.26,992,340,45,17,8.09,0,2476,12
rest_0031,Fresh Corner,Fast_Food,Yeshwanthpur,4.08,1148,332,20,13,3.5,0,3388,12
rest_0032,Green Point,Thai,Sarjapur,4.22,943,442,36,13,7.13,0,2015,19
rest_0033,Rameshwaram Kitchen,Continental,Banashankari,3.91,387,228,26,14,8.14,1,899,13
rest_0034,Bombay Plate,Cafe,Yelahanka,4.07,718,361,29,14,8.15,0,1757,19
rest_0035,Wok Eatery,Thai,Yelahanka,4.28,672,315,33,20,5.58,0,1367,15
rest_0036,Tandoor Stop,South_Indian,Yelahanka,4.02,736,237,44,17,3.08,0,1470,8
rest_0037,Green Garden,Street_Food,Bommanahalli,2.61,222,275,33,11,4.92,0,554,10
rest_0038,Rameshwaram Garden,Chinese,Old_Airport_Road,3.27,560,567,23,24,5.84,0,1583,16
rest_0039,Curry Factory,Thai,Silk_Board,3.14,474,201,20,19,5.68,0,1601,18
rest_0040,Chai Studio,Street_Food,Yeshwanthpur,3.77,635,294,30,20,1.43,0,1191,14
rest_0041,Delhi Bowl,Italian,HSR_Layout,3.63,1004,366,26,23,9.35,0,3880,8
rest_0042,Empire Republic,North_Indian,Malleshwaram,3.71,908,415,43,17,3.64,0,2464,14
rest_0043,Masala Stop,Japanese,BTM_Layout,3.76,480,108,34,16,5.03,1,1397,8
rest_0044,Urban Diner,Pizza,Electronic_City,2.77,143,163,21,15,9.25,0,350,20
rest_0045,Vidyarthi Corner,Healthy_Bowls,HSR_Layout,4.17,156,600,31,17,9.48,0,488,20
rest_0046,Spice Garden,Italian,Koramangala,3.51,1019,468,38,16,3.45,0,2468,17
rest_0047,Bombay Hub,Biryani,Whitefield,4.41,1229,471,32,22,2.78,0,3662,18
rest_0048,Oven Point,Mexican,Yelahanka,3.4,71,255,33,20,6.63,1,223,9
rest_0049,Third_Wave Diner,Fast_Food,Koramangala,3.73,64,175,26,18,5.79,0,120,10
rest_0050,Blue_Tokai Diner,Biryani,Bommanahalli,3.31,257,182,38,17,10.29,0,919,9
rest_0051,Chai Factory,Italian,Bellandur,4.07,738,211,30,15,4.58,0,1583,12
rest_0052,Chai Lab,North_Indian,Basavanagudi,2.63,378,169,32,20,5.98,0,1239,15
rest_0053,Spice House,Biryani,JP_Nagar,3.52,1409,433,35,21,9.08,0,3278,19
rest_0054,Brahmin Corner,Biryani,Marathahalli,4.14,696,248,37,15,8.99,0,1525,17
rest_0055,Blue_Tokai Eatery,Biryani,Whitefield,2.94,194,119,15,19,3.65,0,763,16
rest_0056,Momo Bowl,Chinese,Yeshwanthpur,3.24,456,83,24,15,4.42,0,1784,12
rest_0057,Shivaji Point,Healthy_Bowls,HSR_Layout,3.3,1339,475,24,14,11.41,0,2293,11
rest_0058,Bombay Lab,Desserts,Sarjapur,4.23,512,510,32,24,3.92,0,1521,14
rest_0059,Biryani Grill,Thai,Indiranagar,4.16,475,450,28,12,2.5,0,801,8
rest_0060,Vidyarthi Factory,Mexican,Bommanahalli,3.24,640,483,42,24,3.18,1,1383,20
rest_0061,Pasta Delight,South_Indian,Banashankari,3.39,594,531,22,11,4.04,0,2003,17
rest_0062,Momo Factory,South_Indian,Bellandur,3.55,492,140,32,15,7.38,0,1831,19
rest_0063,Curry Eatery,Biryani,Koramangala,4.87,4912,870,25,23,9.28,0,9519,16
rest_0064,Veena Corner,Chinese,KR_Puram,4.26,236,388,33,20,1.7,0,448,14
rest_0065,Paradise Bites,Japanese,BTM_Layout,3.33,242,99,23,13,9.38,1,886,8
rest_0066,Brahmin Delight,North_Indian,Jayanagar,4.01,1070,450,44,11,6.82,0,4086,15
rest_0067,Paradise Point,North_Indian,Yeshwanthpur,3.51,374,324,20,23,11.91,1,1414,15
rest_0068,Bombay Diner,Healthy_Bowls,Electronic_City,4.13,1092,482,33,25,3.3,0,3142,14
rest_0069,Pasta Eatery,Continental,Silk_Board,3.8,151,250,28,13,6.34,0,536,12
rest_0070,Shivaji Dhaba,Fast_Food,Banashankari,3.07,487,151,21,19,4.9,0,1772,14
rest_0071,Green Cafe,Mexican,Rajajinagar,3.72,207,297,40,18,6.2,0,329,16
rest_0072,Masala Point,Healthy_Bowls,Bellandur,4.82,325,978,38,35,1.36,0,1122,12
rest_0073,Masala Eatery,Mexican,BTM_Layout,4.31,1431,544,32,20,10.71,0,3892,16
rest_0074,Fresh Garden,Japanese,Domlur,4.0,392,100,18,20,10.53,0,1022,19
rest_0075,Biryani Kitchen,North_Indian,Hebbal,2.94,201,175,22,16,8.34,0,391,10
rest_0076,Urban Eatery,Healthy_Bowls,BTM_Layout,3.51,1244,257,34,18,8.17,0,4661,15
rest_0077,Momo Stop,Continental,MG_Road,4.85,2650,911,38,23,3.97,0,10595,15
rest_0078,Desi Garden,Pizza,KR_Puram,3.58,1482,318,41,22,7.01,0,4763,19
rest_0079,Golden Eatery,Mexican,Rajajinagar,3.85,407,256,34,20,7.82,0,1242,18
rest_0080,Madras Diner,South_Indian,Yeshwanthpur,3.6,952,213,31,14,3.89,1,3207,10
rest_0081,Pasta Junction,Desserts,Banashankari,3.05,266,281,20,12,11.36,0,1042,12
rest_0082,Brahmin House,Chinese,JP_Nagar,3.59,213,293,40,16,9.59,0,326,16
rest_0083,Bombay Factory,Fast_Food,Domlur,2.89,205,261,26,9,5.92,0,625,16
rest_0084,Grill Diner,South_Indian,Yeshwanthpur,3.86,164,223,18,10,0.93,1,654,9
rest_0085,Madras Hut,Street_Food,Malleshwaram,3.61,494,199,33,19,10.68,0,1549,15
rest_0086,Green Bowl,Fast_Food,Jayanagar,4.44,792,240,41,21,11.75,0,1898,14
rest_0087,Chai Palace,South_Indian,Bellandur,4.19,374,440,35,22,9.55,0,752,20
rest_0088,Bowl Grill,Italian,JP_Nagar,3.39,1270,201,24,14,9.68,0,2254,8
rest_0089,Madras Kitchen,Fast_Food,JP_Nagar,3.22,593,221,43,23,9.08,0,1595,20
rest_0090,Truffles Studio,Thai,Whitefield,3.49,1309,217,45,19,11.59,0,2162,15
rest_0091,Nandhini Delight,Japanese,Whitefield,4.38,200,560,30,14,3.66,1,616,16
rest_0092,Blue_Tokai Bites,Street_Food,Basavanagudi,3.33,1487,246,40,16,10.71,0,3768,15
rest_0093,Desi Cafe,Pizza,Hebbal,3.06,88,231,30,9,1.48,1,227,19
rest_0094,Truffles Junction,Continental,Indiranagar,3.93,725,468,33,21,11.32,0,1854,19
rest_0095,Golden Bites,Thai,Yelahanka,3.95,485,262,35,17,4.53,0,1401,9
rest_0096,Chai Grill,Italian,Sarjapur,3.96,429,217,36,18,7.5,0,1349,19
rest_0097,Chai Kitchen,Chinese,Marathahalli,2.96,183,157,20,10,5.11,0,339,18
rest_0098,Blue_Tokai Palace,Pizza,Sarjapur,3.4,688,489,44,12,2.29,0,2329,8
rest_0099,Urban Corner,Street_Food,Domlur,3.99,898,309,44,13,1.78,0,2869,17
rest_0100,Paradise Studio,Japanese,Yelahanka,4.36,648,406,34,21,9.29,0,1440,9
rest_0101,Royal Republic,Mexican,Sarjapur,3.69,1491,292,37,21,10.41,1,2394,8
rest_0102,Curry Grill,Pizza,KR_Puram,4.03,642,246,20,20,11.4,0,1701,19
rest_0103,Truffles House,Pizza,Whitefield,3.97,1123,231,29,20,9.46,0,1898,18
rest_0104,Bombay Studio,Continental,Jayanagar,3.02,382,291,35,10,2.18,0,761,17
rest_0105,Fresh Hub,Desserts,Yeshwanthpur,4.18,1236,380,38,20,7.71,0,2320,9
rest_0106,Shivaji Factory,Japanese,Yelahanka,3.39,190,192,24,15,1.15,0,680,9
rest_0107,Third_Wave Hut,Street_Food,KR_Puram,4.23,134,380,45,16,5.97,0,251,8
rest_0108,Veena Point,Desserts,Hebbal,2.63,340,118,22,19,5.55,0,954,10
rest_0109,Truffles Dhaba,Cafe,Yelahanka,4.21,1440,439,45,20,1.59,1,4602,12
rest_0110,Flame Plate,Healthy_Bowls,Domlur,3.4,86,153,33,18,4.52,0,337,19
rest_0111,Nandhini Junction,Thai,Old_Airport_Road,2.96,202,222,25,10,10.03,0,676,18
rest_0112,Blue_Tokai House,Japanese,Domlur,3.67,792,324,26,20,6.09,0,1636,10
rest_0113,Delhi House,Biryani,Whitefield,3.9,1128,215,30,14,2.27,0,2201,19
rest_0114,Tandoor Plate,Street_Food,Indiranagar,4.08,536,588,39,19,9.51,0,1117,11
rest_0115,Biryani Republic,Cafe,Jayanagar,4.43,952,385,29,22,5.31,0,1813,11
rest_0116,Golden Diner,Street_Food,Malleshwaram,3.33,1106,540,29,12,3.64,0,4162,10
rest_0117,Rameshwaram House,Cafe,JP_Nagar,3.83,486,86,16,14,3.21,0,1937,13
rest_0118,Grill Kitchen,Fast_Food,Whitefield,3.47,415,112,16,12,5.93,0,1484,20
rest_0119,Spice Corner,Italian,Electronic_City,4.15,1130,369,44,19,1.9,0,2368,18
rest_0120,Bombay Republic,Thai,Banashankari,4.46,2181,975,34,28,4.56,1,6383,10
rest_0121,Urban Studio,Fast_Food,HSR_Layout,3.32,412,297,32,8,5.91,0,1272,13
rest_0122,Spice Dhaba,Desserts,HSR_Layout,4.15,1336,241,38,20,4.55,0,3134,18
rest_0123,Wok Stop,Street_Food,Old_Airport_Road,3.44,326,225,44,24,2.82,1,1133,8
rest_0124,Curry Bites,Continental,BTM_Layout,3.31,139,88,35,11,10.41,0,225,18
rest_0125,Masala Corner,South_Indian,Malleshwaram,3.72,950,558,32,20,6.21,0,2606,20
rest_0126,Blue_Tokai Corner,Desserts,HSR_Layout,2.62,318,299,20,16,1.68,0,737,12
rest_0127,Rameshwaram Hub,Mexican,Bellandur,3.26,772,446,33,18,9.6,0,1268,18
rest_0128,Nandhini Dhaba,Continental,Silk_Board,3.93,83,267,36,20,1.95,0,173,18
rest_0129,Empire Grill,North_Indian,Bommanahalli,3.78,809,349,44,12,6.59,0,2018,18
rest_0130,Chai Garden,South_Indian,Koramangala,3.25,208,281,18,12,8.6,0,423,17
rest_0131,Paradise Palace,South_Indian,Electronic_City,3.18,470,237,17,20,10.22,0,1080,13
rest_0132,Fresh Lab,Continental,Yelahanka,3.78,374,236,37,18,4.66,0,770,11
rest_0133,Madras Garden,Desserts,Rajajinagar,4.5,3222,774,42,19,1.49,0,7324,19
rest_0134,Shivaji Studio,Pizza,Sarjapur,2.61,172,221,29,15,4.46,0,635,20
rest_0135,Wok Junction,Pizza,Basavanagudi,2.58,73,194,24,10,11.25,0,150,16
rest_0136,Momo House,Biryani,Jayanagar,3.92,306,450,39,12,2.44,0,1179,10
rest_0137,Masala Grill,North_Indian,Koramangala,4.85,4924,612,31,33,7.85,0,13516,18
rest_0138,Momo Diner,Biryani,Rajajinagar,4.25,881,319,22,11,5.28,0,2344,13
rest_0139,Delhi Cafe,Healthy_Bowls,Old_Airport_Road,4.48,757,590,24,21,1.72,0,1592,9
rest_0140,Oven Junction,South_Indian,Indiranagar,3.7,1310,367,25,20,8.79,0,2586,10
rest_0141,Brahmin Republic,Cafe,Yelahanka,3.32,855,402,27,16,1.06,0,1883,17
rest_0142,Shivaji Bites,Continental,Koramangala,3.15,461,138,26,20,1.02,0,750,16
rest_0143,Pasta Dhaba,Continental,Yelahanka,4.45,4704,624,44,34,11.71,1,11688,20
rest_0144,Masala Lab,Fast_Food,Electronic_City,3.86,1074,216,21,14,9.75,0,3005,10
rest_0145,Third_Wave Junction,Fast_Food,Bommanahalli,3.71,1312,496,29,20,6.36,0,3574,17
rest_0146,Bombay Delight,Thai,Yelahanka,3.59,362,218,34,15,8.04,0,1422,17
rest_0147,Grill Plate,North_Indian,KR_Puram,3.88,1319,510,32,14,3.29,0,3866,19
rest_0148,Bombay Palace,North_Indian,Bellandur,3.4,1464,282,36,25,8.96,0,2423,10
rest_0149,Curry Stop,Street_Food,Basavanagudi,4.44,991,565,30,21,10.48,0,3173,20
rest_0150,Flame Eatery,Street_Food,Jayanagar,2.92,162,129,24,20,2.88,0,528,13
rest_0151,Chai Bites,South_Indian,KR_Puram,3.07,212,260,39,20,0.98,0,824,9
rest_0152,Meghana Factory,Japanese,Marathahalli,2.82,433,198,32,19,1.76,0,1451,11
rest_0153,Oven Express,Japanese,Basavanagudi,3.5,255,365,42,25,9.36,1,385,16
rest_0154,Tandoor Delight,Japanese,Rajajinagar,3.46,638,328,40,11,1.53,0,1872,16
rest_0155,Green Hub,Pizza,MG_Road,2.55,438,167,30,10,11.56,0,1671,8
rest_0156,Royal Bites,Thai,Bommanahalli,4.88,2531,763,45,32,10.73,0,4645,16
rest_0157,Pasta Point,Fast_Food,MG_Road,3.47,377,121,38,13,7.03,0,1279,10
rest_0158,Third_Wave Cafe,South_Indian,BTM_Layout,2.78,81,185,22,8,3.21,0,274,13
rest_0159,Royal Corner,Japanese,Malleshwaram,2.59,70,182,20,14,11.12,0,260,20
rest_0160,Biryani Bowl,South_Indian,Yeshwanthpur,2.94,324,129,19,15,9.1,0,976,14
rest_0161,Shivaji Lab,Desserts,Domlur,3.64,358,246,40,9,6.57,0,860,17
rest_0162,Bombay Express,Healthy_Bowls,Banashankari,2.8,284,113,25,16,8.32,0,935,15
rest_0163,Veena Express,Street_Food,Electronic_City,3.79,168,424,41,19,5.05,0,594,19
rest_0164,Fresh Express,Pizza,Malleshwaram,3.31,40,286,17,15,5.2,1,136,20
rest_0165,Vidyarthi Dhaba,Cafe,BTM_Layout,4.39,823,350,41,14,4.5,0,1601,16
rest_0166,Nandhini Studio,Chinese,Silk_Board,3.75,397,85,24,15,6.76,0,1123,11
rest_0167,Oven Factory,Fast_Food,Electronic_City,4.42,281,213,41,23,11.27,0,1046,11
rest_0168,Bowl House,South_Indian,Bommanahalli,4.54,598,596,26,27,6.71,0,2024,20
rest_0169,Golden Junction,Continental,Yelahanka,4.39,1229,328,39,20,10.58,0,4872,16
rest_0170,Grill Delight,Biryani,Marathahalli,4.85,1634,901,38,32,11.68,0,6297,18
rest_0171,Empire Studio,Fast_Food,Old_Airport_Road,3.39,820,274,37,25,3.09,0,2987,10
rest_0172,Brahmin Express,Continental,Sarjapur,3.34,78,165,23,11,1.41,0,204,13
rest_0173,Urban Lab,Mexican,Jayanagar,4.34,523,1099,31,33,6.93,0,1411,13
rest_0174,Bowl Palace,Mexican,Whitefield,3.63,478,133,34,19,11.02,0,1376,20
rest_0175,Momo Hut,Street_Food,Banashankari,3.6,786,405,35,24,11.79,1,2101,13
rest_0176,Bowl Dhaba,Fast_Food,Sarjapur,4.78,1395,413,42,33,5.3,0,2624,13
rest_0177,Grill Hut,Thai,JP_Nagar,4.05,1452,335,44,25,7.88,0,3958,10
rest_0178,Meghana Hub,Chinese,Silk_Board,3.44,1160,596,21,11,1.35,0,4112,8
rest_0179,Royal Delight,Chinese,Yeshwanthpur,4.12,68,287,34,21,7.83,1,260,15
rest_0180,Paradise Kitchen,North_Indian,Banashankari,3.22,1134,489,37,19,9.85,1,3611,20
rest_0181,Wok Point,Cafe,Whitefield,3.51,1319,411,31,18,1.41,0,5141,15
rest_0182,Oven Bowl,Italian,Yelahanka,3.77,344,298,35,20,5.16,1,840,15
rest_0183,Royal Bowl,Chinese,HSR_Layout,3.76,728,426,23,11,10.86,0,2351,17
rest_0184,Shivaji Corner,North_Indian,HSR_Layout,2.92,288,204,16,10,4.12,0,1124,17
rest_0185,Nandhini House,Biryani,MG_Road,3.94,846,471,37,20,9.01,0,2940,19
rest_0186,Meghana Express,South_Indian,Sarjapur,3.3,1289,508,39,22,4.25,0,3976,20
rest_0187,Veena Republic,Italian,Malleshwaram,3.69,430,472,41,22,7.61,1,1502,19
rest_0188,Fresh House,Biryani,Electronic_City,4.22,365,496,30,21,0.56,1,828,13
rest_0189,Chai Point,Chinese,HSR_Layout,3.78,1186,405,23,10,6.87,1,3548,20
rest_0190,Vidyarthi Hut,Desserts,HSR_Layout,3.34,134,206,20,18,2.1,0,301,15
rest_0191,Chai Delight,Biryani,Rajajinagar,3.04,493,134,35,15,2.75,0,871,12
rest_0192,Royal Hut,Fast_Food,Bommanahalli,4.32,951,334,40,14,7.44,0,3079,15
rest_0193,Curry Hub,Pizza,Hebbal,4.1,1055,587,45,17,3.72,0,3655,13
rest_0194,Bombay Grill,Italian,KR_Puram,2.77,403,201,38,15,2.91,0,1408,19
rest_0195,Fresh Delight,Japanese,Rajajinagar,4.27,2269,927,47,28,1.35,0,9023,15
rest_0196,Nandhini Lab,Continental,Old_Airport_Road,3.25,786,481,45,12,3.35,1,2485,10
rest_0197,Green Grill,Japanese,Domlur,4.46,729,586,33,13,3.48,1,2024,16
rest_0198,Grill Factory,Fast_Food,BTM_Layout,4.08,1464,400,31,10,3.9,0,5565,9
rest_0199,Delhi Dhaba,Biryani,Hebbal,3.47,1039,339,23,24,5.7,0,1732,8
rest_0200,Masala Diner,South_Indian,Domlur,3.89,389,134,20,16,6.94,0,1515,11
rest_0201,Nandhini Diner,Chinese,MG_Road,3.76,109,495,26,24,4.97,0,355,11
rest_0202,Chai Bowl,Desserts,HSR_Layout,4.24,1149,275,30,16,3.52,0,4201,16
rest_0203,Empire Eatery,Pizza,KR_Puram,4.32,3950,894,46,24,7.29,0,12562,13
rest_0204,Bombay Garden,Biryani,Whitefield,4.1,1096,355,39,14,5.36,0,2977,16
rest_0205,Wok Lab,Chinese,Rajajinagar,3.44,973,448,31,10,2.74,0,2393,16
rest_0206,Paradise Delight,Japanese,Rajajinagar,4.29,1050,267,38,10,3.04,0,1660,11
rest_0207,Momo Hub,Desserts,Bellandur,4.2,1064,420,23,13,6.75,0,4231,16
rest_0208,Green Plate,Street_Food,Banashankari,3.75,1388,501,29,11,4.51,0,4916,15
rest_0209,Bowl Plate,Thai,Old_Airport_Road,4.12,1345,371,39,14,9.86,0,4725,17
rest_0210,Meghana Lab,Biryani,Bommanahalli,3.62,1491,317,38,18,6.42,0,5591,9
rest_0211,Madras Delight,Cafe,Indiranagar,3.8,74,234,19,11,4.2,0,156,18
rest_0212,Nandhini Republic,Chinese,KR_Puram,4.02,818,381,40,12,9.12,0,2647,13
rest_0213,Royal Plate,South_Indian,Silk_Board,3.45,367,159,17,20,3.01,0,944,11
rest_0214,Paradise Corner,Fast_Food,Yelahanka,3.95,1209,541,45,20,9.27,0,1952,18
rest_0215,Brahmin Kitchen,South_Indian,MG_Road,3.2,926,281,42,14,3.97,0,3413,12
rest_0216,Truffles Corner,South_Indian,Malleshwaram,3.47,36,167,24,19,3.19,0,112,19
rest_0217,Desi Kitchen,Italian,Rajajinagar,4.53,4455,944,25,15,9.9,0,17688,14
rest_0218,Madras Republic,South_Indian,JP_Nagar,4.15,259,241,31,19,9.39,0,876,10
rest_0219,Blue_Tokai Grill,North_Indian,Bommanahalli,3.16,379,127,38,10,7.58,0,987,11
rest_0220,Urban Point,Chinese,Whitefield,3.7,929,326,24,17,1.47,0,2678,17
rest_0221,Spice Stop,Cafe,Yelahanka,3.99,436,499,29,11,9.63,0,914,14
rest_0222,Paradise Diner,Thai,HSR_Layout,4.47,789,574,24,22,7.04,0,1904,18
rest_0223,Wok Republic,Desserts,HSR_Layout,4.06,2347,573,26,27,7.73,0,6460,14
rest_0224,Rameshwaram Bowl,Pizza,HSR_Layout,3.9,362,311,29,12,2.84,0,1274,16
rest_0225,Fresh Bites,Mexican,Sarjapur,3.77,39,134,28,9,7.5,0,88,19
rest_0226,Madras Bowl,North_Indian,MG_Road,3.65,1109,513,43,18,1.96,0,3829,12
rest_0227,Masala Delight,Biryani,Basavanagudi,4.64,4923,902,40,29,1.14,0,17961,10
rest_0228,Truffles Hub,Biryani,Whitefield,3.51,69,130,31,8,10.42,1,145,15
rest_0229,Truffles Hut,Cafe,Electronic_City,4.45,122,421,42,23,3.36,0,462,13
rest_0230,Chai House,Thai,Malleshwaram,4.61,631,543,50,31,11.47,0,1055,15
rest_0231,Momo Bites,Fast_Food,HSR_Layout,3.21,460,317,45,19,3.29,0,1113,15
rest_0232,Pasta Plate,Cafe,Banashankari,2.87,13,285,15,11,7.81,0,42,8
rest_0233,Masala Kitchen,Desserts,Domlur,4.16,679,242,36,17,11.55,0,2669,10
rest_0234,Blue_Tokai Delight,Mexican,Malleshwaram,4.17,1239,238,24,22,7.03,1,3205,10
rest_0235,Oven Bites,Biryani,Hebbal,3.09,435,242,25,15,1.36,0,872,20
rest_0236,Desi Junction,South_Indian,MG_Road,3.61,297,414,44,16,5.83,0,1078,9
rest_0237,Green Palace,Healthy_Bowls,Hebbal,4.64,3114,717,26,24,11.89,0,4912,14
rest_0238,Brahmin Point,Desserts,Electronic_City,4.06,2020,505,37,26,11.28,0,3454,17
rest_0239,Flame House,North_Indian,HSR_Layout,4.04,313,237,45,20,11.34,0,509,17
rest_0240,Rameshwaram Plate,Pizza,Rajajinagar,4.61,1615,683,30,23,10.66,0,2562,17
rest_0241,Oven Diner,Biryani,Rajajinagar,3.92,174,235,32,14,7.89,0,607,11
rest_0242,Spice Hut,Desserts,Old_Airport_Road,3.91,1042,338,38,20,2.57,0,2393,11
rest_0243,Golden Republic,Continental,Malleshwaram,4.0,91,102,36,11,9.89,0,345,8
rest_0244,Grill Grill,Healthy_Bowls,BTM_Layout,4.29,405,270,38,20,8.52,0,1532,8
rest_0245,Meghana Grill,Thai,Electronic_City,3.44,1058,417,25,25,1.15,1,3178,8
rest_0246,Blue_Tokai Republic,North_Indian,Hebbal,2.8,76,155,20,20,4.22,0,118,17
rest_0247,Delhi Point,Healthy_Bowls,Basavanagudi,3.94,201,235,36,14,4.37,0,463,10
rest_0248,Rameshwaram Diner,Street_Food,Yeshwanthpur,4.12,1200,477,39,21,7.27,0,2326,12
rest_0249,Momo Junction,Chinese,Silk_Board,4.63,4892,713,49,33,7.43,1,18602,17
rest_0250,Desi Republic,Chinese,Hebbal,2.86,173,117,17,19,8.89,0,404,8
rest_0251,Flame Palace,Italian,Old_Airport_Road,4.23,1085,976,26,27,5.33,0,2078,14
rest_0252,Paradise Hut,Fast_Food,Banashankari,4.28,1233,460,41,17,1.35,0,4456,12
rest_0253,Spice Cafe,Biryani,Whitefield,4.15,3275,529,27,32,11.75,0,7679,17
rest_0254,Shivaji Bowl,North_Indian,Sarjapur,2.75,465,176,16,9,11.71,0,1173,16
rest_0255,Flame Stop,Biryani,Yelahanka,3.26,1220,420,35,14,0.54,1,2097,18
rest_0256,Shivaji Palace,South_Indian,Koramangala,4.03,217,389,23,19,5.92,0,810,12
rest_0257,Empire Hub,Fast_Food,BTM_Layout,3.78,589,376,28,17,6.99,0,1106,19
rest_0258,Desi House,Japanese,Malleshwaram,3.12,397,210,32,8,9.91,0,1010,16
rest_0259,Shivaji Grill,Cafe,JP_Nagar,3.3,121,401,36,14,9.21,0,233,10
rest_0260,Madras Express,Pizza,HSR_Layout,3.15,431,218,34,12,8.86,0,1516,9
rest_0261,Empire Lab,Pizza,Banashankari,3.56,988,567,20,23,2.22,1,2881,17
rest_0262,Desi Point,Thai,Whitefield,3.8,460,156,28,12,6.08,0,1390,8
rest_0263,Wok Corner,Pizza,Electronic_City,4.09,872,216,30,17,5.97,1,1893,13
rest_0264,Biryani Bites,Biryani,Rajajinagar,3.53,454,130,24,19,10.0,0,986,14
rest_0265,Urban Palace,Street_Food,Jayanagar,3.11,258,247,26,8,2.33,0,587,16
rest_0266,Spice Hub,Italian,Jayanagar,2.87,243,91,26,19,4.74,0,646,14
rest_0267,Truffles Republic,Thai,Bellandur,4.33,1251,421,31,15,3.47,0,4475,9
rest_0268,Momo Kitchen,Pizza,Indiranagar,3.94,488,543,40,17,3.59,0,1231,8
rest_0269,Royal Garden,Biryani,Bommanahalli,2.96,373,221,28,14,5.78,0,762,12
rest_0270,Nandhini Grill,South_Indian,Koramangala,4.06,816,425,39,19,1.74,0,1354,12
rest_0271,Curry Corner,Biryani,Yeshwanthpur,3.84,162,121,31,20,1.15,0,590,20
rest_0272,Nandhini Stop,Fast_Food,Domlur,4.02,4274,1198,33,28,8.97,0,12640,17
rest_0273,Pasta Cafe,Mexican,Old_Airport_Road,3.9,1024,563,41,21,10.22,0,3688,16
rest_0274,Wok Bites,South_Indian,Rajajinagar,4.23,4779,1010,30,25,3.06,0,9836,12
rest_0275,Vidyarthi Cafe,Fast_Food,Marathahalli,3.8,291,388,40,12,2.74,0,523,18
rest_0276,Biryani Delight,North_Indian,Electronic_City,4.18,3552,1190,39,19,8.73,0,12244,15
rest_0277,Wok Cafe,Japanese,Indiranagar,4.25,1581,861,30,30,9.47,0,2882,14
rest_0278,Rameshwaram Hut,Pizza,Rajajinagar,3.25,458,492,20,20,6.61,0,707,8
