post_id,engagement_score,connection_strength,hours_since_posted,content_type,creator_followers
post_00133,56.06,0.77,85,text,105629
post_00134,39.37,0.45,23,text,400697
post_00135,31.39,0.23,52,article,354973
post_00136,53.88,0.46,145,article,304810
post_00137,77.63,0.49,75,poll,449035
post_00138,44.3,0.58,71,text,484765
post_00139,63.75,0.95,53,text,44714
post_00140,68.07,0.58,39,poll,425531
post_00141,78.94,0.3,27,video,419667
post_00142,46.5,0.16,80,article,394731
post_00143,73.39,0.38,124,image,368767
post_00144,69.49,0.67,2,image,332438
post_00145,40.36,0.61,54,poll,222268
post_00146,53.63,0.17,27,poll,133481
post_00147,49.56,0.1,65,article,217786
post_00148,82.49,0.5,13,poll,361811
post_00149,81.94,0.72,2,poll,247969
post_00150,36.7,0.09,158,article,208789
post_00151,80.7,0.85,4,video,127130
post_00152,84.65,0.31,72,poll,241215
post_00153,19.58,0.44,64,text,325833
post_00154,23.29,0.63,55,image,135908
post_00155,89.98,0.49,75,video,87190
post_00156,70.18,0.9,18,image,172871
post_00157,10.22,0.38,100,image,375276
post_00158,44.85,0.83,81,article,347376
post_00159,79.58,0.39,121,image,94218
post_00160,90.45,0.81,6,video,232521
post_00161,33.08,0.26,161,text,417143
post_00162,78.53,0.5,120,video,97033
post_00163,48.85,0.26,20,poll,443292
post_00164,15.85,0.89,79,article,76057
post_00165,40.76,0.91,100,image,364989
post_00166,27.85,0.37,42,article,302618
post_00167,48.17,0.58,91,text,304352
post_00168,38.79,0.83,153,article,378426
post_00169,15.88,0.18,61,image,16637
post_00170,48.05,0.07,128,text,30762
post_00171,64.18,0.42,164,poll,73616
post_00172,43.57,0.31,105,poll,176514
post_00173,66.03,0.61,0,image,217219
post_00174,34.15,0.25,85,image,463524
post_00175,54.59,0.62,69,image,411236
post_00176,43.06,0.51,79,poll,358369
post_00177,80,0.49,45,poll,326140
post_00178,62.69,0.12,139,poll,230035
post_00179,80.2,0.57,90,image,92178
post_00180,37.81,0.19,37,article,160044
post_00181,33.36,0.34,95,text,447699
post_00182,75.14,0.27,49,video,259899
post_00183,39.67,0.39,65,poll,15217
post_00184,69.64,0.49,9,text,224348
post_00185,5.6,0.14,141,article,427380
post_00186,35.26,0.24,5,poll,440340
post_00187,41.58,0.84,20,poll,217423
post_00188,53.22,0.78,154,poll,137102
post_00189,63.87,0.22,8,poll,323518
post_00190,63.84,0.18,117,video,199733
post_00191,78.59,0.75,47,image,221965
post_00192,48.66,0.39,72,image,463178
post_00193,34.04,0.72,159,article,159774
post_00194,44.61,0.51,125,poll,156067
post_00195,88.65,0.97,155,video,36406
post_00196,50.98,0.48,136,article,24755
post_00197,40.41,0.23,150,article,362632
post_00198,41.67,0.66,149,poll,262296
post_00199,43.78,0.6,110,article,226836
post_00200,17.33,1,111,article,100688
post_00201,23.74,0.95,107,image,415561
post_00202,57.55,0.67,32,video,174107
post_00203,75.33,0.9,138,image,139706
post_00204,59.98,0.11,47,poll,325750
post_00205,76.78,0.05,153,poll,300985
post_00206,42.17,0.66,131,text,439533
post_00207,27.04,0.36,142,article,426123
post_00208,67.45,0.1,159,video,485385
post_00209,55.04,0.82,137,video,474061
post_00210,55.07,0.91,49,image,70362
post_00211,23.58,0.24,141,article,287090
post_00212,54.05,0.5,132,poll,42436
post_00213,68.47,0.48,84,video,89478
post_00214,48.3,0.84,20,image,38365
post_00215,61.31,0.16,61,article,292514
post_00216,3.77,0.67,78,article,296795
post_00217,36.74,0.43,28,video,77253
post_00218,11.73,0.13,44,image,440756
post_00219,80.27,0.38,86,video,36285
post_00220,52.57,0.49,118,text,340616
post_00221,89.37,0.19,125,poll,454015
post_00222,44.41,0.97,143,article,220400
post_00223,81.47,0.94,165,text,207665
post_00224,37.06,0.4,3,article,154365
post_00225,72.91,0.17,2,text,152830
post_00226,23.65,0.84,22,article,170391
post_00227,22.14,0.76,167,article,341855
post_00228,44.99,1,137,image,282862
post_00229,43.99,0.53,46,text,430424
post_00230,49.56,0.6,4,image,289557
post_00231,66.33,0.09,54,poll,322036
post_00232,59.73,0.35,87,text,371913
post_00233,26.22,0.69,103,article,455484
post_00234,66.64,0.5,167,poll,76452
post_00235,57.3,0.35,41,video,206948
post_00236,67.25,0.74,67,article,460694
post_00237,49.9,0.37,95,image,468511
post_00238,58.25,0.34,36,article,352909
post_00239,74.74,0.46,162,image,294247
post_00240,33.42,0.19,111,image,403266
post_00241,57.13,0.43,118,video,443726
post_00242,27.45,0.25,45,text,108697
post_00243,55.83,0.7,125,poll,327127
post_00244,83.24,0.9,127,poll,16114
post_00245,20.44,0.43,166,article,495623
post_00246,89.35,0.21,6,video,331321
post_00247,27.77,0.48,67,image,363856
post_00248,44.28,0.68,99,text,21504
post_00249,60.6,0.18,104,poll,55849
post_00250,29.24,0.38,168,image,120796
post_00251,39.66,0.68,40,text,183387
post_00252,77.78,0.17,55,image,1322
post_00253,29.49,0.97,104,article,4640
post_00254,71.71,0.09,158,image,362241
post_00255,36.19,0.41,45,video,126576
post_00256,54.2,0.86,66,video,446015
post_00257,75.51,0.54,37,image,96705
post_00258,53.28,0.43,50,poll,236646
post_00259,69.88,0.49,23,text,65140
post_00260,82.68,0.8,95,video,151898
post_00261,77.72,0.16,162,poll,117185
post_00262,51.88,0.17,143,video,377361
post_00263,58.47,0.41,153,video,255084
post_00264,50.13,0.25,128,video,190605
post_00265,73.36,0.92,97,poll,284503
post_00266,72.33,0.53,43,image,345100
post_00267,70.8,0.78,134,image,86475
post_00268,38,0.8,71,poll,282588
post_00269,54.77,0.18,99,article,298553
post_00270,70.5,0.38,126,poll,257974
post_00271,57.17,0.28,163,video,413214
post_00272,37.75,0.15,10,article,67963
post_00273,44.84,0.18,76,article,394911
post_00274,13.04,0.95,158,article,373104
post_00275,77.61,0.61,110,video,1473
post_00276,52.89,0.21,17,poll,353650
post_00277,28.93,0.73,117,video,279984
post_00278,51.04,0.63,152,image,376576
post_00279,48.63,0.82,59,article,482147
post_00280,44.91,0.22,43,image,473805
post_00281,48.5,0.48,141,video,264201
post_00282,22.88,0.06,80,image,186610
post_00283,77.64,0.89,154,poll,196681
post_00284,79.26,0.21,28,video,401835
post_00285,74.98,0.69,15,video,488558
post_00286,52.71,0.87,34,video,262622
post_00287,45.86,0.22,63,image,47713
post_00288,36.64,0.3,74,text,207257
post_00289,69.78,0.99,0,poll,45816
post_00290,68.48,0.29,87,video,456768
post_00291,17.17,0.78,79,article,478645
post_00292,45.93,0.06,160,image,461994
post_00293,76.79,0.09,89,video,143717
post_00294,48.78,0.71,90,poll,92155
post_00295,30.59,0.22,151,text,206330
post_00296,49.98,0.92,152,text,19185
post_00297,24.46,0.3,130,article,221571
post_00298,84.28,0.63,121,poll,294774
post_00299,55.53,0.86,38,poll,479507
post_00300,28.43,0.66,72,article,371594
post_00301,71.24,0.77,91,poll,337772
post_00302,60.92,0.87,41,video,316926
post_00303,50.39,0.68,117,video,48890
post_00304,85.42,0.22,132,poll,183505
post_00305,83.31,0.66,49,poll,421816
post_00306,27.74,0.86,110,image,458957
post_00307,42.18,0.22,67,poll,35525
post_00308,87.2,0.21,92,poll,481072
post_00309,21.83,0.9,120,text,163600
post_00310,45.39,0.21,147,image,128183
post_00311,56.24,0.96,118,article,227184
post_00312,38.92,0.49,112,video,407698
post_00313,20.38,0.46,102,article,240301
post_00314,58.93,0.57,1,image,332240
post_00315,57.65,0.61,54,poll,239624
post_00316,75.93,0.61,108,image,396081
post_00317,69.65,0.18,13,text,253789
post_00318,23.78,0.96,28,image,478308
post_00319,57.84,0.55,33,article,87447
post_00320,36.94,0.67,37,image,17890
post_00321,76.97,0.51,82,image,451749
post_00322,65.48,0.54,19,poll,247257
post_00323,66.3,0.84,100,poll,64917
post_00324,83.75,0.65,39,poll,349650
post_00325,21.53,0.87,105,article,331186
post_00326,27.75,0.87,125,image,57165
post_00327,69.76,0.92,22,article,492405
post_00328,45.61,0.91,7,video,286055
post_00329,38.01,0.86,90,article,245813
post_00330,29.88,0.77,55,text,54866
post_00331,64.26,0.93,72,poll,63016
post_00332,31.07,0.36,47,image,195814
post_00333,76.83,0.57,7,image,112397
post_00334,80.55,0.57,32,poll,275380
post_00335,75.4,0.94,115,article,133918
post_00336,41.28,0.16,7,text,348512
post_00337,61.02,0.94,21,poll,376494
post_00338,33.45,0.83,153,poll,353329
post_00339,81.53,0.89,5,poll,257553
post_00340,49.44,0.84,6,image,61438
post_00341,25.72,0.12,0,text,417849
post_00342,57.04,0.45,39,text,422713
post_00343,49.53,0.13,54,article,435235
post_00344,9.82,0.1,124,text,71983
post_00345,15.72,0.64,130,image,484078
post_00346,63.67,0.31,12,video,177995
post_00347,70.71,0.77,98,image,370026
post_00348,82.67,0.31,37,image,116833
post_00349,71.41,0.24,6,article,118511
post_00350,62.56,0.58,37,article,352806
post_00351,63.69,0.32,48,poll,475032
post_00352,63.92,0.1,132,poll,88787
post_00353,81.01,0.44,121,poll,114434
post_00354,66.47,0.37,115,article,93268
post_00355,60.82,0.6,89,article,236075
post_00356,27.76,0.95,165,video,455342
post_00357,52.18,0.14,56,article,404015
post_00358,61.31,0.63,69,video,122855
post_00359,42.4,0.23,55,article,325798
post_00360,84.27,0.13,125,poll,164429
post_00361,62.57,0.75,61,article,81525
post_00362,40.39,0.06,92,poll,431180
post_00363,53.94,0.77,128,text,186314
post_00364,80.56,0.47,20,image,165677
post_00365,70.77,0.6,74,image,34272
post_00366,69.34,0.85,11,poll,162067
post_00367,28.13,0.81,45,text,315816
post_00368,34.77,0.62,106,poll,232305
post_00369,49.04,0.1,54,poll,115009
post_00370,38.04,0.62,12,text,247389
post_00371,59.17,0.96,161,article,120202
post_00372,23.03,0.81,136,article,198402
post_00373,74.41,0.22,94,video,182151
post_00374,41.19,0.13,158,image,2199
post_00375,80.14,0.12,2,poll,151186
post_00376,83.19,0.19,47,image,470144
post_00377,64.3,0.41,108,video,212045
post_00378,75.2,0.08,59,poll,26087
post_00379,57.78,0.72,97,image,182447
post_00380,84.24,0.45,89,text,213068
post_00381,58.49,0.24,113,image,1499
post_00382,18.58,0.83,13,text,77764
post_00383,67.64,0.23,66,video,131830
post_00384,36.64,0.43,55,text,266363
post_00385,55.37,0.9,62,text,281563
post_00386,66.09,0.76,29,text,187370
post_00387,35.49,0.79,30,text,443074
post_00388,31.77,0.17,126,article,370645
post_00389,70.78,0.94,90,video,194537
post_00390,50.06,0.93,41,image,4968
post_00391,49,0.63,161,text,315632
post_00392,26.69,0.51,6,text,446747
post_00393,45.78,0.16,129,text,420680
post_00394,79.06,0.97,122,video,349858
post_00395,49.33,0.27,90,image,85808
post_00396,49.27,0.36,22,image,158360
post_00397,35.5,0.84,44,article,385197
post_00398,78.08,0.57,18,poll,198546
post_00399,48.71,0.75,140,poll,275614
post_00400,33.75,0.96,6,text,404050
post_00401,78.03,0.97,93,poll,201731
post_00402,70.29,0.35,84,article,318662
post_00403,69.12,0.38,8,text,201784
post_00404,39.75,0.07,65,poll,366646
post_00405,54.39,0.14,120,poll,297298
post_00406,71.87,0.88,29,image,329371
post_00407,37.35,0.16,53,image,57700
post_00408,87.13,0.77,100,video,264074
post_00409,52.83,0.09,59,video,55506
post_00410,29.53,0.84,70,article,299334
post_00411,63.88,0.57,148,video,297344
post_00412,71.24,0.7,53,text,90000
post_00413,38.98,0.05,81,video,348966
post_00414,66.72,0.75,39,image,178350
post_00415,67.47,0.07,82,image,327
post_00416,29.79,0.71,99,article,131854
post_00417,23.68,0.82,122,article,436700
post_00418,25.01,0.97,164,article,427457
post_00419,35.09,0.14,1,poll,394700
post_00420,69.25,0.19,46,video,42272
post_00421,70.09,0.31,83,image,475632
post_00422,50.46,0.62,45,article,264485
post_00423,70.36,0.32,148,text,11230
post_00424,10.07,0.75,120,text,42913
post_00425,90.42,0.53,17,video,240792
post_00426,29.48,0.45,37,article,228833
post_00427,96.94,0.32,165,video,482511
post_00428,52.09,0.07,47,article,366947
post_00429,40.38,0.36,80,poll,214491
post_00430,59.78,0.55,22,video,113981
post_00431,77.02,0.31,26,image,237044
post_00432,71.64,0.27,59,text,292145
post_00433,63.74,0.82,87,article,491465
post_00434,60.44,0.7,87,text,132714
post_00435,49.4,0.54,106,video,167130
post_00436,37.02,0.77,66,poll,199188
post_00437,41.83,0.53,116,image,196532
post_00438,79.26,0.26,73,poll,71782
post_00439,34.51,0.87,91,image,252235
post_00440,62.74,0.23,125,text,33620
post_00441,73.58,0.28,98,poll,31101
post_00442,38.58,0.11,2,poll,305269
post_00443,26.59,0.85,57,image,277273
post_00444,75.65,0.14,150,video,202689
post_00445,49.1,0.47,82,poll,463920
post_00446,25.39,0.29,16,image,433026
post_00447,76.09,0.11,3,video,256685
post_00448,17.53,0.88,15,text,265453
post_00449,62.11,0.38,45,image,371105
post_00450,26.3,0.98,1,image,197601
post_00451,85.55,0.59,33,video,96891
post_00452,13.37,0.21,20,text,201203
post_00453,33.91,0.24,121,text,217302
post_00454,36.75,0.24,63,text,387823
post_00455,56.25,0.44,45,text,200366
post_00456,36.48,0.49,120,article,455546
post_00457,32.35,0.74,97,article,356214
post_00458,68.48,0.78,144,text,194793
post_00459,79.5,0.88,96,video,145912
post_00460,74.22,0.13,58,video,241388
post_00461,18.7,0.31,115,image,285430
post_00462,23.89,0.56,166,text,106481
post_00463,44.16,0.94,87,poll,339959
post_00464,61.96,0.47,17,article,27520
post_00465,52.59,0.99,39,image,340854
post_00466,84.31,0.53,59,video,22037
post_00467,46.13,0.67,19,poll,235575
post_00468,26.65,0.43,21,image,416677
post_00469,64.73,0.32,41,article,362189
post_00470,45.92,0.17,92,video,374416
post_00471,18.8,0.07,134,image,251975
post_00472,12.21,0.34,88,text,53252
post_00473,71.28,0.75,32,poll,193562
post_00474,77.21,0.82,148,text,322081
post_00475,58.45,0.67,101,poll,33223
post_00476,47.13,0.45,94,article,487795
post_00477,77.67,0.83,150,text,145067
post_00478,79.74,0.89,33,video,147953
post_00479,64.07,0.6,87,image,230852
post_00480,22.95,0.09,38,image,150201
post_00481,88.33,0.27,8,video,219
post_00482,31.42,0.94,86,image,209833
post_00483,19.64,0.12,150,image,4545
post_00484,10.32,0.7,100,article,392044
post_00485,58.12,0.66,128,article,425201
post_00486,48.11,0.96,130,text,404019
post_00487,19.37,0.69,89,text,34422
post_00488,53.32,0.47,8,video,404080
post_00489,98.89,0.42,103,video,287254
post_00490,8.62,0.93,136,text,268337
post_00491,34.54,0.42,18,text,189157
post_00492,42.71,0.79,45,image,353423
post_00493,50.76,0.44,147,video,129773
post_00494,84.41,0.23,151,poll,357045
post_00495,35.81,0.93,166,text,491698
post_00496,71.04,0.81,26,text,413515
post_00497,8.7,0.42,97,article,374674
post_00498,87.37,0.55,62,video,164800
post_00499,33.66,0.93,61,video,22969
post_00500,61.48,0.15,80,poll,459295
post_00501,44.41,0.82,162,poll,268659
post_00502,29.93,0.8,62,article,272573
post_00503,37.28,0.78,146,poll,62438
post_00504,60.7,0.6,31,article,11645
post_00505,46.15,0.17,21,video,432416
post_00506,42.8,0.18,21,image,434157
post_00507,28.41,0.19,2,text,484749
post_00508,87.9,0.79,139,video,94323
post_00509,30.97,0.76,6,image,373015
post_00510,43.83,0.61,88,video,172055
post_00511,11.27,0.62,64,article,53893
post_00512,78.84,0.15,51,text,318341
post_00513,48.12,0.92,114,video,288505
post_00514,37.4,0.86,45,article,451722
post_00515,18.07,0.08,146,text,304312
post_00516,9.42,0.96,45,image,112427
post_00517,52.46,0.48,5,text,190839
post_00518,46.66,0.78,6,image,323192
post_00519,59.88,0.29,63,poll,352645
post_00520,24.28,0.87,116,text,338919
post_00521,42.04,0.42,30,poll,280250
post_00522,80.7,0.7,82,poll,41713
post_00523,57.34,0.89,107,poll,295260
post_00524,48.66,0.95,49,image,468639
post_00525,15.39,0.12,84,article,355589
post_00526,45.59,0.27,25,article,332393
post_00527,18.69,0.93,139,article,345846
post_00528,49.44,0.57,143,poll,422387
post_00529,60.82,0.79,36,image,315075
post_00530,29.03,0.38,77,image,10029
post_00531,64.13,0.53,20,poll,347481
post_00532,49.89,0.47,90,image,339924
post_00533,22.74,0.6,106,image,384244
post_00534,81.88,0.61,103,video,413836
post_00535,31.66,0.77,162,article,474793
post_00536,55.89,0.98,54,poll,133549
post_00537,10.35,0.39,74,article,59117
post_00538,61.57,0.57,138,image,438139
post_00539,45.36,0.77,104,article,170869
post_00540,90.73,0.61,128,video,103252
post_00541,57.99,0.79,141,text,86884
post_00542,55.34,0.1,56,text,475691
post_00543,8.6,0.63,80,article,273247
post_00544,60.54,0.12,140,image,423712
post_00545,32.59,0.99,55,text,93938
post_00546,14.26,0.36,18,article,137718
post_00547,45.63,0.67,125,article,471864
post_00548,72.66,0.82,101,video,229480
post_00549,25.52,0.77,21,text,79762
post_00550,81.35,0.22,128,poll,72981
post_00551,63.64,0.68,108,text,379130
post_00552,69.71,0.41,33,poll,469150
post_00553,14.29,0.36,76,article,110745
post_00554,13.02,0.3,32,article,240712
post_00555,56.63,0.15,95,article,446932
post_00556,68.35,0.07,132,poll,331532
post_00557,48.59,0.06,62,image,483920
post_00558,27.54,0.66,166,image,405092
post_00559,69.97,0.27,34,article,452815
post_00560,46.32,0.41,13,poll,20183
post_00561,37.72,0.83,139,article,49449
post_00562,37.38,0.28,166,article,64271
post_00563,48.59,0.85,36,poll,15337
post_00564,49.54,0.18,84,poll,21837
post_00565,43.06,0.97,150,article,109240
post_00566,51.06,0.89,4,poll,325856
post_00567,20.26,0.24,49,article,132401
post_00568,25.06,0.16,140,text,211365
post_00569,80.66,0.38,70,text,102674
post_00570,66.76,0.47,70,text,329109
post_00571,89.4,0.11,109,video,37092
post_00572,34.03,0.75,129,video,468570
post_00573,46.65,0.5,76,video,279465
post_00574,41.32,0.58,54,image,46373
post_00575,38.18,0.65,132,article,89264
post_00576,44.85,0.29,166,poll,153596
post_00577,71.55,0.27,8,video,428442
post_00578,48.1,0.47,24,poll,216560
post_00579,50.64,0.06,86,video,48618
post_00580,31.72,0.17,149,article,444232
post_00581,47.91,0.53,146,image,35572
post_00582,8.09,0.86,158,article,213559
post_00583,57.62,0.92,115,image,117850
post_00584,64.13,0.45,90,text,315352
post_00585,89.6,0.12,78,poll,36184
post_00586,76.11,0.38,164,text,457211
post_00587,31.72,0.33,5,text,334567
post_00588,37.96,0.88,53,poll,447898
post_00589,18.58,0.6,85,image,58073
post_00590,51.62,0.29,11,image,273135
post_00591,35.76,0.46,75,article,279630
post_00592,75.79,0.08,86,poll,490201
post_00593,99.13,0.6,9,video,18105
post_00594,69.82,0.89,168,image,258053
post_00595,79.53,0.93,148,poll,304976
post_00596,69.69,0.72,64,poll,114110
post_00597,73.91,0.31,57,poll,436988
post_00598,48.12,0.19,110,text,206180
post_00599,23.39,0.69,106,video,124086
post_00600,15.73,0.56,113,article,385830
post_00601,50.69,0.67,76,poll,166893
post_00602,43.83,0.99,33,poll,246461
post_00603,62.42,0.7,132,text,69486
post_00604,32.51,0.48,17,article,263622
post_00605,88.32,0.2,4,video,254696
post_00606,63.88,0.6,163,video,444936
post_00607,36.64,0.42,122,image,66682
post_00608,51.94,0.22,30,image,209333
post_00609,50.19,0.17,9,image,7804
post_00610,60.45,0.3,44,article,176396
post_00611,44.89,0.69,60,image,173065
post_00612,35.49,0.84,109,article,23378
post_00613,34.51,0.66,126,article,157450
post_00614,72.73,0.39,97,poll,451057
post_00615,36.15,0.15,19,poll,403479
post_00616,25.01,0.84,43,article,86385
post_00617,70.22,0.37,14,text,299976
post_00618,58.2,0.41,4,image,435857
post_00619,73.28,0.82,24,text,216520
post_00620,29.11,0.43,133,video,439808
post_00621,46.5,0.27,59,text,214513
post_00622,58.02,0.74,34,article,390221
post_00623,45.41,0.63,25,image,464205
post_00624,87.57,0.51,77,poll,145700
post_00625,24.24,0.5,111,article,429922
post_00626,51.17,0.49,122,video,272456
post_00627,52.4,0.51,15,image,317478
post_00628,82.74,0.36,4,video,207123
post_00629,23.73,0.08,66,text,395852
post_00630,83,0.67,147,text,448614
post_00631,44.59,0.91,34,video,489281
post_00632,3.81,0.15,142,article,199964
post_00633,76.41,0.88,70,poll,190604
post_00634,49.63,0.3,74,text,427879
post_00635,36.65,0.69,167,image,249901
post_00636,33.61,0.09,102,text,233457
post_00637,24.69,0.28,72,image,176679
post_00638,74.94,0.35,26,image,66396
post_00639,60.16,0.85,166,video,251677
post_00640,70.04,0.18,67,poll,298586
post_00641,30.14,0.42,33,article,439372
post_00642,63.22,0.2,8,poll,61485
post_00643,53.31,0.57,63,text,315222
post_00644,58.26,0.81,39,poll,128207
post_00645,65.37,0.12,162,image,266106
post_00646,67.47,0.18,62,poll,421423
post_00647,46.37,0.4,93,video,324252
post_00648,8.62,0.44,2,article,392156
post_00649,54.55,0.41,109,text,69980
post_00650,59.86,0.65,1,image,189299
post_00651,33.86,0.67,86,image,491448
post_00652,69.44,0.65,98,video,200098
post_00653,45.97,0.38,74,image,106031
post_00654,88.76,0.67,17,poll,412735
post_00655,59.42,0.31,29,video,393948
post_00656,35.93,0.31,80,article,310772
post_00657,51.25,0.26,121,article,12039
post_00658,54.48,0.71,19,article,227607
post_00659,49.42,0.78,92,text,74060
post_00660,29.48,0.35,76,image,40295
post_00661,24.46,0.41,147,video,309271
post_00662,78.56,0.33,139,text,330535
post_00663,29.08,0.08,69,article,74155
post_00664,10.37,0.78,125,article,74416
post_00665,79.26,0.3,23,text,477784
post_00666,18.84,0.06,53,image,384301
post_00667,76.96,0.97,77,image,253704
post_00668,37,0.52,145,article,150733
post_00669,78.42,0.33,123,poll,188480
post_00670,31.41,0.42,114,video,447502
post_00671,83.2,0.43,44,poll,60551
post_00672,34.49,0.95,68,video,284691
post_00673,51.28,0.49,5,image,44506
post_00674,57.52,0.22,166,text,80213
post_00675,77.11,0.92,25,text,486360
post_00676,49.91,0.77,134,video,427548
post_00677,54.21,0.42,91,article,298307
post_00678,56.92,0.6,120,poll,207605
post_00679,48.09,0.46,4,poll,478762
post_00680,51.14,0.29,18,image,385576
post_00681,49.63,0.73,103,image,171852
post_00682,63.08,0.37,140,video,342247
post_00683,43.06,0.91,129,video,52121
post_00684,37.93,0.16,92,image,310955
post_00685,57.83,0.06,119,text,176070
post_00686,64.29,0.22,136,video,320365
post_00687,66.91,0.38,112,image,197446
post_00688,72.33,0.46,101,poll,58774
post_00689,61.09,1,86,image,306308
