user_id,avg_watch_hours,genre_diversity_score,subscription_type,days_active,completion_rate,device_primary
user_00077,3.58,0.53,premium,9,0.75,smart_tv
user_00078,6.13,0.92,premium,30,0.69,smart_tv
user_00079,3.25,0.36,basic,24,0.57,mobile
user_00080,3.11,0.25,standard,24,0.33,mobile
user_00081,2.1,0.71,premium,13,0.78,tablet
user_00082,5.42,0.81,premium,21,0.62,desktop
user_00083,4.62,0.87,premium,22,0.74,desktop
user_00084,1.04,0.36,basic,8,0.35,mobile
user_00085,1.42,0.18,ad_supported,6,0.5,mobile
user_00086,1.54,0.43,basic,15,0.43,mobile
user_00087,1.88,0.19,ad_supported,14,0.43,tablet
user_00088,1.27,0.43,basic,18,0.53,mobile
user_00089,1.96,0.35,basic,13,0.26,tablet
user_00090,5.27,0.63,premium,29,0.81,smart_tv
user_00091,4.62,0.63,standard,10,0.78,smart_tv
user_00092,3.28,0.63,premium,10,0.55,smart_tv
user_00093,4.02,0.56,standard,14,0.69,tablet
user_00094,4.79,0.86,premium,25,0.63,desktop
user_00095,4.7,0.63,standard,8,0.51,smart_tv
user_00096,9.18,0.6,premium,29,0.74,desktop
user_00097,1.27,0.34,standard,22,0.32,mobile
user_00098,2.44,0.34,standard,19,0.37,mobile
user_00099,3.87,0.71,premium,28,0.84,desktop
user_00100,8.4,0.43,standard,29,0.93,desktop
user_00101,2.29,0.67,premium,11,0.65,smart_tv
user_00102,2.72,0.23,ad_supported,18,0.42,mobile
user_00103,3.97,0.52,premium,14,0.78,smart_tv
user_00104,6.61,0.46,standard,28,0.7,desktop
user_00105,1.05,0.24,ad_supported,10,0.46,mobile
user_00106,1.44,0.33,basic,20,0.35,mobile
user_00107,1.56,0.28,ad_supported,21,0.45,mobile
user_00108,1.29,0.42,standard,23,0.43,mobile
user_00109,3.92,0.69,premium,24,0.83,desktop
user_00110,3.3,0.28,ad_supported,21,0.4,mobile
user_00111,3.04,0.53,premium,14,0.66,tablet
user_00112,3.54,0.69,premium,26,0.64,desktop
user_00113,1.49,0.23,basic,10,0.33,mobile
user_00114,3.2,0.74,premium,8,0.66,smart_tv
user_00115,1.78,0.39,ad_supported,11,0.25,tablet
user_00116,1.57,0.28,basic,9,0.3,tablet
user_00117,1.03,0.22,basic,20,0.33,mobile
user_00118,6.72,0.88,premium,21,0.71,smart_tv
user_00119,4.1,0.41,standard,30,0.86,smart_tv
user_00120,2.81,0.7,standard,12,0.69,tablet
user_00121,1.59,0.32,standard,15,0.34,mobile
user_00122,5.66,0.47,premium,24,0.83,smart_tv
user_00123,2.06,0.22,standard,19,0.34,mobile
user_00124,1.95,0.31,standard,25,0.53,mobile
user_00125,6.35,0.93,premium,26,0.81,desktop
user_00126,1.12,0.24,basic,7,0.36,mobile
user_00127,4.52,0.71,standard,14,0.75,tablet
user_00128,5.53,0.97,premium,20,0.67,smart_tv
user_00129,4.7,0.93,premium,27,0.65,smart_tv
user_00130,1.92,0.37,basic,14,0.46,mobile
user_00131,4.88,0.65,premium,21,0.78,desktop
user_00132,7.36,0.53,premium,25,0.72,desktop
user_00133,3.3,0.78,premium,12,0.75,tablet
user_00134,4.52,0.58,standard,13,0.72,tablet
user_00135,2.9,0.43,ad_supported,24,0.33,mobile
user_00136,9.01,0.59,premium,23,0.74,smart_tv
user_00137,2.98,0.72,standard,14,0.5,tablet
user_00138,2.35,0.67,premium,12,0.64,tablet
user_00139,8.96,0.69,premium,28,0.84,smart_tv
user_00140,3.15,0.27,ad_supported,15,0.37,mobile
user_00141,1.17,0.31,basic,6,0.39,mobile
user_00142,6.2,0.52,premium,25,0.84,desktop
user_00143,6.82,0.48,premium,28,0.83,desktop
user_00144,3.51,0.97,premium,21,0.7,smart_tv
user_00145,1.95,0.16,ad_supported,5,0.31,tablet
user_00146,2.6,0.8,premium,13,0.54,tablet
user_00147,7,0.83,premium,23,0.8,desktop
user_00148,3.1,0.37,ad_supported,16,0.42,mobile
user_00149,4.67,0.86,premium,26,0.64,desktop
user_00150,1.46,0.13,ad_supported,11,0.26,mobile
user_00151,6.94,0.84,premium,30,0.72,desktop
user_00152,0.62,0.23,basic,5,0.38,mobile
user_00153,5.77,0.39,standard,22,0.76,smart_tv
user_00154,3.33,0.89,premium,27,0.77,desktop
user_00155,2.98,0.44,basic,23,0.4,mobile
user_00156,3.85,0.71,standard,13,0.71,tablet
user_00157,5.56,0.85,premium,27,0.61,desktop
user_00158,1.21,0.22,ad_supported,21,0.47,mobile
user_00159,1.89,0.26,ad_supported,5,0.37,tablet
user_00160,1.86,0.26,ad_supported,14,0.36,mobile
user_00161,1.52,0.3,basic,5,0.39,mobile
user_00162,6.14,0.56,standard,24,0.9,desktop
user_00163,1.05,0.3,ad_supported,11,0.24,mobile
user_00164,2.69,0.31,standard,16,0.41,mobile
user_00165,1.23,0.35,basic,19,0.31,mobile
user_00166,5.94,0.69,premium,25,0.78,desktop
user_00167,4.64,0.62,premium,20,0.85,smart_tv
user_00168,1.53,0.13,basic,11,0.33,tablet
user_00169,8.3,0.63,standard,26,0.89,smart_tv
user_00170,0.57,0.4,ad_supported,6,0.29,tablet
user_00171,5.26,0.81,premium,21,0.77,desktop
user_00172,2.16,0.39,basic,23,0.46,mobile
user_00173,4.3,0.92,premium,20,0.88,desktop
user_00174,1.54,0.28,ad_supported,7,0.4,tablet
user_00175,1.88,0.37,ad_supported,15,0.34,mobile
user_00176,3.42,0.41,basic,16,0.53,mobile
user_00177,2.38,0.38,basic,15,0.39,mobile
user_00178,2.54,0.22,ad_supported,21,0.38,mobile
user_00179,7.96,0.44,standard,30,0.77,desktop
user_00180,0.67,0.28,ad_supported,12,0.31,mobile
user_00181,2.98,0.46,standard,15,0.39,mobile
user_00182,3.17,0.45,standard,21,0.39,mobile
user_00183,3.37,0.75,premium,20,0.71,smart_tv
user_00184,3.57,0.69,standard,12,0.6,tablet
user_00185,3,0.77,premium,10,0.51,tablet
user_00186,2.72,0.37,standard,15,0.51,mobile
user_00187,7.23,0.67,premium,22,0.78,desktop
user_00188,6.15,0.92,premium,25,0.76,desktop
user_00189,1.33,0.42,standard,19,0.51,mobile
user_00190,4.51,0.51,standard,14,0.69,smart_tv
user_00191,8.87,0.41,standard,25,0.71,desktop
user_00192,4.03,0.74,premium,29,0.75,desktop
user_00193,3.32,0.95,premium,29,0.84,desktop
user_00194,6.11,0.61,standard,27,0.73,desktop
user_00195,1.31,0.12,ad_supported,14,0.34,mobile
user_00196,4.24,0.63,standard,13,0.72,smart_tv
user_00197,2.33,0.41,basic,21,0.35,mobile
user_00198,6.8,0.66,premium,27,0.73,desktop
user_00199,4.49,0.62,standard,26,0.75,smart_tv
user_00200,8.17,0.64,standard,25,0.8,desktop
user_00201,8.53,0.64,premium,26,0.9,smart_tv
user_00202,6.48,0.54,premium,24,0.83,smart_tv
user_00203,3.1,0.71,premium,14,0.77,tablet
user_00204,3.61,0.83,premium,30,0.89,desktop
user_00205,5.73,0.42,standard,29,0.72,smart_tv
user_00206,3.93,0.66,standard,14,0.67,tablet
user_00207,4.73,0.67,standard,27,0.94,desktop
user_00208,1.81,0.3,ad_supported,7,0.25,mobile
user_00209,4.76,0.53,premium,13,0.76,smart_tv
user_00210,1.09,0.27,ad_supported,9,0.25,mobile
user_00211,6.95,0.47,premium,26,0.76,smart_tv
user_00212,8.81,0.5,premium,29,0.91,desktop
user_00213,6.23,0.59,standard,28,0.71,smart_tv
user_00214,6.23,0.75,premium,29,0.64,smart_tv
user_00215,1.63,0.32,basic,15,0.33,tablet
user_00216,9.32,0.4,premium,25,0.75,desktop
user_00217,4.62,0.37,standard,25,0.78,smart_tv
user_00218,8.37,0.51,standard,29,0.74,desktop
user_00219,3.15,0.41,standard,18,0.34,mobile
user_00220,2.56,0.24,ad_supported,15,0.54,mobile
user_00221,7.18,0.6,premium,22,0.73,smart_tv
user_00222,5.13,0.38,standard,30,0.72,desktop
user_00223,6.09,0.86,premium,23,0.75,desktop
user_00224,5.02,0.3,standard,25,0.71,smart_tv
user_00225,2.35,0.3,basic,22,0.36,mobile
user_00226,4.63,0.6,premium,8,0.55,smart_tv
user_00227,1.09,0.2,ad_supported,5,0.22,mobile
user_00228,2.03,0.41,standard,20,0.52,mobile
user_00229,7.66,0.39,standard,22,0.77,desktop
user_00230,3.6,0.66,premium,23,0.81,desktop
user_00231,1.04,0.16,basic,9,0.46,mobile
user_00232,3.01,0.3,ad_supported,15,0.57,mobile
user_00233,6.07,0.81,premium,24,0.89,smart_tv
user_00234,0.66,0.2,basic,9,0.35,mobile
user_00235,6.69,0.38,standard,25,0.72,smart_tv
user_00236,4.29,0.58,premium,25,0.9,smart_tv
user_00237,7.53,0.46,premium,28,0.86,desktop
user_00238,4.09,0.44,premium,24,0.79,smart_tv
user_00239,5.66,0.91,premium,20,0.81,desktop
user_00240,1.65,0.13,ad_supported,15,0.23,mobile
user_00241,0.91,0.21,ad_supported,7,0.32,mobile
user_00242,2.49,0.22,basic,23,0.54,mobile
user_00243,5.04,0.43,premium,27,0.87,desktop
user_00244,4.23,0.51,premium,23,0.89,desktop
user_00245,3.92,0.51,premium,12,0.6,smart_tv
user_00246,6.36,0.7,premium,28,0.8,smart_tv
user_00247,0.62,0.27,basic,13,0.26,mobile
user_00248,4.18,0.52,premium,9,0.7,smart_tv
user_00249,8.87,0.39,standard,26,0.79,desktop
user_00250,9.12,0.39,premium,29,0.87,smart_tv
user_00251,0.51,0.11,ad_supported,7,0.38,mobile
user_00252,2.64,0.66,standard,13,0.6,tablet
user_00253,6.37,0.96,premium,23,0.84,smart_tv
user_00254,9.79,0.5,standard,25,0.77,desktop
user_00255,1.62,0.38,basic,8,0.24,tablet
user_00256,1.72,0.41,standard,16,0.41,mobile
user_00257,4.6,0.55,premium,11,0.61,tablet
user_00258,7.64,0.47,standard,28,0.87,desktop
user_00259,4.87,0.69,premium,8,0.73,tablet
user_00260,6.64,1,premium,29,0.76,smart_tv
user_00261,1.01,0.2,basic,19,0.55,mobile
user_00262,4.32,0.54,premium,14,0.51,tablet
user_00263,4.54,0.62,premium,26,0.62,desktop
user_00264,3.84,0.68,premium,20,0.87,smart_tv
user_00265,1.4,0.22,basic,12,0.34,tablet
user_00266,2.75,0.35,ad_supported,21,0.32,mobile
user_00267,4.55,0.55,premium,22,0.9,desktop
user_00268,1.07,0.35,ad_supported,15,0.53,mobile
user_00269,1.3,0.26,basic,7,0.38,mobile
user_00270,3.44,0.92,premium,27,0.71,smart_tv
user_00271,6.83,0.32,premium,30,0.89,desktop
user_00272,5.95,0.81,premium,27,0.8,desktop
user_00273,3.83,0.74,standard,13,0.57,tablet
user_00274,1.49,0.27,basic,10,0.34,mobile
user_00275,1.79,0.25,ad_supported,22,0.59,mobile
user_00276,4.46,0.62,premium,11,0.72,smart_tv
user_00277,0.53,0.16,ad_supported,9,0.34,mobile
user_00278,4.62,0.51,premium,14,0.67,smart_tv
user_00279,2.81,0.48,basic,25,0.5,mobile
user_00280,2.13,0.41,standard,25,0.46,mobile
user_00281,3.11,0.91,premium,27,0.69,desktop
user_00282,1.2,0.27,ad_supported,11,0.37,mobile
user_00283,1.35,0.28,basic,13,0.23,tablet
user_00284,8.85,0.35,premium,22,0.71,smart_tv
user_00285,6.26,0.69,premium,21,0.63,desktop
user_00286,2.01,0.28,standard,19,0.56,mobile
user_00287,9.96,0.4,standard,29,0.95,desktop
user_00288,1.45,0.45,ad_supported,16,0.56,mobile
user_00289,1.97,0.38,basic,11,0.42,mobile
user_00290,9.26,0.32,premium,28,0.81,smart_tv
user_00291,2.01,0.46,premium,8,0.62,smart_tv
user_00292,4.58,0.58,premium,25,0.79,desktop
user_00293,1.79,0.34,basic,23,0.31,mobile
user_00294,8.54,0.39,premium,30,0.76,smart_tv
user_00295,4.74,0.98,premium,20,0.78,desktop
user_00296,4.9,0.38,standard,22,0.93,smart_tv
user_00297,3.69,0.88,premium,20,0.69,desktop
user_00298,4.12,0.47,premium,8,0.63,tablet
user_00299,6.73,0.6,premium,26,0.83,desktop
user_00300,0.7,0.38,ad_supported,9,0.31,mobile
user_00301,4.96,0.99,premium,22,0.85,smart_tv
user_00302,0.94,0.2,basic,15,0.3,mobile
user_00303,3.24,0.38,basic,25,0.31,mobile
user_00304,0.9,0.13,ad_supported,8,0.46,mobile
user_00305,4.65,0.71,premium,8,0.58,tablet
user_00306,6.73,0.7,standard,25,0.84,desktop
user_00307,1.44,0.33,basic,14,0.47,mobile
user_00308,2.23,0.42,ad_supported,25,0.5,mobile
user_00309,0.82,0.35,ad_supported,10,0.42,mobile
user_00310,1.34,0.16,basic,10,0.28,mobile
user_00311,5.09,0.63,premium,23,0.88,desktop
user_00312,4.11,0.76,premium,22,0.66,desktop
user_00313,1.37,0.29,ad_supported,15,0.5,mobile
user_00314,4.67,0.65,premium,26,0.63,desktop
user_00315,1.45,0.17,basic,6,0.21,tablet
user_00316,7.39,0.46,standard,26,0.89,desktop
user_00317,3.71,0.7,standard,10,0.58,tablet
user_00318,1.45,0.25,basic,8,0.39,mobile
user_00319,1.82,0.4,basic,12,0.48,mobile
user_00320,4.42,0.72,premium,8,0.58,tablet
user_00321,6.56,0.41,premium,28,0.81,desktop
user_00322,3.46,0.27,basic,16,0.35,mobile
user_00323,3.73,0.69,premium,14,0.6,tablet
user_00324,2.81,0.21,standard,24,0.45,mobile
user_00325,0.9,0.17,ad_supported,12,0.25,mobile
user_00326,3.44,0.76,premium,22,0.62,smart_tv
user_00327,3.12,0.72,standard,12,0.59,tablet
user_00328,4.69,0.62,premium,23,0.82,smart_tv
user_00329,3.03,0.79,premium,11,0.73,tablet
user_00330,8.23,0.6,standard,22,0.76,desktop
user_00331,2.94,0.69,premium,13,0.64,smart_tv
user_00332,4.32,0.73,premium,27,0.65,desktop
user_00333,2.9,0.77,standard,9,0.66,tablet
user_00334,3.56,0.56,standard,13,0.68,smart_tv
user_00335,1.57,0.38,basic,16,0.36,mobile
user_00336,5.83,0.67,premium,20,0.63,desktop
user_00337,9.06,0.67,standard,22,0.79,desktop
user_00338,7.17,0.63,premium,25,0.94,desktop
user_00339,7.6,0.64,premium,27,0.74,desktop
user_00340,3.41,0.2,ad_supported,19,0.4,mobile
user_00341,4.61,0.76,premium,26,0.77,smart_tv
user_00342,0.72,0.25,basic,13,0.23,tablet
user_00343,5.62,0.93,premium,25,0.71,desktop
user_00344,3.35,0.48,basic,23,0.56,mobile
user_00345,2.67,0.32,ad_supported,24,0.55,mobile
user_00346,0.68,0.28,ad_supported,9,0.26,tablet
user_00347,6.6,0.34,premium,27,0.89,smart_tv
user_00348,4.4,0.68,standard,12,0.68,smart_tv
user_00349,4.33,0.42,standard,9,0.67,tablet
user_00350,6.95,0.34,premium,26,0.77,desktop
user_00351,3.07,0.32,ad_supported,18,0.5,mobile
user_00352,9.22,0.32,premium,27,0.74,desktop
user_00353,4.11,0.66,premium,22,0.77,desktop
user_00354,2.68,0.49,standard,20,0.55,mobile
user_00355,6.26,0.43,standard,24,0.74,desktop
user_00356,0.81,0.2,ad_supported,13,0.34,tablet
user_00357,3.23,0.79,premium,8,0.72,smart_tv
user_00358,1.2,0.34,basic,7,0.32,mobile
user_00359,9.22,0.4,standard,23,0.91,smart_tv
user_00360,5.93,0.73,premium,25,0.88,desktop
user_00361,4.87,0.71,premium,11,0.56,smart_tv
user_00362,1.23,0.2,ad_supported,7,0.39,mobile
user_00363,3.61,0.41,standard,8,0.56,smart_tv
user_00364,5.29,0.92,premium,25,0.78,desktop
user_00365,1.43,0.27,basic,23,0.51,mobile
user_00366,6.03,0.84,premium,24,0.72,desktop
user_00367,1.86,0.25,ad_supported,11,0.32,tablet
user_00368,2.85,0.48,standard,16,0.49,mobile
user_00369,2.23,0.37,basic,25,0.56,mobile
user_00370,5.42,0.43,premium,30,0.76,desktop
user_00371,6.85,0.63,standard,26,0.75,smart_tv
user_00372,1.81,0.32,ad_supported,7,0.31,tablet
user_00373,6.34,0.44,premium,22,0.71,desktop
user_00374,6.41,0.71,premium,26,0.7,smart_tv
user_00375,2.03,0.26,basic,24,0.45,mobile
user_00376,6.36,0.44,premium,26,0.95,desktop
user_00377,1.55,0.16,ad_supported,15,0.36,tablet
user_00378,4.32,0.6,premium,14,0.75,tablet
user_00379,1.53,0.3,ad_supported,12,0.29,tablet
user_00380,3.51,0.96,premium,26,0.68,desktop
user_00381,6.69,0.65,premium,23,0.76,desktop
user_00382,9.5,0.58,premium,29,0.84,desktop
user_00383,1.23,0.21,ad_supported,9,0.38,mobile
user_00384,6.07,0.59,premium,26,0.73,desktop
user_00385,3.91,0.83,premium,20,0.79,smart_tv
user_00386,4.42,0.99,premium,23,0.71,smart_tv
user_00387,3.08,0.28,ad_supported,19,0.42,mobile
user_00388,1.65,0.34,ad_supported,9,0.32,tablet
user_00389,8.47,0.35,standard,23,0.7,desktop
user_00390,3.51,0.94,premium,30,0.7,smart_tv
user_00391,0.6,0.13,ad_supported,7,0.25,tablet
user_00392,8.34,0.51,premium,22,0.82,desktop
user_00393,4.93,0.98,premium,20,0.71,smart_tv
user_00394,9.02,0.43,premium,25,0.77,smart_tv
user_00395,5.92,0.72,premium,24,0.76,desktop
user_00396,2.94,0.43,standard,25,0.53,mobile
user_00397,4.73,0.66,standard,28,0.87,smart_tv
user_00398,7.18,0.37,standard,26,0.72,smart_tv
user_00399,3.17,0.66,premium,20,0.84,desktop
user_00400,5.84,0.8,premium,20,0.85,smart_tv
user_00401,4.22,0.51,premium,11,0.64,tablet
user_00402,9.98,0.53,standard,25,0.85,desktop
user_00403,4.25,0.75,premium,20,0.61,desktop
user_00404,4.01,0.8,standard,11,0.54,tablet
user_00405,4.49,0.88,premium,27,0.62,desktop
user_00406,7.78,0.31,standard,25,0.91,desktop
user_00407,6.3,0.83,premium,28,0.61,desktop
user_00408,3.27,0.84,premium,25,0.7,desktop
user_00409,1.24,0.24,basic,6,0.5,tablet
user_00410,0.57,0.17,ad_supported,7,0.44,tablet
user_00411,3.05,0.39,basic,20,0.42,mobile
user_00412,6.45,0.85,premium,28,0.86,desktop
user_00413,2.15,0.32,standard,21,0.46,mobile
user_00414,7.48,0.45,standard,30,0.82,desktop
user_00415,5.51,0.65,premium,26,0.88,smart_tv
user_00416,9.41,0.57,standard,30,0.94,desktop
user_00417,4.46,0.49,premium,27,0.77,smart_tv
user_00418,5.44,0.88,premium,21,0.63,desktop
user_00419,1.73,0.28,ad_supported,10,0.21,tablet
user_00420,4.64,0.92,premium,21,0.72,smart_tv
user_00421,7.33,0.34,premium,30,0.91,smart_tv
user_00422,9.98,0.66,standard,28,0.81,desktop
user_00423,3.03,0.91,premium,29,0.82,desktop
user_00424,6.02,0.4,standard,23,0.92,smart_tv
user_00425,6.67,0.36,standard,26,0.71,smart_tv
user_00426,0.98,0.18,basic,15,0.45,mobile
user_00427,2.99,0.65,premium,11,0.55,tablet
user_00428,2.65,0.48,standard,12,0.73,tablet
user_00429,4.94,0.76,premium,8,0.62,smart_tv
user_00430,2.81,0.45,basic,25,0.42,mobile
user_00431,1.06,0.36,ad_supported,8,0.32,mobile
user_00432,5.01,0.63,premium,24,0.69,desktop
user_00433,0.98,0.22,basic,15,0.3,tablet
user_00434,6.12,0.91,premium,24,0.81,desktop
user_00435,4.5,0.89,premium,27,0.8,desktop
user_00436,3.57,0.42,standard,13,0.6,smart_tv
user_00437,4.06,0.62,premium,30,0.74,smart_tv
user_00438,6.42,0.66,premium,25,0.82,desktop
user_00439,3.25,0.64,standard,8,0.69,smart_tv
user_00440,1.98,0.13,ad_supported,5,0.36,tablet
user_00441,4.43,0.6,premium,8,0.67,tablet
user_00442,4.79,0.67,premium,13,0.56,smart_tv
user_00443,1.81,0.37,standard,19,0.4,mobile
user_00444,1.19,0.12,basic,10,0.35,tablet
user_00445,4.94,0.69,standard,13,0.59,tablet
user_00446,4.94,0.77,premium,30,0.78,smart_tv
user_00447,0.69,0.29,basic,10,0.23,mobile
user_00448,1.41,0.24,basic,7,0.29,mobile
user_00449,3.57,0.63,premium,21,0.85,smart_tv
user_00450,3.05,0.89,premium,20,0.85,desktop
user_00451,3.97,0.66,premium,29,0.66,desktop
user_00452,8.89,0.57,premium,23,0.85,smart_tv
user_00453,3.6,0.4,standard,9,0.54,tablet
user_00454,3.44,0.48,standard,23,0.41,mobile
user_00455,1.27,0.2,basic,16,0.33,mobile
user_00456,7.44,0.34,premium,28,0.76,desktop
user_00457,1.39,0.44,standard,20,0.58,mobile
user_00458,3.03,0.29,basic,16,0.47,mobile
user_00459,1.51,0.38,ad_supported,15,0.41,mobile
user_00460,4.55,0.45,premium,12,0.79,tablet
user_00461,1.98,0.27,ad_supported,12,0.37,tablet
user_00462,1.79,0.31,standard,20,0.37,mobile
user_00463,4.08,0.64,standard,24,0.86,desktop
user_00464,5.71,0.84,premium,28,0.61,desktop
user_00465,1.05,0.39,ad_supported,9,0.23,tablet
user_00466,1.57,0.26,basic,10,0.47,tablet
user_00467,5.27,0.66,premium,26,0.79,smart_tv
user_00468,8.59,0.4,standard,30,0.71,smart_tv
user_00469,1.93,0.34,basic,9,0.26,mobile
user_00470,4.26,0.66,standard,10,0.64,smart_tv
user_00471,4.33,0.44,standard,8,0.62,smart_tv
user_00472,4.09,0.74,premium,30,0.87,smart_tv
user_00473,2.05,0.8,premium,14,0.51,smart_tv
user_00474,3.3,0.45,standard,15,0.6,mobile
user_00475,4.64,0.61,standard,8,0.68,tablet
user_00476,2.84,0.57,standard,8,0.79,smart_tv
user_00477,4.15,0.47,standard,14,0.72,tablet
user_00478,3.18,0.43,basic,17,0.3,mobile
user_00479,3.43,0.48,premium,11,0.53,smart_tv
user_00480,2.64,0.29,basic,24,0.53,mobile
user_00481,2.66,0.49,ad_supported,15,0.45,mobile
user_00482,2.58,0.29,ad_supported,16,0.4,mobile
user_00483,2.92,0.76,premium,12,0.74,tablet
user_00484,2.88,0.41,ad_supported,20,0.6,mobile
user_00485,1.56,0.27,ad_supported,10,0.25,tablet
user_00486,9.86,0.44,premium,28,0.84,desktop
user_00487,3.73,0.95,premium,28,0.9,desktop
user_00488,3.58,0.61,premium,23,0.83,desktop
user_00489,6.9,0.8,premium,26,0.85,desktop
user_00490,3.02,0.74,premium,27,0.61,desktop
user_00491,4.63,0.41,standard,14,0.78,smart_tv
user_00492,6.29,0.33,standard,22,0.82,smart_tv
user_00493,3.48,0.22,basic,24,0.46,mobile
user_00494,1.35,0.27,basic,8,0.34,tablet
user_00495,4.56,0.74,standard,9,0.74,smart_tv
user_00496,1.26,0.15,ad_supported,15,0.28,tablet
user_00497,4.98,0.41,standard,23,0.73,desktop
user_00498,1.59,0.36,basic,8,0.49,tablet
user_00499,2.92,0.21,standard,16,0.59,mobile
user_00500,6.91,0.91,premium,24,0.78,smart_tv
user_00501,2.46,0.33,basic,24,0.37,mobile
user_00502,4.4,0.53,premium,8,0.78,smart_tv
user_00503,1.7,0.23,standard,25,0.57,mobile
user_00504,9.08,0.67,premium,27,0.82,smart_tv
user_00505,1.97,0.29,ad_supported,25,0.37,mobile
user_00506,3.87,0.65,standard,11,0.64,tablet
user_00507,6.19,0.82,premium,24,0.73,desktop
user_00508,3.8,0.49,premium,11,0.52,tablet
user_00509,5.96,0.62,premium,27,0.74,smart_tv
user_00510,5.68,0.45,premium,24,0.92,smart_tv
user_00511,4.74,0.83,premium,30,0.6,desktop
user_00512,6.8,0.55,standard,30,0.86,smart_tv
user_00513,1.1,0.28,ad_supported,22,0.33,mobile
user_00514,6.5,0.84,premium,26,0.77,smart_tv
user_00515,4.31,0.69,premium,27,0.83,desktop
