fan_id,match_attendance,merchandise_spend,social_engagement_score,streaming_hours,fantasy_spend,loyalty_index
fan_00052,0,1345.79,1,118.43,14987.19,0.54
fan_00053,1,759.52,0.76,37.46,21458.34,0.5
fan_00054,0,802.54,0.26,25.74,391.02,0.23
fan_00055,3,2492.85,0.4,63.13,39385.46,0.48
fan_00056,2,147.81,0.08,22.46,85.03,0.18
fan_00057,11,21373.98,0.58,46.32,4854.59,0.81
fan_00058,0,1699.88,0.75,30.48,49106.25,0.42
fan_00059,0,1077.01,0.9,61.8,7606.68,0.66
fan_00060,5,10523.38,0.61,22.33,1018.97,0.76
fan_00061,6,9127,0.61,18.47,1892.83,0.94
fan_00062,2,15736.64,0.61,31.4,1576.83,0.7
fan_00063,4,25563.61,0.44,39.68,1484.58,0.77
fan_00064,2,79.07,0.13,15.57,74.41,0.34
fan_00065,8,11216.73,0.58,40.8,1024.57,0.92
fan_00066,0,1513.37,0.67,117.34,12443.93,0.47
fan_00067,7,6646.84,0.52,45.31,3039.96,0.94
fan_00068,13,20955.38,0.61,49.85,3919.7,0.89
fan_00069,2,679.08,0.06,11.07,10.64,0.34
fan_00070,13,5318.46,0.68,28.89,3600.16,0.9
fan_00071,12,9684.56,0.57,48.83,1081.26,0.94
fan_00072,1,753.42,0.87,102.6,4667.87,0.31
fan_00073,3,2896.13,0.61,49.23,21122.55,0.37
fan_00074,1,447.99,0.8,85.4,5600.05,0.41
fan_00075,1,596.94,0.7,107.03,2661,0.44
fan_00076,3,29359.68,0.38,24.42,1510.91,0.75
fan_00077,1,304.58,0.98,107.78,8520.84,0.31
fan_00078,2,28.19,0.06,17.27,285.23,0.11
fan_00079,1,1989.9,0.74,98.56,2323.61,0.35
fan_00080,2,35340.4,0.47,18.7,492.38,0.87
fan_00081,2,90.46,0.09,8.02,188.05,0.38
fan_00082,11,22729.49,0.6,58.12,609.47,0.8
fan_00083,2,16518.7,0.36,30.3,1457.94,0.86
fan_00084,7,24110.45,0.78,56.51,1325.14,0.91
fan_00085,0,224.91,0.98,41.71,2796.77,0.52
fan_00086,7,5254.42,0.6,28.85,3812,0.92
fan_00087,0,612.51,0.79,45.38,13462.88,0.66
fan_00088,2,32442.95,0.4,31.17,1817.82,0.79
fan_00089,7,16690.55,0.83,39.05,2867.45,0.89
fan_00090,0,501.1,0.94,101.05,2843.96,0.35
fan_00091,0,1213.25,0.93,72.72,6619.83,0.34
fan_00092,0,1212.47,0.78,64.27,5851.79,0.54
fan_00093,4,16576.65,0.54,22.26,249.72,0.84
fan_00094,3,18367.33,0.52,30.2,1210.32,0.79
fan_00095,2,20540.4,0.66,37.28,1748.7,0.95
fan_00096,1,249.35,0.88,55.44,1824.13,0.55
fan_00097,0,602.39,0.83,91.99,3717.93,0.55
fan_00098,1,592.07,0.78,79.51,33830.55,0.39
fan_00099,12,6326.93,0.74,55.6,2557.6,0.83
fan_00100,0,1147.66,0.41,37.85,13159.63,0.37
fan_00101,2,790.89,0.18,13.62,472.7,0.27
fan_00102,2,648.21,0.24,8.51,47.17,0.16
fan_00103,6,7583.74,0.66,44.28,1614.85,0.96
fan_00104,1,885,0.13,14,253.11,0.32
fan_00105,13,9326.54,0.62,37.5,4556.98,0.94
fan_00106,2,464.34,0.15,24.71,258.03,0.35
fan_00107,1,129.07,0.14,12.88,475.84,0.13
fan_00108,2,24507.19,0.51,35.82,1319.87,0.85
fan_00109,1,61.62,0.05,21.46,4.12,0.3
fan_00110,1,1562.03,0.95,42.44,6519.45,0.3
fan_00111,1,883.01,0.28,5.64,260.47,0.12
fan_00112,1,958.38,0.18,27.59,423.58,0.35
fan_00113,2,1021.16,0.43,45.25,27138.33,0.54
fan_00114,0,685.07,0.26,19.85,271.61,0.34
fan_00115,12,17435.95,0.66,40.17,2163.32,0.94
fan_00116,3,20206.2,0.42,46.66,1303.51,0.91
fan_00117,1,82.41,0.63,75.97,6128.37,0.44
fan_00118,14,16327.99,0.85,55,4399.16,0.98
fan_00119,2,442.47,0.15,18.37,448.42,0.21
fan_00120,2,902.4,0.16,19.91,345.42,0.15
fan_00121,0,1696.53,0.51,67.08,10125.01,0.32
fan_00122,0,1137.32,0.69,105.67,9370.01,0.49
fan_00123,1,507.31,0.84,49.13,4841.19,0.38
fan_00124,2,1775.85,0.56,53.53,13822.7,0.35
fan_00125,3,25045.85,0.38,41.36,1134.38,0.77
fan_00126,12,12039.37,0.87,29.55,4045.65,0.88
fan_00127,9,19134.99,0.63,54.71,1434.32,0.92
fan_00128,0,25.73,0.28,18.3,328.39,0.19
fan_00129,9,8165.58,0.84,40.83,1368.45,0.93
fan_00130,3,31066.23,0.69,38.78,1773.97,0.76
fan_00131,0,974.79,0.08,29.84,29.41,0.25
fan_00132,0,2710.51,0.46,76.94,42673.2,0.36
fan_00133,11,15665.3,0.8,34.62,3669.35,0.81
fan_00134,0,334.56,0.96,81.7,2892.33,0.6
fan_00135,0,895.76,0.8,43.13,29751.23,0.55
fan_00136,1,1889.73,0.7,54.71,6572.47,0.6
fan_00137,1,1176.68,0.66,51.34,8268.02,0.56
fan_00138,3,1357.82,0.52,70.72,34423.32,0.35
fan_00139,1,1172.02,0.86,46.74,14687.77,0.3
fan_00140,1,465.37,0.83,100.65,5635.52,0.33
fan_00141,1,212.38,0.68,65.07,12800.55,0.51
fan_00142,3,581.88,0.43,65.95,9493.33,0.57
fan_00143,11,10996.66,0.61,40.11,1592.71,1
fan_00144,0,387.15,0.26,23.16,277.86,0.14
fan_00145,13,15194.77,0.67,30.56,2513.89,0.99
fan_00146,2,342.73,0.13,22.13,447.11,0.21
fan_00147,0,1284.93,0.57,36.7,29044.01,0.41
fan_00148,8,16735.06,0.58,21.93,2950.44,0.95
fan_00149,1,442.2,0.13,26.92,383.27,0.2
fan_00150,1,1815.13,0.73,73,5923,0.67
fan_00151,9,17896.54,0.78,25.61,4385.61,0.86
fan_00152,6,30924.05,0.63,48.27,1445.86,0.87
fan_00153,3,8637.48,0.6,47.05,1667.64,0.79
fan_00154,3,20398.24,0.58,22.86,452.48,0.81
fan_00155,14,12606.74,0.81,44.28,3050.82,0.98
fan_00156,1,1349.68,0.82,54.65,1267.3,0.65
fan_00157,0,587.06,0.98,78.95,14285.99,0.61
fan_00158,1,1370.75,0.68,118.84,1145.38,0.46
fan_00159,1,867.09,0.65,114.5,6967.06,0.69
fan_00160,0,987.38,0.65,91.91,1088.19,0.56
fan_00161,3,29302.42,0.58,45.76,539.95,0.97
fan_00162,1,516.93,0.98,45,1643.3,0.39
fan_00163,0,2319.32,0.76,46.18,25908.85,0.46
fan_00164,1,837.44,0.98,73.04,11350.86,0.39
fan_00165,3,2155.18,0.66,78.54,37278.91,0.24
fan_00166,12,22648.38,0.88,31.84,3424.39,0.89
fan_00167,14,20271.15,0.8,20.7,2478.13,0.97
fan_00168,1,1386.88,0.84,86.16,14117.64,0.65
fan_00169,6,20469.89,0.75,51.46,4494.38,0.95
fan_00170,2,152.89,0.28,18.05,61.23,0.14
fan_00171,13,5411.62,0.56,36.41,1246.26,0.83
fan_00172,0,373.59,0.83,43.78,7293.49,0.54
fan_00173,1,505.17,0.83,31.18,23159.6,0.3
fan_00174,0,32.59,0.93,88.18,10054.5,0.43
fan_00175,5,13314.03,0.32,24.15,1030.38,0.83
fan_00176,2,664.44,0.64,55.67,27019.52,0.42
fan_00177,0,194.55,1,84.02,8233.14,0.4
fan_00178,5,36959.75,0.67,37,752.71,0.81
fan_00179,0,272.01,0.24,25.49,304.71,0.17
fan_00180,2,1830.23,0.55,76.68,43374.26,0.24
fan_00181,0,999,0.83,45.22,14092.1,0.23
fan_00182,0,361.72,0.18,11.6,224.54,0.38
fan_00183,1,2388.34,0.53,38.24,9240.58,0.42
fan_00184,1,349.32,0.9,105.91,14262.63,0.4
fan_00185,0,552.89,0.22,9.05,161.78,0.29
fan_00186,3,2679.18,0.73,55.31,21971.75,0.33
fan_00187,3,729.98,0.6,32.58,37793.28,0.27
fan_00188,3,37235.96,0.43,18.97,797.27,0.93
fan_00189,0,2432.99,0.45,32.67,38419.59,0.35
fan_00190,9,22567.42,0.82,31.21,4282.24,0.94
fan_00191,7,8956.86,0.71,32.88,1226,0.96
fan_00192,0,1945.03,0.79,42.05,7571.57,0.37
fan_00193,3,1938.35,0.84,62.91,46644.94,0.55
fan_00194,0,485.81,0.26,24.16,69.37,0.31
fan_00195,0,998.84,0.71,113.12,8480.94,0.56
fan_00196,5,24136.53,0.67,19.79,1626.06,0.76
fan_00197,1,582.09,0.92,100.56,14173.42,0.59
fan_00198,1,576.18,0.13,29.06,438.22,0.37
fan_00199,1,1422.27,0.92,98.92,4992.48,0.31
fan_00200,0,2405.35,0.57,43.15,6001.81,0.25
fan_00201,2,119.51,0.17,16.13,332.39,0.31
fan_00202,3,31106.88,0.39,40.49,1706.84,0.82
fan_00203,0,794.29,0.08,23.15,354.39,0.18
fan_00204,0,839.82,0.13,21.21,39.74,0.29
fan_00205,3,955.44,0.5,53.91,10463.03,0.53
fan_00206,1,842.3,0.28,28.21,435.7,0.35
fan_00207,2,1118.11,0.83,31.98,43337.73,0.51
fan_00208,1,365.45,0.23,6.41,490.29,0.23
fan_00209,0,1281.74,0.99,102.4,9569.53,0.61
fan_00210,2,1313.5,0.52,73.87,24477.47,0.48
fan_00211,1,1820.03,0.76,117.94,8609.79,0.51
fan_00212,3,1030.7,0.54,37.67,21429.78,0.34
fan_00213,11,21594.61,0.73,38.64,2489.9,0.93
fan_00214,1,75.61,0.1,9.9,235.18,0.37
fan_00215,4,20521.09,0.33,47.64,92.83,0.9
fan_00216,2,2788.54,0.65,64.17,23313.89,0.35
fan_00217,0,578.36,0.9,43.25,5427.06,0.59
fan_00218,12,12541.1,0.53,41.92,3197.36,0.8
fan_00219,1,564.11,0.93,95.31,5977.75,0.64
fan_00220,0,956.72,0.15,13.46,102.07,0.4
fan_00221,1,1421.56,0.79,58.55,11712.71,0.41
fan_00222,3,1670.47,0.81,61.21,43092.22,0.28
fan_00223,1,173.78,0.06,5.54,468.07,0.25
fan_00224,0,2841.74,0.51,75.27,14690.79,0.38
fan_00225,4,29643.52,0.61,16.9,533.04,0.85
fan_00226,9,5927.43,0.89,34.33,780.79,0.84
fan_00227,2,2768.4,0.61,32.73,37806.08,0.33
fan_00228,13,6782.48,0.57,46.22,4117.48,0.94
fan_00229,3,25897.92,0.57,46.32,1806.87,0.84
fan_00230,10,22093.79,0.61,23.21,1640.46,0.95
fan_00231,3,1946.34,0.72,64.42,20701.85,0.33
fan_00232,3,34762.86,0.38,47.1,713.87,0.84
fan_00233,1,721.66,0.24,12.84,94.14,0.36
fan_00234,5,22063.69,0.62,43.37,258.27,0.75
fan_00235,2,35454.57,0.31,32.61,609.67,0.87
fan_00236,7,15576.88,0.81,28.44,2203.91,0.83
fan_00237,14,8963.82,0.57,54.82,1271.43,0.91
fan_00238,1,1796.04,0.97,79.3,4478.09,0.48
fan_00239,4,28298.28,0.69,33.53,1301.17,0.73
fan_00240,11,16325.92,0.75,59.91,1889.08,0.87
fan_00241,1,76.66,0.24,20.47,308.19,0.15
fan_00242,2,651,0.07,25.08,172.8,0.12
fan_00243,0,734.29,0.68,108.65,1925.35,0.34
fan_00244,1,1694.77,0.48,70.19,9038,0.4
fan_00245,9,12241.42,0.8,27.07,1865.98,0.87
fan_00246,5,39792.45,0.65,26.84,1260.94,0.97
fan_00247,13,23622.28,0.63,24.72,3146.33,0.8
fan_00248,2,301.19,0.1,26.43,119.46,0.26
fan_00249,3,35615.94,0.4,40.96,1903.36,0.82
fan_00250,0,558.34,0.88,111.06,7413.9,0.48
fan_00251,11,21963.2,0.62,34.96,2590.84,0.86
fan_00252,2,2684.96,0.61,41.84,30659.04,0.48
fan_00253,6,10898.87,0.78,46.04,591.03,0.83
fan_00254,14,17309.23,0.82,45.05,4720.41,0.85
fan_00255,0,238.52,0.78,95.07,1899.13,0.63
fan_00256,4,23140.73,0.63,22.79,507.97,0.71
fan_00257,2,159.57,0.17,25.36,365.86,0.1
fan_00258,3,14214.69,0.58,37.01,1823.88,0.71
fan_00259,14,21380.69,0.86,59.03,1073.01,0.83
fan_00260,5,28266.68,0.52,16.73,1703.87,0.83
fan_00261,14,9954.1,0.72,55.46,3192.89,0.86
fan_00262,2,402.93,0.24,18.95,391.33,0.29
fan_00263,0,1716.53,0.63,90.25,1280.89,0.39
fan_00264,1,1503.42,0.98,86.31,9732.41,0.43
fan_00265,5,12007.34,0.56,49.53,1526.92,0.77
fan_00266,13,7175.85,0.88,56.64,3880.53,0.88
fan_00267,1,1871.02,0.85,73.88,10496.27,0.45
fan_00268,1,49.28,0.15,17.83,389.69,0.17
fan_00269,0,915.46,0.89,93.01,12614.32,0.58
fan_00270,6,37502.06,0.63,25.53,599.56,0.7
fan_00271,4,12152.14,0.52,23.59,357.21,0.88
fan_00272,2,78.95,0.08,12.22,387.88,0.4
fan_00273,11,17663.36,0.79,29.52,2796.43,0.97
fan_00274,3,34756.6,0.61,44.16,1726.34,0.74
fan_00275,0,1945.82,0.81,89.73,4711.68,0.67
fan_00276,0,1764.14,0.93,100,6296.24,0.5
fan_00277,1,955.92,0.87,93.43,4556.86,0.65
fan_00278,5,20368.26,0.63,42.71,476.3,0.94
fan_00279,0,1228.96,0.93,117.88,4883.51,0.59
fan_00280,5,15901.83,0.32,43.02,1445.8,0.71
fan_00281,2,9601.77,0.32,16.56,1100.11,1
fan_00282,5,33651.21,0.62,24.28,1040.14,0.88
fan_00283,10,16130.4,0.78,30.31,3035.05,0.85
fan_00284,3,2947.25,0.57,48.34,30453.78,0.34
fan_00285,0,1492.54,0.78,69.17,10327.69,0.23
fan_00286,0,2608.06,0.82,60.05,18738.64,0.51
fan_00287,8,16695.48,0.85,36.14,3694.29,0.93
fan_00288,1,481.52,0.26,28.58,250.38,0.14
fan_00289,1,1830.36,0.63,46.41,10911.94,0.38
fan_00290,6,7871.52,0.89,26.48,4385.57,0.9
fan_00291,11,13353.97,0.76,32.26,898.66,0.87
fan_00292,0,1253.18,0.6,96.79,6452.6,0.68
fan_00293,5,10022.86,0.69,35.62,465.89,0.75
fan_00294,0,69.05,0.18,18.17,52.78,0.14
fan_00295,8,7727.12,0.73,28.96,2146.66,0.81
fan_00296,7,17089.15,0.89,26.28,4926.54,0.85
fan_00297,0,734.58,0.15,5.24,6.13,0.32
fan_00298,8,19116.35,0.78,22.03,4873.37,0.85
fan_00299,14,23389.71,0.88,56.88,2331.42,0.85
fan_00300,0,777.25,0.22,29.06,264.71,0.12
fan_00301,2,400.06,0.29,24.21,192.55,0.29
fan_00302,6,37645.95,0.5,16.17,1029.4,0.94
fan_00303,3,34512.86,0.52,30.74,1380.88,0.88
fan_00304,6,15667.58,0.9,54.73,572.48,0.97
fan_00305,0,1494.55,0.87,106.59,9630.47,0.6
fan_00306,0,1420.1,0.98,86.54,13757,0.62
fan_00307,12,5795.41,0.69,25.81,2170.78,0.83
fan_00308,11,7303.29,0.72,47.01,2153.05,0.9
fan_00309,0,702.69,0.4,64.61,47065.27,0.24
fan_00310,2,18424.18,0.54,15.78,1145.08,0.71
fan_00311,5,37201.72,0.54,26.8,1594.04,0.88
fan_00312,0,1564.69,0.89,60.52,9753.84,0.56
fan_00313,1,1001.64,0.68,74.77,5055.27,0.32
fan_00314,0,764.1,0.16,24.52,256.72,0.18
fan_00315,3,18509.65,0.58,43.23,709.92,0.93
fan_00316,1,1057.92,0.72,82.93,14742.9,0.49
fan_00317,0,1979.08,0.8,65.55,18370.94,0.53
fan_00318,1,673.42,0.76,58.88,7515.78,0.57
fan_00319,0,1160.08,0.89,74.88,14512.19,0.51
fan_00320,13,20642.05,0.83,44.25,2843.6,0.86
fan_00321,3,1518.51,0.58,51.18,22535.76,0.59
fan_00322,1,736.43,0.11,20.72,438.65,0.36
fan_00323,2,2515.58,0.6,69.01,11469.15,0.28
fan_00324,2,262.49,0.12,22.63,219.36,0.11
fan_00325,9,7300.94,0.85,32.88,1212.3,0.99
fan_00326,1,354.86,0.15,6.48,230.73,0.33
fan_00327,6,24553.83,0.79,52.01,2210.61,0.83
fan_00328,2,185.68,0.25,27.82,198.5,0.22
fan_00329,3,10322.6,0.51,31.51,1415.9,0.75
fan_00330,3,2977.19,0.4,47.04,17002.18,0.58
fan_00331,1,223.98,0.23,14.01,279.67,0.13
fan_00332,4,33765.88,0.51,41.16,640.98,0.74
fan_00333,0,1348.08,0.98,72.2,13935.65,0.48
fan_00334,2,36756.09,0.57,39.86,178.98,0.97
fan_00335,3,938.73,0.57,72.79,30686.82,0.46
fan_00336,2,421.78,0.18,10.27,497,0.11
fan_00337,6,8054.02,0.66,47.52,4709.72,0.86
fan_00338,0,810.93,0.09,10.37,107.24,0.27
fan_00339,1,2821.66,0.85,65.49,44807.26,0.44
fan_00340,0,458.56,0.27,29.87,77.83,0.38
fan_00341,1,2082.47,0.63,62.49,11117.16,0.52
fan_00342,6,19575.35,0.54,22.02,2237.22,0.97
fan_00343,7,5458.46,0.75,55.62,3337.41,0.88
fan_00344,0,1498.98,0.94,82.23,9012.8,0.42
fan_00345,3,2573.67,0.81,36.86,35736.19,0.44
fan_00346,1,421.46,0.6,63.05,8439.77,0.33
fan_00347,5,8819.17,0.51,21.06,1000.9,0.73
fan_00348,1,1727.68,0.75,62.35,13331.68,0.45
fan_00349,2,13403.79,0.35,49.33,1586.89,0.74
fan_00350,8,20162.03,0.84,54.07,2318.6,0.92
fan_00351,6,36501.69,0.44,25.06,503.33,0.91
fan_00352,1,706.02,0.94,118.28,6307.77,0.68
fan_00353,6,22674.54,0.34,22.05,1427.65,0.82
fan_00354,2,19212.03,0.34,42.26,1038.4,0.83
fan_00355,1,724.51,0.79,51.61,14359.95,0.37
fan_00356,4,37670.17,0.35,30.51,715.35,0.73
fan_00357,0,139.92,0.19,13.42,197.03,0.19
fan_00358,0,1304.76,0.46,51.61,32839.8,0.6
fan_00359,0,1198.44,0.95,80.64,12861.07,0.4
fan_00360,0,728.54,0.68,72,11553.39,0.62
fan_00361,2,34868.44,0.6,33.64,1235.33,0.79
fan_00362,1,2722,0.72,44.6,40576.07,0.39
fan_00363,8,16494.73,0.7,44.48,959.86,0.81
fan_00364,0,250.29,0.89,107.78,9290.31,0.32
fan_00365,0,490.7,0.15,28.85,41.69,0.1
fan_00366,14,24698.65,0.54,33.49,4251.87,0.92
fan_00367,0,449.78,0.15,11.94,55.79,0.26
fan_00368,12,12001.77,0.8,31.14,4497.52,0.8
fan_00369,10,19774.98,0.89,59.24,2337.34,0.88
fan_00370,12,22822,0.76,52.39,4655.26,0.96
fan_00371,0,137.94,0.25,20.29,191.63,0.38
fan_00372,7,15597.99,0.88,52.62,627.39,0.9
fan_00373,7,11349.17,0.76,34.06,3506.59,0.8
fan_00374,1,1930.5,0.69,30.11,49984.46,0.56
fan_00375,14,11126.34,0.66,46.89,889.75,0.89
fan_00376,0,1102.08,0.68,86.75,13878.23,0.49
fan_00377,1,576.08,0.27,24.71,171.85,0.33
fan_00378,5,23673.65,0.33,21.64,1749.6,0.71
fan_00379,11,21081.8,0.58,44.46,521.33,0.92
fan_00380,0,571.68,0.23,25.38,131.98,0.12
fan_00381,5,10936.6,0.49,27.65,157.68,0.95
fan_00382,8,16520.32,0.78,54.37,2520.64,0.88
fan_00383,0,458.85,0.22,19.51,134.9,0.26
fan_00384,8,5188.39,0.62,21.56,4800.62,0.96
fan_00385,7,12716.81,0.59,24.09,1627.24,0.97
fan_00386,0,662.91,0.3,17.79,109.16,0.34
fan_00387,1,359.62,0.27,14.64,436.66,0.26
fan_00388,14,11530.03,0.59,47.09,2304.01,0.85
fan_00389,0,1772.94,0.82,47.02,1694.93,0.51
fan_00390,2,423.51,0.3,9.37,285.01,0.37
fan_00391,9,12794.8,0.85,58.93,3929.26,0.84
fan_00392,9,17969.37,0.71,56.16,4215.74,0.86
fan_00393,13,5117.03,0.6,47.34,3404.96,0.93
fan_00394,0,1005.2,0.78,63.45,9401.65,0.53
fan_00395,8,13827.01,0.76,39.52,4436.77,0.92
fan_00396,0,851.14,0.21,28.12,235.72,0.18
fan_00397,10,19545.33,0.78,20.31,1250.08,0.98
fan_00398,8,6744.77,0.86,37.99,3817.05,0.93
fan_00399,1,244.6,0.1,27.4,488.49,0.36
fan_00400,8,11585.36,0.84,30.69,1339.4,0.9
fan_00401,1,200.53,0.61,96.22,11922.63,0.54
fan_00402,14,19540.58,0.83,24.31,3551.93,0.81
fan_00403,11,12636.67,0.51,57.03,4158.58,0.83
fan_00404,12,13696.43,0.57,48.11,3080.97,0.86
fan_00405,2,212.96,0.06,19.83,497.64,0.21
fan_00406,8,20949.61,0.57,33.46,996.2,0.86
fan_00407,1,1746.81,0.81,71.06,10119.05,0.43
fan_00408,1,1593.26,0.91,118.09,7131.91,0.43
fan_00409,0,886.02,0.13,23.46,308.87,0.35
fan_00410,7,20232.85,0.56,47.09,4452.31,0.85
fan_00411,0,832.49,0.61,73.74,4917.39,0.36
fan_00412,6,38071.17,0.52,22.91,1077.22,0.76
fan_00413,3,701.36,0.59,67.46,36098.74,0.48
fan_00414,2,525.09,0.19,27.01,419.47,0.35
fan_00415,9,21415.57,0.55,35.22,3548.77,0.98
fan_00416,6,25916.9,0.4,38.98,1148.75,0.87
fan_00417,0,293.3,0.22,15,146.24,0.21
fan_00418,0,1740.36,0.81,115.06,4823.07,0.65
fan_00419,3,19381.75,0.46,33.79,188.97,0.78
fan_00420,5,23427.64,0.69,30.16,891.24,0.98
fan_00421,4,37510.74,0.64,41.79,1956.54,0.95
fan_00422,2,157.97,0.25,21.52,226.97,0.26
fan_00423,2,694.63,0.2,22.26,126.16,0.19
fan_00424,1,906,0.18,6.95,57.03,0.26
fan_00425,4,28126.46,0.5,38.11,302.04,0.72
fan_00426,0,1530.39,0.68,96.67,9644.55,0.36
fan_00427,12,6756.07,0.65,59.28,3691.21,0.9
fan_00428,0,103.96,0.12,16.88,270.11,0.23
fan_00429,6,20787.99,0.53,45.4,565.89,0.77
fan_00430,0,484.42,0.88,96.23,3800.23,0.53
fan_00431,1,694.38,0.81,81.41,9563.07,0.53
fan_00432,7,9444.52,0.56,57.19,3119.75,0.94
fan_00433,2,700.93,0.27,28.61,158.47,0.22
fan_00434,2,1815.88,0.64,67.08,48491.3,0.48
fan_00435,1,579.19,0.23,26.22,277.27,0.36
fan_00436,10,23599.82,0.8,48.37,1142.52,0.94
fan_00437,3,1216.39,0.63,35.04,46989.78,0.4
fan_00438,4,33831.32,0.4,41.5,1685.51,0.72
fan_00439,5,12901.43,0.69,41.88,905.62,0.84
fan_00440,2,935.93,0.22,15.74,400.61,0.12
fan_00441,7,19851.86,0.66,58.25,1249.47,0.96
fan_00442,1,1728.39,0.95,44.06,10439.15,0.56
fan_00443,0,254.91,0.82,100.78,4513.85,0.31
fan_00444,1,1469.11,0.43,56.84,43969.24,0.46
fan_00445,0,1581.41,0.7,46.76,10092.21,0.45
fan_00446,3,24158.34,0.47,36.18,1347.6,0.78
fan_00447,1,1109.47,0.78,80.75,1891.11,0.7
fan_00448,1,669.7,0.84,83.59,7920.17,0.68
fan_00449,0,1022.59,0.75,78.64,14564.22,0.33
fan_00450,2,47.2,0.27,14.27,247.97,0.12
fan_00451,3,704.27,0.77,64.28,48624.73,0.47
fan_00452,4,35805.15,0.49,16.93,1089.98,0.96
fan_00453,0,912.65,0.12,10.8,30.56,0.3
fan_00454,10,13793.19,0.62,23.5,3040.92,0.8
fan_00455,2,202.88,0.21,8.25,206.59,0.18
fan_00456,1,1440,0.97,44.59,2726.15,0.63
fan_00457,0,837.08,0.62,85.1,8617.06,0.44
fan_00458,6,12524.48,0.84,57.8,3624.12,0.81
fan_00459,0,639,0.63,75.31,9826.97,0.4
fan_00460,10,23824.91,0.79,23.62,1710.98,0.98
fan_00461,1,216.15,0.95,41.12,11569.78,0.62
fan_00462,1,1343.81,0.61,68.59,27947.8,0.31
fan_00463,0,215.58,0.7,95.93,3922.5,0.62
fan_00464,0,2135.18,0.54,46.83,9403.72,0.58
fan_00465,0,845.03,0.12,7.97,145.15,0.1
fan_00466,4,22714.78,0.34,24.99,1926.75,0.96
fan_00467,0,2328.73,0.61,38.65,43044.21,0.54
fan_00468,0,1132.43,0.61,48.73,45849.98,0.46
fan_00469,3,781.41,0.84,43.63,15971.3,0.24
fan_00470,1,771.14,0.12,22.35,345.87,0.13
fan_00471,2,649.94,0.21,10.3,25.58,0.2
fan_00472,13,20560.31,0.66,55.67,725.68,0.93
fan_00473,1,2901.14,0.42,71.42,17856.48,0.55
fan_00474,0,1073.27,0.69,98.2,13997.46,0.53
fan_00475,7,7351.22,0.62,59.95,1153.97,0.86
